wilcoxon,t-test,t-test_overestim_var
Rps29,Rpl12,Rps24
Rpl12,Rps24,Rpl12
Rps24,Rps29,Rplp1
Rplp1,Rplp1,Rps29
Rps8,Rps20,Rps20
Rpl35a,Rps16,Rps16
Rps20,Rpl35a,Rpl35a
Rps16,Rps8,Rps8
Rps3a1,Rps19,Rps19
Rpl13,Rpl13,Rpl13
Rps19,Rps3a1,Rps3a1
Rps27a,Rps27a,Rps27a
Rplp2,Rpl23,Rpl23
Rpl8,Rps7,Rps7
Rpl23,Rplp2,Rplp2
Rps7,Rps4x,Sell
Rpl36a,Rpl8,Rps4x
Rps4x,Rps9,Rpl8
Rps9,Rpl36a,Rps9
Rpl5,Rpl21,Rpl21
Rpl21,Sell,Rpl36a
Rpl26,Rps15a,Rps15a
Rps15a,Rpl5,Rpl5
Rps18,Rps18,Rps18
Rps28,Rpl26,Rpl26
Rpl10,Rps28,Rps28
Rps6,Rpl10,Rpl39
Rpl39,Rpl39,Rps6
Rps25,Rps6,Rps5
Rps26,Rpl9,Rpl10
Rpl9,Rps5,Rpl9
Rps5,Tpt1,Rps25
Rpl27a,Rps25,Tpt1
Tpt1,Rpl27a,Rpl27a
Rps21,Rps26,Rps21
Sell,Rps21,Tcf7
Rps27,Rps27,Trdc
Rpl15,Tcf7,Rps26
Eef1b2,Rpl15,Rps27
Rpl28,Rps23,Rpl15
Rpl3,Eef1b2,Rps23
Rps23,Rpl28,Eef1b2
Rpl35,Rpl30,Dapl1
Rpl30,Rps2,Rpl30
Eef1a1,Trdc,Rpl28
Rps2,Rpl3,Rps2
mt-Nd2,Rpsa,Eef1a1
Tcf7,Eef1a1,Rpsa
Rpl10a,Rpl7,Rpl3
Rpsa,Dapl1,Rpl7
Rpl7,Rpl10a,Rgs10
Rpl37a,Rpl37a,Rpl37a
Rps15,mt-Nd2,Rpl10a
Rps3,Rps3,mt-Nd2
mt-Cytb,Rpl35,Rps3
Rps12,mt-Cytb,Rpl35
Rpl17,Rpl19,mt-Cytb
Rpl19,Rps14,Rpl19
Rpl32,Rps15,Rps15
Rps14,Rgs10,Rps14
Rps17,Rpl17,Rps12
Rpl11,Rps12,Rpl17
Trdc,Rpl32,Rpl32
Rpl37,Rpl11,Ighm
Dapl1,Rpl37,Rpl11
Rpl6,Rps17,Ccr7
Rgs10,Ighm,Rpl37
Rpl23a,Ccr7,Rps17
Ighm,Rpl6,Rpl6
Rpl36,Rpl36,Ramp1
Rpl22,Rpl23a,Rpl36
mt-Nd4,Ltb,Ccr9
Rpl14,Rpl22,Rpl23a
Rps13,mt-Nd4,Igfbp4
Lef1,Lef1,Actn1
Ccr7,Rps13,Lef1
Rpl18a,Ramp1,Il6st
Ltb,Actn1,Rpl22
Rpl31,Rpl18a,Ltb
Rplp0,Ccr9,Rflnb
Tmsb10,Igfbp4,mt-Nd4
Rpl38,Rpl14,Rps13
Rapgef6,Il6st,Rpl18a
mt-Atp6,Rflnb,Rpl14
mt-Nd1,mt-Atp6,Rapgef6
Rps10,Tmsb10,Il6ra
Rack1,Rapgef6,Tmsb10
Actn1,mt-Nd1,Tdrp
Rpl18,Rpl31,mt-Atp6
Foxp1,Il6ra,Rpl31
Rpl34,Rpl38,mt-Nd1
Ramp1,Rack1,Ssbp2
Il7r,Rpl18,Rpl38
Ccr9,Tdrp,Rack1
Il6st,Rps10,Dph5
Peli1,Ssbp2,Rpl18
Tubb5,Rplp0,Rps10
Igfbp4,Il7r,Rplp0
Rflnb,Dph5,Trav14-1
Evl,Rpl34,Pdk1
Satb1,Pdk1,Il7r
Rpl22l1,Foxp1,Foxp1
Arl4c,Trav14-1,Iigp1
Eef1g,Evl,Rpl34
Smc4,Peli1,Id3
Ccnd2,Iigp1,Cd2ap
Ssbp2,Id3,Evl
Il6ra,Cd2ap,Peli1
Dph5,Satb1,Rapgef4
Limd2,Tubb5,Rgcc
Rpl4,Rapgef4,Treml2
Ppp1r14b,Rgcc,Satb1
mt-Nd3,Ccnd2,Ccnd2
Npm1,Smc4,Smc4
Rpl41,Ppp1r14b,Ppp1r14b
Tdrp,Rpl22l1,Trbv13-3
Chd3,Treml2,Tmem108
Pdk1,Chd3,Tubb5
Trav14-1,Pik3ip1,Pik3ip1
Cd2ap,Arl4c,Nsg2
Rps11,Limd2,Rpl22l1
Mrpl23,Tmem108,Chd3
Hmgn1,Trbv13-3,Arl4c
Rgcc,Nsg2,Kbtbd11
mt-Co3,Hmgn1,Atp1b1
Iigp1,Kbtbd11,Hmgn1
Pik3ip1,Eef1g,Limd2
Id3,Mrpl23,Pmepa1
Cd27,Atp1b1,Mrpl23
Ssh2,mt-Nd3,Zbtb20
Hspe1,Zbtb20,Eef1g
Dgka,Rpl41,Scml4
Kbtbd11,Pmepa1,Itgae
Rps27rt,Scml4,Arhgap5
Ctss,mt-Co3,Ttc3
Stat1,Ttc3,mt-Nd3
Nsg2,Npm1,Rpl41
Tespa1,Itgae,Inpp4b
Grap2,Rpl4,Tspan13
Zbtb20,Arhgap5,St6gal1
mt-Nd5,Inpp4b,Trat1
Rcsd1,Tspan13,Npm1
Fbl,Dennd2d,Dennd2d
Rapgef4,Rcsd1,Rpl4
Mycbp2,St6gal1,mt-Co3
Clec2d,Trat1,Rcsd1
Scml4,Ssh2,Sh3bp5
Treml2,Rps11,Ssh2
Inpp4b,Sh3bp5,St8sia1
Ttc3,Fam78a,Fam78a
Fubp1,Ctss,Rps11
Foxo1,Dgka,Ctss
Shisa5,Tespa1,Tespa1
Pura,Cd27,Mettl1
Tspan13,Foxo1,Ift80
Fam78a,St8sia1,Dgka
Tmem108,Mettl1,Ifngr2
Tuba1b,Ift80,Cd27
Fau,H2-DMa,Foxo1
Trbv13-3,Gpatch4,Gpatch4
Ppia,Ifngr2,H2-DMa
Dennd2d,Rps27rt,Gm20696
S1pr1,Clec2d,Myc
Txnip,Hspe1,Sesn3
Ablim1,Gm20696,Pcgf5
Bzw2,Fbl,Trib2
Arhgap15,Pura,Rps27rt
Fam189b,Shisa5,Clec2d
Pdlim1,Sesn3,Pura
Atp1b1,Pcgf5,Fbl
Npc2,Myc,Bach2
Kcnn4,Stat1,Socs3
Crtc3,Trib2,Eps8l1
Mif,Kcnn4,Hspe1
Il27ra,Bach2,Kcnn4
Bcl2,Socs3,Stat1
Sesn3,Crtc3,Crtc3
AC149090.1,Fau,Filip1l
Lbh,Bzw2,Bzw2
Nop10,Fubp1,Dzip1
Eef1d,Filip1l,Timp2
Bcl11b,Eps8l1,Shisa5
Sh3bp5,Grap2,Cxxc5
Rabac1,Dzip1,Fubp1
H2-DMa,Timp2,Thra
Pmepa1,Mycbp2,Tanc1
Hsp90ab1,Il27ra,Tspan32
Socs3,Tspan32,Fau
Pcgf5,Cxxc5,Il27ra
Trp53,Tanc1,Grap2
C1qbp,Pdlim1,Hexa
Arhgap5,Thra,Idh2
Cox7a2l,Idh2,Mycbp2
Ikbkb,Hexa,Pdlim1
mt-Nd4l,Tasor2,Kcna2
Itgae,Lbh,Tasor2
Impdh2,Mdn1,Ttc28
Gm2000,Pecam1,Mdn1
Tcf12,Impdh2,Pacsin1
Tasor2,mt-Nd5,Pecam1
Mettl1,Pacsin1,Lbh
Slc44a2,Rassf2,Smad1
Tspan32,Kcna2,Impdh2
Gpatch4,Ttc28,Sox4
Myc,Slc12a7,Rassf2
Klf13,Bcl2,Zfp281
Trat1,Zfp281,Slc12a7
Eif4b,C1qbp,Als2cl
Pecam1,S1pr1,mt-Nd5
Bach2,AC149090.1,Gpr146
Etnk1,Smad1,Il4ra
Gm20696,Il4ra,Bcl2
Rassf2,Als2cl,C1qbp
Prkd2,Gpr146,Ralgps2
Gm11808,Sox4,AC149090.1
Sptbn1,Txnip,S1pr1
Trib2,Ralgps2,Txnip
St6gal1,Tuba1b,Gm4951
Filip1l,Hdac4,Hdac4
Fam102a,Fam102a,Zfp950
Ift80,Trp53,Srm
Rpl7a,Zfp950,Rnf122
Fam241a,Tcf12,Fam102a
Tanc1,Arhgap15,Tuba1b
Naca,Srm,Trp53
Mdn1,Prkd2,Prkd2
Map4k4,Ikbkb,Tcf12
Gramd1a,Mif,Mybbp1a
