wilcoxon,t-test,t-test_overestim_var
Rps29,Rps24,Rps24
Rps24,Rplp1,Rplp1
Rps20,Rpl12,Rpl12
Rplp1,Rps20,Rps20
Rpl12,Rps29,Rps29
Rps19,Rps19,Rps19
Rps16,Rps16,Rps16
Rpl13,Rpl13,Rpl13
Rps8,Rps8,Rps8
Rpl35a,Rpl35a,Rpl35a
Rps27a,Rps27a,Rpl23
Rps7,Rps7,Rps7
Rplp2,Rps3a1,Rps27a
Rps3a1,Rpl23,Rps3a1
Rpl23,Rplp2,Sell
Rps9,Rpl8,Rplp2
Rpl8,Rps9,Rpl8
Rpl36a,Rps4x,Rps9
Rps4x,Sell,Rps4x
Rps15a,Rps18,Rps15a
Rps18,Rps15a,Rps18
Rpl21,Rpl36a,Rpl36a
Rpl5,Rpl21,Rpl21
Rpl26,Rpl5,Rpl5
Rpl10,Rpl26,Rpl26
Rps28,Rps5,Rps5
Rps5,Rpl10,Rpl10
Rps6,Tpt1,Tpt1
Rps26,Rps6,Rps6
Rpl27a,Rps28,Rpl27a
Tpt1,Rps2,Rps2
Rps2,Rpl27a,Rps28
Rpl39,Rpl39,Rpl39
Rps21,Rps21,Rps21
Rpl9,Rpl9,Rpl9
Rps25,Rpl15,Rpl15
Rpl15,Rps25,Rps23
Eef1b2,Rps23,Rpsa
Rps27,Rps26,Rps25
Rpl28,Rpsa,Rps26
Sell,Rpl28,Tcf7
Rps23,Rps27,Rps27
Rpsa,Tcf7,Rpl28
Rpl3,Eef1b2,Dapl1
Rps12,Rpl3,Eef1b2
mt-Nd2,Rps12,Rps12
Eef1a1,Eef1a1,Eef1a1
Rpl35,Dapl1,Rpl3
mt-Cytb,Rps3,Rps3
Rps3,Rpl10a,Rpl10a
Rpl10a,mt-Cytb,Rgs10
Rpl30,mt-Nd2,mt-Cytb
Rpl7,Rpl7,Rpl7
Rpl32,Rpl35,mt-Nd2
Rpl37a,Rpl30,Rpl30
Tcf7,Rpl32,Rpl35
Rpl19,Rgs10,Ccr7
Rps15,Rpl37a,Rpl32
Rps17,Rpl19,Rpl37a
Rpl17,Rps15,Rpl19
Rps14,Rps14,Rps15
Rpl11,Ccr7,Rps14
Rpl37,Rpl37,Rpl11
Rpl6,Rpl11,Rpl37
mt-Nd1,Rpl17,Rpl17
Dapl1,Rps17,Rps17
Rpl23a,mt-Nd1,Lef1
mt-Nd4,Lef1,Rpl6
Rplp0,Rpl6,mt-Nd1
Rpl22,mt-Nd4,mt-Nd4
Rpl36,mt-Atp6,mt-Atp6
Rgs10,Rpl23a,Rpl23a
mt-Atp6,Rpl36,Ramp1
Rpl14,Rpl22,Rpl36
Lef1,Rpl14,Actn1
Rps13,Rps13,Rpl22
Ccr7,Ramp1,Rps13
Rpl18a,Actn1,Rpl14
Rpl31,Rplp0,Rplp0
Tubb5,Ltb,Igfbp4
Rack1,Rpl18a,Ccr9
Rapgef6,Ighm,Ighm
Ltb,Il7r,Il7r
Ighm,Igfbp4,Rpl18a
Rps10,Rapgef6,Il6st
Rpl38,Ccr9,Ltb
Il7r,Il6st,Rflnb
mt-Co3,Rpl31,Il6ra
Tmsb10,Rflnb,Rapgef6
Rpl18,Il6ra,Ssbp2
Actn1,Ssbp2,Rpl31
Rpl34,Rack1,Tdrp
Rpl22l1,mt-Co3,Rack1
Foxp1,Tubb5,Tubb5
Ramp1,Tdrp,Dph5
Rpl41,Rps10,mt-Co3
Peli1,Tmsb10,Rps10
Npm1,Rpl18,Pdk1
mt-Nd3,Dph5,Tmsb10
Ccr9,Rpl38,Rpl38
Il6st,Pdk1,Rpl18
Igfbp4,Rpl34,Rpl34
Evl,Foxp1,Nsg2
Satb1,Rpl22l1,Iigp1
Smc4,Peli1,Foxp1
Rflnb,Nsg2,Peli1
Ssbp2,Evl,Inpp4b
Dph5,Iigp1,Id3
Rpl4,Rpl41,Evl
Il6ra,Inpp4b,Cd2ap
Arl4c,Cd2ap,Rpl22l1
Ppp1r14b,Rgcc,Tmem108
Eef1g,Id3,Rgcc
Limd2,mt-Nd3,Rapgef4
Pdk1,Tmem108,Treml2
Tdrp,Rapgef4,Rpl41
Hmgn1,Treml2,mt-Nd3
Hsp90ab1,Smc4,Kbtbd11
Cd2ap,Ppp1r14b,Smc4
Mrpl23,Kbtbd11,Ppp1r14b
Ccnd2,Satb1,Atp1b1
Rgcc,Npm1,Satb1
Hspe1,Hmgn1,Npm1
Dgka,Atp1b1,Hmgn1
Inpp4b,Pik3ip1,Pik3ip1
Ssh2,Limd2,Pmepa1
Stat1,Pmepa1,Bcl2
Bcl2,Bcl2,Mrpl23
mt-Co2,Mrpl23,Sh3bp5
Kbtbd11,Arl4c,Limd2
Iigp1,Rpl4,Arl4c
mt-Nd5,Ssh2,Ssh2
Cd27,Sh3bp5,Rpl4
Nsg2,Dgka,Zbtb20
Chd3,Rcsd1,Rcsd1
Ctss,Zbtb20,Scml4
Id3,Ccnd2,Ttc3
Pik3ip1,Ttc3,Dennd2d
Rps27rt,Scml4,Dgka
Rcsd1,Eef1g,Mettl1
Fau,Dennd2d,Ccnd2
Tuba1b,Ctss,Ctss
Tespa1,Mettl1,Eef1g
Mif,Hsp90ab1,Itgae
Rps11,mt-Co2,H2-DMa
Fbl,Stat1,Stat1
Grap2,H2-DMa,Bach2
Ptma,Itgae,Hsp90ab1
Pura,Hspe1,St6gal1
Treml2,Bach2,mt-Co2
Zbtb20,Chd3,Ifngr2
Rapgef4,Tespa1,St8sia1
Ttc3,Cd27,Tespa1
Tmem108,St6gal1,Chd3
Pdlim1,Pdlim1,Hspe1
mt-Nd4l,Ifngr2,Ift80
Foxo1,St8sia1,Arhgap5
Mycbp2,Kcnn4,Pdlim1
Ppia,Ms4a4c,Cd27
Scml4,Arhgap5,Ms4a4c
Dennd2d,Ift80,Gm20696
Kcnn4,Myc,Myc
Clec2d,Gm20696,Kcnn4
Rabac1,Foxo1,Als2cl
Npc2,Fbl,Trat1
Fam78a,Als2cl,Foxo1
Fam189b,Rps27rt,Gpatch4
Shisa5,Pura,Fbl
H2-DMa,Mif,Rps27rt
C1qbp,Trat1,Pura
Sh3bp5,Gpatch4,Trib2
Atp1b1,Trib2,Pacsin1
Ms4a4c,mt-Nd5,Mif
Eef1d,Pacsin1,Slc15a2
Bzw2,Pcgf5,Pcgf5
S1pr1,Fam78a,Sesn3
Rpl7a,Sesn3,Fam78a
