wilcoxon,t-test,t-test_overestim_var
Rps24,Rps24,Rps24
Tpt1,Tpt1,Tpt1
Rps27,Rps27,Rps27
Rps29,Rpl12,Rpl12
Rps14,Rps29,Rps29
Rpl12,Rps7,Rps7
Rps15a,Rps15a,Rps16
Rps7,Rps16,Rps15a
Rps16,Rps14,Rps14
Rpl35a,Rpl21,Rpl21
Rpl21,Rpl17,Rpl19
Rpl19,Rpl30,Rpl30
Rpl17,Rpl19,Rpl17
Rpl30,Rpl23,Rpl23
Rplp1,Rpl35a,Rpl35a
Rpl23,Rplp1,Rplp1
Rpl5,Rpl5,Rpl5
Rps9,Rpl18a,Rps19
Rps19,Rps9,Rpl18a
Rpl37a,Fau,Fau
Rpl9,Rps19,Rps9
Rps4x,Rpl37a,Rpl37a
Fau,Rps4x,Rps4x
Rpl18a,Rpl9,Rpl9
Rps23,Rpl13,Rpl13
Rpl13,Rps23,Rps13
Rps3a1,Rps13,Rps21
Rps20,Rps3,Rps23
Rps3,Rps21,Rps3
Rps27a,Rps3a1,Rps3a1
Rplp2,Rps20,Rplp2
Rps21,Rplp2,Rps20
Rps13,Rps27a,Rpl39
Rpl26,Rpl39,Rps27a
Rpl39,Rpl26,Rpl26
Rpl34,Rpl34,Rpl34
Rpl27a,Rpl27a,Sell
Rpl8,Sell,Rpl27a
Rps28,Rpl8,Rpl8
Rps5,Rps28,Rps5
Rpl36,Rps5,Arl4c
Rps18,Rpl36,Rps28
Rps8,Btg1,Rpl36
Rpl36a,Rps18,Btg1
Btg1,Arl4c,Rps18
Rps6,Rps8,Rps8
Rack1,Rps6,Rps6
Rpl18,Rpl36a,Rpl36a
Sell,Rpl18,Rpl18
Rps15,Rack1,Rack1
Arl4c,Rps15,Rps15
Rpl32,Rpl37,Rpl32
Rpl11,Rpl32,Rpl37
Rps25,Rpl11,Rpl11
Rpl37,Rpl38,Il7r
Eef1a1,Rps25,Rpl38
Rpl38,Rpl7,Dapl1
Rpl23a,Ltb,Rps25
Rpl7,Eef1a1,Lef1
Eef1b2,Dapl1,Rpl7
Rps10,Lef1,Eef1a1
Ltb,Il7r,Ltb
Lef1,Rpl23a,Rpl23a
Rapgef6,Rapgef6,Rapgef6
Rpl35,Tcf7,Foxp1
Rpl15,Foxp1,Ccnd2
Foxp1,Rps10,Tcf7
Rps11,Rpl15,Rps10
Satb1,Ccnd2,Ccr7
Rpl3,Satb1,Satb1
Npc2,Eef1b2,Rpl15
Il7r,Ccr7,Eef1b2
Rpl6,Rpl35,Rpl35
Tcf7,Rps11,Npc2
Dapl1,Npc2,Rps11
Rpl10,Rpl3,Rpl3
Rpl22,Rpl6,Ramp1
Ccnd2,Evl,Rpl6
Bcl11b,Txnip,Txnip
Cox7a2l,Ramp1,Evl
H2-K1,Rpl10,Grap2
Peli1,Grap2,Rpl22
Ccr7,Rpl22,Rpl10
Shisa5,H2-K1,Bcl11b
Rpl10a,Bcl11b,Rabac1
Rps26,Rabac1,Ssbp2
Rabac1,Peli1,Peli1
Ptpn18,Rgs10,Igfbp4
Evl,Ssbp2,Rgs10
Rpl27,Igfbp4,H2-K1
Grap2,Rpl10a,Il6ra
Txnip,Chd3,Rflnb
mt-Nd2,Shisa5,Chd3
Rpl24,Rps26,Rpl10a
Cd8b1,Cox7a2l,Cox7a2l
Hcst,Il6ra,Ccr9
Klf13,Rflnb,Shisa5
Ablim1,Rpl27,Tdrp
Rgs10,Ccr9,Rps26
mt-Nd4,Tdrp,Pdk1
Chd3,Pdk1,Rpl27
Pfdn5,Ptpn18,Klf3
Rps27rt,Tespa1,Il6st
Ramp1,Klf3,Tespa1
Mbnl1,Klf13,Ptpn18
Klf2,Il6st,Klf13
Fyb,Rps27rt,Pik3ip1
Pdcd4,mt-Nd2,Rps27rt
Mycbp2,Hcst,Fam189b
Igfbp4,Pik3ip1,mt-Nd2
Arhgap15,Fam189b,Hcst
Rpl14,Pdcd4,Pdcd4
Ssbp2,Rpl24,Rpl24
Arhgap45,Tnrc6b,Iigp1
Fam189b,Ablim1,Tnrc6b
Tnrc6b,mt-Nd4,Ablim1
Rflnb,Iigp1,Ctss
Eif4a2,Ctss,Cd2ap
Rps12,Klf2,Kbtbd11
Il6ra,Cd2ap,mt-Nd4
Klf3,Kbtbd11,Ifit1bl1
Ccr9,Tnrc6c,Rapgef4
Tespa1,Ifit1bl1,Tmem108
Rpl4,Rapgef4,Tnrc6c
Cd8a,Scml4,Scml4
Saraf,Tmem108,AC149090.1
Kmt2a,Arhgap15,Klf2
Tdrp,AC149090.1,Arhgap15
Rpl29,Ssh2,Zbtb20
Pdk1,Mycbp2,Ssh2
Srsf5,Zbtb20,Dph5
Limd2,Dph5,Mycbp2
Il6st,Cd8b1,Clec2d
Ogt,Clec2d,Zfp652
Macf1,Kmt2a,Treml2
Ssh2,Zfp652,Kmt2a
Ctss,Treml2,Cd8b1
Zfp292,Fyb,Atp1b1
S1pr1,Mbnl1,Znrf1
Pik3ip1,Zfp292,Nsg2
Clec2d,Znrf1,Fyb
Stat1,Atp1b1,Mbnl1
Tnrc6c,Nsg2,Zfp292
Nsd3,Pfdn5,Pmepa1
Rsrp1,Fam78a,Pfdn5
Iigp1,Pmepa1,Fam78a
Klrd1,Rps12,H2-DMa
Klk8,AB124611,AB124611
Nsa2,Itpr2,Itpr2
Stk38,H2-DMa,Crtc3
Ifi47,Crtc3,Bach2
