"","file","IL2_dependent","2020_mouse_CD8","CD4","CD8","Exp391_CD8","Wolski_curated_CD8"
"1","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/2_scVelo/0_scVelo_out_resampled/2_DE/0_Arm-vs-Cl13_diffVelocity.csv","yes","yes","yes","yes","yes",""
"2","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/2_scVelo/0_scVelo_out_resampled/2_DE/1_Arm-vs-Cl13_diffVelocity.csv","yes","yes","","","",""
"3","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/2_scVelo/0_scVelo_out_resampled/2_DE/10_Arm-vs-Cl13_diffVelocity.csv","yes","yes","yes","yes","yes",""
"4","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/2_scVelo/0_scVelo_out_resampled/2_DE/2_Arm-vs-Cl13_diffVelocity.csv","yes","yes","yes","yes","yes",""
"5","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/2_scVelo/0_scVelo_out_resampled/2_DE/3_Arm-vs-Cl13_diffVelocity.csv","yes","yes","yes","yes","yes",""
"6","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/2_scVelo/0_scVelo_out_resampled/2_DE/4_Arm-vs-Cl13_diffVelocity.csv","yes","yes","yes","yes","yes",""
"7","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/2_scVelo/0_scVelo_out_resampled/2_DE/5_Arm-vs-Cl13_diffVelocity.csv","yes","yes","yes","yes","yes",""
"8","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/2_scVelo/0_scVelo_out_resampled/2_DE/6_Arm-vs-Cl13_diffVelocity.csv","yes","yes","","","",""
"9","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/2_scVelo/0_scVelo_out_resampled/2_DE/7_Arm-vs-Cl13_diffVelocity.csv","yes","yes","yes","yes","yes",""
"10","/media/pipkin/ROCKET-PRO/CD8_DEV_SC/0_Acute-Chronic/2_scVelo/0_scVelo_out_resampled/2_DE/8_Arm-vs-Cl13_diffVelocity.csv","yes","yes","yes","yes","yes",""
