,P1_CD25KO-vs-CD25WT,P1_CD25WT-vs-CD25KO,P6_CD25KO-vs-CD25WT,P6_CD25WT-vs-CD25KO,P5_CD25KO-vs-CD25WT,P5_CD25WT-vs-CD25KO,P4_CD25KO-vs-CD25WT,P4_CD25WT-vs-CD25KO,P7_CD25KO-vs-CD25WT,P7_CD25WT-vs-CD25KO,P3_CD25KO-vs-CD25WT,P3_CD25WT-vs-CD25KO,P2_CD25KO-vs-CD25WT,P2_CD25WT-vs-CD25KO
0,Cd3d,,,,,,,,,,,,,Lgals3
1,Cd69,,,,,,,,,,,,,Cd48
2,Il17ra,,,,,,,,,,,,,Itgb2
3,Icam2,,,,,,,,,,,,,Hmmr
4,Il10rb,,,,,,,,,,,,,
5,Il21r,,,,,,,,,,,,,
6,Lgals9,,,,,,,,,,,,,
7,Notch1,,,,,,,,,,,,,
8,Tlr1,,,,,,,,,,,,,
9,Cd320,,,,,,,,,,,,,
10,Mvp,,,,,,,,,,,,,
11,Igf2r,,,,,,,,,,,,,
12,Ifngr2,,,,,,,,,,,,,
13,Ly75,,,,,,,,,,,,,
14,Crtam,,,,,,,,,,,,,
15,Notch2,,,,,,,,,,,,,
16,Cd160,,,,,,,,,,,,,
17,Cd1d1,,,,,,,,,,,,,
