,P0,P1,P6,P5,P4,P0.2,P0.1,P7,P3,P2
P0,,,Cd48|Lgals3|Itga4|Ifngr1|Spn|Cd28|Itgb1|Klrc1|Klrk1|Klrg1|Il2rb|Cxcr3|Ccr2|Il18r1|Itgax|Slamf7|Il18rap|Cx3cr1|Ccr5|Klrc2|Cd44|Icos|Cd9|Lag3|Igkc|Fasl|Klrb1c|Itga1|Itgam|Cd68|Ctla4|Il10ra|Havcr2|Tnfsf14|Fcgr3|Cd38|Il12rb1|Il3ra|Pdcd1|Nrp1|Adam8|Entpd1|Fcgr2b|Alcam|Cd80,Cd48|Lgals3|Itga4|Spn|Ifngr1|Itgb1|Cd28|Klrc1|Klrg1|Il2rb|Klrk1|Hmmr|Cxcr3|Slamf7|Itgax|Cx3cr1|Il18r1|Il18rap|Ccr2|Ccr5|Icos|Cd44|Klrc2|Lag3|Fasl|Tnfrsf9|Ctla4|Alcam|Havcr2|Itga1|Pdcd1|Il3ra|Cd68|Il12rb1|Ptprj|Itgam|Adam8|Tnfsf14|Cd38|Tnfsf9|Nrp1|Il2ra|Entpd1|Fcgr2b,Lgals3|Cd48|Itga4|Itgb1|Il2rb|Klrc1|Klrg1|Cxcr3|Klrk1|Slamf7|Itgax|Il18r1|Ccr2|Cx3cr1|Icos|Il18rap|Ccr5|Lag3|Cd44|Igf2r|Klrc2|Igkc|Tnfrsf9|Ctla4|Havcr2|Fasl|Pdcd1|Itgam|Cd68|Alcam|Hmmr|Itga1|Il3ra|Nrp1|Il12rb1|Plxnc1|Il10ra|Tnfsf9|Adam8|Tnfrsf13c|Tnfsf14|Ptprj|Cd38|Il2ra|Il1rl1|Fcgr2b|Cd80|Entpd1,Ly6c1|Cd9|Trgv2,,Cd48|Ly6a|Lgals3|Itgb2|Itga4|Spn|Ifngr1|Klrg1|Itgb1|Cx3cr1|Klrk1|Klrc1|Cxcr3|Ccr2|Hmmr|Itgax|Slamf7|Il18r1|Il18rap|Icos|Klrc2|Ccr5|Igkc|Havcr2|Lag3|Cd44|Fasl|Itgam|Alcam|Itga1,Itgb1|Cd28|Itga4|Cxcr3|Cd160|Lgals3|Klrc1|Cd9|Icos|Klrk1|Crtam|Il18r1|Lag3|Cd44|Slamf7|Ctla4|Igkc|Klrc2|Il18rap|Tnfrsf25|Pdcd1|Itgax|Cd68|Ccr5|Alcam|Nrp1|Il3ra|Il12rb1|Cd38,Lgals3|Itga4|Il2rb|Itgb1|Cxcr3|Hmmr|Klrc1|Icos|Il18r1|Klrk1|Slamf7|Klrg1|Ccr2|Pdcd1|Tnfrsf9|Cd44|Itgax|Lag3|Il18rap|Ctla4|Ccr5|Klrc2|Alcam|Havcr2|Itgam|Il12rb1|Cd68|Il2ra
P1,Ccr9|Itgae|Itgb3,,Cd48|Itgb2|Lgals3|Itga4|Itgb1|Klrc1|Itgal|Klrk1|Klrg1|Cxcr3|Ccr2|Cxcr6|Il18r1|Itgax|Slamf7|Il18rap|Cx3cr1|Cd160|Ccr5|Klrc2|Cd44|Cd9|Lag3|Crtam|Lair1|Igkc|Fasl|Klrb1c|Itga1|Itgam|Cd68|Ctla4|Havcr2|Tnfsf14|Fcgr3|Cd38|Il3ra|Pdcd1|Nrp1|Adam8|Entpd1|Fcgr2b|Tnfrsf13c|Alcam|Trdv2-2|Ly96|Cd80,Cd48|Lgals3|Itgb2|Itga4|Itgb1|Itgal|Klrc1|Klrg1|Klrk1|Hmmr|Cxcr3|Slamf7|Itgax|Cx3cr1|Il18rap|Cd160|Ccr2|Cxcr6|Ccr5|Cd44|Klrc2|Lag3|Igkc|Lair1|Fasl|Tnfrsf9|Ctla4|Alcam|Havcr2|Slamf1|Itga1|Pdcd1|Il3ra|Igsf8|Cd68|Ptprj|Itgam|Adam8|Tnfsf14|Cd38|Tnfsf9|Nrp1|Itgb3|Il2ra|Tnfrsf13c|Trdv2-2|Entpd1|Ly96|Sema7a|Fcgr2b,Lgals3|Cd48|Itga4|Itgb2|Itgb1|Itgal|Klrc1|Klrg1|Cxcr3|Klrk1|Cxcr6|Cd160|Slamf7|Itgax|Ccr2|Cx3cr1|Il18rap|Ccr5|Lag3|Cd44|Igf2r|Klrc2|Cd9|Igkc|Lair1|Tnfrsf9|Ctla4|Havcr2|Fasl|Pdcd1|Itgam|Cd68|Alcam|Hmmr|Itga1|Il3ra|Nrp1|Tnfsf9|Adam8|Igsf8|Tnfrsf13c|Tnfsf14|Ptprj|Cd38|Ly96|Il1rl1|Fcgr2b|Cd80|Entpd1,Ccr9|Ly6c1|Cd9|Trgv2|Itgae|Tnfrsf1a|Itgb3,,Cd48|Lgals3|Itgb2|Itga4|Klrg1|Itgb1|Itgal|Cx3cr1|Klrk1|Klrc1|Cxcr3|Ccr2|Hmmr|Itgax|Slamf7|Cd160|Cxcr6|Il18rap|Klrc2|Ccr5|Igkc|Havcr2|Cd9|Lag3|Cd44|Tnfrsf1b|Crtam|Fasl|Itgam|L1cam|Alcam,Itgb1|Itga4|Itgb2|Cxcr3|Cd160|Lgals3|Klrc1|Itgal|Cd9|Sema4d|Icos|Klrk1|Crtam|Lag3|Cd44|Slamf7|Ctla4|Igkc|Klrc2|Il18rap|Tnfrsf25|Pdcd1|Itgax|Cd68|Tnfrsf9|Ccr5|Alcam|Nrp1|Il3ra|Tnfsf14|Cd38,Lgals3|Cd48|Itga4|Il2rb|Itgb1|Cxcr3|Hmmr|Cd160|Klrc1|Icos|Klrk1|Cxcr6|Slamf7|Klrg1|Ccr2|Pdcd1|Tnfrsf9|Cd44|Itgax|Lag3|Il18rap|Ctla4|Ccr5|Klrc2|Alcam|Lair1|Havcr2|Itgam|Cd68|Ptprj
P6,Sell|Ccr7|Ccr9|Il6ra|Il6st|Treml2|Itgae|Il4ra|Tnfsf8|Ifngr2|Ly6k|Ighd|Eng|Igf1r|Insr|Art4,Sell|Ccr7|Il7r|Il6ra|Treml2|Ccr9|Il4ra|Il6st|Izumo1r|Tlr1,,Hmmr|Slamf1|Igsf8,Hmmr|Igsf8,Ighm|Ccr9|Sell|Ly6c1|Ccr7|Il7r|Pecam1|Trgv2|Itgae|Il6st|Treml2|Il6ra|Art4,Sell|Ccr7|Il7r|Il6ra|Ccr9|Il6st|Itgae|Ifngr2|Treml2,Hmmr,Ighm|Slamf6|Tnfsf8|Ccr7|Tnfrsf25,Hmmr
P5,Ighm|Sell|Ccr7|Ccr9|Il7r|Il6ra|Il6st|Cd72|Treml2|Itgae|Il4ra|Tnfsf8|Ifngr2|Ly6k|Tlr1|Ighd|Eng|Igf1r|Plaur|Insr|Izumo1r|Art4,Sell|Ccr7|Il7r|Il6ra|Pecam1|Treml2|Ccr9|Il4ra|Cd55|Il6st|Tnfsf8|Izumo1r|Tlr1|Ifngr2,Klrb1c|Fcgr3|Cd101,,,Cd27|Ighm|Ccr9|Sell|Ly6c1|Ccr7|Il7r|Pecam1|Trgv2|Itgae|Il6st|Treml2|Il6ra|Ly6d|Ifngr2|Art4|Tlr1,Sell|Ccr7|Il7r|Cd7|Il6ra|Ccr9|Pecam1|Il6st|Il4ra|Itgae|Cd55|Tnfsf8|Ifngr2|Treml2|Cd320,,Ighm|Slamf6|Cd9|Crtam|Tnfsf8|Ccr7|Pecam1|Sell|Tnfrsf25,Sell|Ccr7
P4,Sell|Ccr7|Ccr9|Il7r|Il6ra|Il6st|Treml2|Itgae|Tnfsf8|Ifngr2|Ly6k|Tlr1|Ighd|Eng|Igf1r|Plaur|Insr|Art4,Sell|Ccr7|Il7r|Il6ra|Treml2|Ccr9|Cd55|Il6st|Tnfsf8|Izumo1r|Tlr1|Ifngr2,Klrb1c|Fcgr3,Hmmr,,Ighm|Ccr9|Sell|Ly6c1|Ccr7|Il7r|Pecam1|Trgv2|Itgae|Il6st|Treml2|Il6ra|Itgb3|Ifngr2|Art4,Sell|Ccr7|Il7r|Cd7|Il6ra|Ccr9|Il6st|Itgae|Tnfsf8|Ifngr2|Treml2,Hmmr,Ighm|Slamf6|Crtam|Tnfsf8|Ccr7|Sell|Tnfrsf25,Hmmr|Sell
P0.2,Cd8b1|Cd8a|Igf2r|Igkc,Cd8b1|Cd8a,Cd8b1|Klrd1|Cd48|Lgals3|Itga4|Cd8a|Itgb1|Klrc1|Klrk1|Klrg1|Il2rb|Cxcr3|Ccr2|Cxcr6|Il18r1|Itgax|Slamf7|Il18rap|Cx3cr1|Ccr5|Klrc2|Cd44|Icos|Lag3|Crtam|Igkc|Fasl|Klrb1c|Itga1|Itgam|Igf2r|Cd68|Ctla4|Il10ra|Havcr2|Fcgr3|Cd38|Pdcd1|Abcb1a|Nrp1|Adam8|Entpd1|Fcgr2b|Alcam|Cd101|Cd80,Cd8b1|Cd48|Lgals3|Cd8a|Itga4|Klrd1|Itgb1|Klrc1|Klrg1|Il2rb|Klrk1|Hmmr|Cxcr3|Slamf7|Itgax|Cx3cr1|Il18r1|Il18rap|Ccr2|Ccr5|Icos|Cd44|Klrc2|Lag3|Igf2r|Igkc|Fasl|Tnfrsf9|Ctla4|Alcam|Havcr2|Itga1|Pdcd1|Crtam|Igsf8|Cd68|Ptprj|Itgam|Adam8|Cd38|Tnfsf9|Nrp1|L1cam|Entpd1|Fcgr2b,Cd8b1|Lgals3|Cd48|Cd8a|Klrd1|Itgb1|Il2rb|Klrc1|Klrg1|Cxcr3|Klrk1|Cd160|Slamf7|Itgax|Il18r1|Ccr2|Cx3cr1|Icos|Il18rap|Ccr5|Lag3|Cd44|Igf2r|Klrc2|Igkc|Tnfrsf9|Ctla4|Havcr2|Fasl|Pdcd1|Itgam|Cd68|Crtam|Alcam|Hmmr|Itga1|Nrp1|Tnfsf9|Adam8|Igsf8|Tnfrsf13c|Cd38|L1cam|Fcgr2b|Cd80,,Cd8b1|Cd8a,Cd8b1|Cd48|Lgals3|Cd8a|Itgb2|Klrd1|Itga4|Klrg1|Itgb1|Cx3cr1|Klrk1|Klrc1|Cxcr3|Ccr2|Hmmr|Itgax|Slamf7|Cd160|Il18r1|Il18rap|Icos|Klrc2|Ccr5|Igkc|Havcr2|Lag3|Cd44|Igf2r|Crtam|Fasl|Itgam|L1cam|Alcam|Itga1,Cd8b1|Cd8a|Klrd1|Itgb1|Cxcr3|Cd160|Lgals3|Klrc1|Icos|Klrk1|Crtam|Il18r1|Lag3|Tnfsf8|Cd44|Slamf7|Ctla4|Igkc|Klrc2|Il18rap|Pdcd1|Cd68|Igf2r|Alcam|Nrp1,Lgals3|Il2rb|Itgb1|Cxcr3|Hmmr|Klrc1|Icos|Il18r1|Klrk1|Slamf7|Klrg1|Ccr2|Pdcd1|Tnfrsf9|Cd44|Itgax|Crtam|Lag3|Igf2r|Ctla4|Alcam|Havcr2|Itgam|Igsf8
P0.1,,,Cd48|Itgb2|Lgals3|Ly6a|Itga4|Ifngr1|Itgb1|Klrc1|Itgal|Klrk1|Klrg1|Il2rb|Cxcr3|Ccr2|Cxcr6|Il18r1|Itgax|Slamf7|Il18rap|Cx3cr1|Cd160|Ccr5|Klrc2|Cd44|Lag3|Crtam|Lair1|Fasl|Klrb1c|Itga1|Itgam|Cd68|Ctla4|Havcr2|Tnfsf14|Tnfrsf1b|Fcgr3|Cd38|Il12rb1|Pdcd1|Abcb1a|Nrp1|Tnfrsf9|Adam8|Entpd1|Fcgr2b|Cd86|Alcam|Cd80,Cd48|Lgals3|Ly6a|Itgb2|Itga4|Itgb1|Itgal|Klrc1|Klrg1|Il2rb|Klrk1|Hmmr|Cxcr3|Slamf7|Itgax|Cx3cr1|Il18r1|Il18rap|Cd160|Ccr2|Ccr5|Icos|Cd44|Klrc2|Lag3|Lair1|Fasl|Tnfrsf9|Ctla4|Alcam|Havcr2|Itga1|Pdcd1|Il3ra|Igsf8|Cd68|Tnfrsf1b|Il12rb1|Ptprj|Itgam|Adam8|Tnfsf14|Cd38|Tnfsf9|Nrp1|Abcb1a|Gypc|L1cam|Cd86|Entpd1|Sema7a|Cd40lg|Fcgr2b,Lgals3|Cd48|Ly6a|Itga4|Itgb2|Itgb1|Itgal|Il2rb|Klrc1|Klrg1|Cxcr3|Klrk1|Cxcr6|Cd160|Slamf7|Itgax|Il18r1|Ccr2|Cx3cr1|Icos|Il18rap|Ccr5|Lag3|Cd44|Klrc2|Igkc|Lair1|Tnfrsf9|Ctla4|Havcr2|Fasl|Pdcd1|Itgam|Cd68|Alcam|Tnfrsf1b|Hmmr|Itga1|Nrp1|Il12rb1|Tnfsf9|Adam8|Igsf8|Tnfsf14|Ptprj|Cd38|Gypc|Cd24a|Il1rl1|Cd86|Fcgr2b|Cd80|Entpd1,Ly6a|Ccr9|Ly6c1|Trgv2,,Cd48|Ly6a|Lgals3|Itgb2|Itga4|Bsg|Klrg1|Itgb1|Itgal|Cx3cr1|Il2rb|Klrk1|Klrc1|Cxcr3|Ccr2|Hmmr|Itgax|Slamf7|Cd160|Il18r1|Cxcr6|Il18rap|Icos|Klrc2|Ccr5|Igkc|Havcr2|Lag3|Cd44|Tnfrsf1b|Crtam|Fasl|L1cam|Itga1|Cd86|Cd68,Ly6a|Itgb1|Cd28|Cxcr3|Cd160|Lgals3|Il2rb|Klrc1|Cd9|Icos|Klrk1|Crtam|Il18r1|Lag3|Cd44|Slamf7|Ctla4|Igkc|Klrc2|Il18rap|Tnfrsf25|Pdcd1|Itgax|Cd68|Tnfrsf9|Ccr5|Alcam|Nrp1|Il12rb1|Tnfsf14|Cd38,Lgals3|Ly6a|Il2rb|Itgb1|Cxcr3|Hmmr|Cd160|Klrc1|Icos|Klrk1|Slamf7|Klrg1|Ccr2|Pdcd1|Tnfrsf9|Cd44|Itgax|Crtam|Lag3|Il18rap|Ctla4|Ccr5|Klrc2|Alcam|Tnfrsf1b|Lair1|Havcr2|Itgam|Il12rb1|Cd68|Cx3cr1
P7,Sell|Ccr7|Ccr9|Il7r|Il6ra|Il6st|Cd72|Treml2|Itgae|Tnfsf8|Ifngr2|Ly6k|Tfrc|Ighd|Eng|Igf1r|Plaur|Insr|Izumo1r|Art4,Sell|Ccr7|Il7r|Il6ra|Treml2|Cebpb|Cd72|Il6st|Tnfsf8|Cd274|Izumo1r|Tlr1,Lair1|Klrb1c|Fcgr3,Igsf8|Ptprj,Igsf8|Tfrc,Ighm|Ccr9|Sell|Ly6c1|Ccr7|Slamf6|Il7r|Pecam1|Trgv2|Itgae|Il6st|Treml2|Il6ra|Cebpb|Ly6d|Art4,Sell|Ccr7|Il7r|Cd7|Slamf6|Il6ra|Ccr9|Pecam1|Il6st|Itgae|Tnfsf8|Ifngr2|Treml2,,Slamf6|Tnfsf8|Ctla4|Ccr7|Pecam1|Sell|Tnfrsf25|Cd72,Sell|Tfrc
P3,Sell|Ccr9|Il6ra|Il6st|Treml2|Itgae|Ifngr2|Tfrc|Ighd|Eng|Igf1r|Art4|Abcg2,Sell|Ccr7|Il7r|Il6ra|Treml2|Ccr9|Ifngr2,Klrg1|Ccr2|Cxcr6|Itgax|Cx3cr1|Fasl|Klrb1c|Itga1|Itgam|Havcr2|Entpd1,Klrg1|Hmmr|Cx3cr1|Fasl|Havcr2|Itga1|Il2ra|Entpd1|Itga2,Lgals3|Klrg1|Cxcr6|Cx3cr1|Havcr2|Fasl|Itgam|Hmmr|Itga1|Tfrc,Ccr9|Sell|S1pr1|Ly6c1|Trgv2|Itgae|Treml2|Il6ra|Ifngr2|Art4,Sell|Ccr7|Il7r|Il6ra|Ccr9|Il6st|Itgae|Ifngr2,Lgals3|Klrg1|Cx3cr1|Ccr2|Hmmr|Havcr2,,Hmmr|Havcr2|Tfrc|Il2ra
P2,Sell|Ccr7|Ccr9|Itgae|Ifngr2|Igf1r|Plaur,Sell|Ccr7|Il7r|Cd274,Klrd1|Klrg1|Itgax|Cx3cr1|Fasl|Klrb1c|Itga1|Il10ra|Fcgr3,Klrg1|Cx3cr1|Fasl,Cx3cr1|Fasl,Ccr9|Sell|Ly6c1|Ccr7|Trgv2|Itgae|Ly6d,Sell|Ccr7|Il7r|Il6ra|Ifngr2,Klrg1|Cx3cr1,Tnfrsf25,
