,P0,P1,P6,P5,P4,P0.2,P0.1,P7,P3,P2
P0,,,Ccl5|Hmgb1|Gpi1|Ccl4|Pglyrp1|Ifng|Aimp1|Cmtm7|Ccl3|Crlf2|Flt3l|Fasl|Il2|Tnfsf14|Xcl1|Gdf11|Tnfsf9,Ccl5|Hmgb1|Cmtm7|Gpi1|Pglyrp1|Aimp1|Tgfb1|Ccl4|Ifng|Crlf2|Cklf|Ccl3|Fasl|Il2|Ccl27a|Tnfsf14|Tnfsf9|Gdf11,Ccl5|Hmgb1|Mif|Gpi1|Cmtm7|Pglyrp1|Aimp1|Ifng|Tgfb1|Ccl4|Crlf2|Ccl3|Fasl|Nampt|Il2|Ccl27a|Tnfsf9|Tnfsf14|Il18|Ccl6,Hmgb1|Cmtm7,,Ccl5|Hmgb1|Cmtm7|Ccl4|Ifng|Pglyrp1|Aimp1|Crlf2|Ccl3|Fasl|Ccl27a,Ccl5|Gpi1|Pglyrp1|Aimp1|Ifng|Tnfsf8|Ccl4|Ccl3|Xcl1|Tnfsf14,Hmgb1|Mif|Ccl5|Cmtm7|Gpi1|Aimp1|Pglyrp1|Tgfb1|Ifng|Ccl4|Ccl3|Tnfsf9|Il18
P1,Mif|Cmtm7|Flt3l,,Ccl5|Hmgb1|Gpi1|Ccl4|Pglyrp1|Ifng|Aimp1|Cmtm7|Ccl3|Crlf2|Flt3l|Tgfb1|Fasl|Il2|Tnfsf14|Ccl27a|Gdf11|Tnfsf9,Ccl5|Hmgb1|Mif|Cmtm7|Gpi1|Pglyrp1|Tgfb1|Ccl4|Ifng|Crlf2|Cklf|Ccl3|Flt3l|Fasl|Il2|Ccl27a|Tnfsf14|Tnfsf9|Gdf11,Ccl5|Hmgb1|Mif|Gpi1|Cmtm7|Pglyrp1|Aimp1|Ifng|Tgfb1|Ccl4|Crlf2|Ccl3|Flt3l|Fasl|Nampt|Il2|Ccl27a|Tnfsf9|Tnfsf14|Cmtm3|Il18,Hmgb1|Cmtm7,,Ccl5|Hmgb1|Cmtm7|Ccl4|Ifng|Pglyrp1|Crlf2|Tgfb1|Ccl3|Fasl|Ccl27a,Ccl5|Mif|Hmgb1|Gpi1|Pglyrp1|Cmtm7|Ifng|Tnfsf8|Crlf2|Ccl4|Ccl3|Xcl1|Tnfsf14,Hmgb1|Mif|Ccl5|Cmtm7|Gpi1|Aimp1|Pglyrp1|Tgfb1|Ifng|Ccl4|Ccl3|Ccl27a|Tnfsf9|Il18
P6,Ltb|Mif|Tnfsf8|Tnf,Ltb|Tnfsf8,,Hmgb1|Mif|Cmtm7|Tgfb1,Hmgb1|Mif|Cmtm7|Tgfb1,Ltb|Hmgb1,Ltb|Tnfsf8,Hmgb1|Cmtm7,Ltb|Mif|Gpi1|Tnfsf8,Hmgb1|Mif|Cmtm7
P5,Ltb|Il16|Tnfsf8|Clcf1|Tnf|Lta,Ltb|Tnfsf8,Ccl5|Ltb|Ccl4|Pglyrp1|Ccl3,,Mif|Ltb|Aimp1,Ltb,Ltb|Il16|Clcf1|Tnfsf8,,Ltb|Gpi1|Pglyrp1|Tnfsf8|Xcl1,Mif|Ltb
P4,Ltb|Il16|Tnfsf8|Clcf1|Osm,Ltb|Tnfsf8|Clcf1,Ccl5|Ltb|Ccl4|Ccl3|Flt3l|Gdf11,Hmgb1|Cmtm7|Tnfsf10,,Ltb|Clcf1|Tnfsf8,Ltb|Il16|Clcf1|Tnfsf8,Ccl4,Ltb|Gpi1|Tnfsf8|Xcl1,
P0.2,Mif|Flt3l,,Ccl5|Gpi1|Ccl4|Pglyrp1|Ifng|Aimp1|Ccl3|Crlf2|Flt3l|Fasl|Il2|Tnfsf14|Tnfsf9,Ccl5|Hmgb1|Mif|Cmtm7|Gpi1|Pglyrp1|Aimp1|Tgfb1|Ccl4|Ifng|Crlf2|Ccl3|Flt3l|Fasl|Il2|Ccl27a|Tnfsf9,Ccl5|Hmgb1|Mif|Gpi1|Cmtm7|Pglyrp1|Aimp1|Ifng|Tgfb1|Ccl4|Crlf2|Ccl3|Flt3l|Fasl|Il2|Ccl27a|Tnfsf9|Il18|Ccl6,,,Ccl5|Hmgb1|Cmtm7|Ccl4|Ifng|Pglyrp1|Aimp1|Crlf2|Ccl3|Fasl,Ccl5|Mif|Gpi1|Pglyrp1|Ifng|Tnfsf8|Ccl4|Ccl3,Hmgb1|Mif|Ccl5|Cmtm7|Gpi1|Aimp1|Pglyrp1|Ifng|Tnfsf9
P0.1,Mif|Flt3l|Nampt,,Ccl5|Hmgb1|Gpi1|Ccl4|Pglyrp1|Ifng|Aimp1|Cmtm7|Ccl3|Crlf2|Flt3l|Fasl|Il2|Tnfsf14|Nampt|Ccl27a|Xcl1|Gdf11,Ccl5|Hmgb1|Mif|Cmtm7|Gpi1|Pglyrp1|Aimp1|Tgfb1|Ccl4|Ifng|Crlf2|Ccl3|Flt3l|Fasl|Il2|Nampt|Ccl27a|Tnfsf14|Tnfsf9|Cxcl10|Tnfsf10|Cd40lg,Ccl5|Hmgb1|Mif|Gpi1|Cmtm7|Pglyrp1|Aimp1|Ifng|Tgfb1|Ccl4|Crlf2|Ccl3|Flt3l|Fasl|Nampt|Il2|Ccl27a|Tnfsf9|Tnfsf14|Il18|Ccl6,Hmgb1|Cmtm7|Nampt,,Ccl5|Hmgb1|Cmtm7|Ccl4|Ifng|Pglyrp1|Aimp1|Crlf2|Ccl3|Flt3l|Fasl|Ccl27a,Ccl5|Mif|Gpi1|Pglyrp1|Aimp1|Cmtm7|Ifng|Tnfsf8|Ccl4|Ccl3|Xcl1|Nampt|Tnfsf14,Hmgb1|Mif|Ccl5|Cmtm7|Gpi1|Aimp1|Pglyrp1|Tgfb1|Ifng|Ccl4|Nampt|Ccl3|Ccl27a|Fasl|Il18
P7,Ltb|Mif|Tnfsf8|Clcf1|Wnt4,Ltb|Tnfsf8|Wnt4,Ccl5|Ltb|Flt3l|Tnfsf14|Gdf11,Hmgb1|Mif|Tgfb1|Gdf11,Mif|Gpi1|Tgfb1|Nampt,Ltb,Ltb|Clcf1|Tnfsf8,,Ltb|Mif|Gpi1|Tnfsf8|Xcl1,Mif|Tnfsf8
P3,Clcf1|Wnt4,Clcf1|Wnt4,Ccl5|Ccl4|Ifng|Ccl3|Flt3l|Fasl,Ccl5|Hmgb1|Cmtm7|Tgfb1|Ccl4|Ifng|Cklf|Ccl3|Flt3l|Fasl|Ccl27a,Ccl5|Hmgb1|Mif|Cmtm7|Ifng|Tgfb1|Ccl4|Fasl|Tnfsf9,Hmgb1|Clcf1,Clcf1,Ccl5|Hmgb1|Cmtm7|Ccl4|Ifng|Fasl,,Hmgb1|Mif|Cmtm7|Tgfb1
P2,Ltb|Il16|Clcf1,Ltb|Clcf1,Ccl5|Ccl4|Pglyrp1|Ifng|Ccl3|Crlf2|Flt3l|Il16|Fasl|Tnfsf14|Gdf11,Ccl5|Hmgb1|Pglyrp1|Tgfb1|Ccl4|Ifng|Crlf2|Ccl3|Flt3l|Fasl,Ccl5|Pglyrp1|Ifng|Ccl4|Crlf2|Ccl3|Fasl,Ltb|Il16|Clcf1,Ltb|Il16|Clcf1,Ccl5|Ccl4|Ifng|Crlf2|Il16|Ccl3,Ccl5|Ltb|Gpi1|Pglyrp1|Tnfsf8,
