,P0,P1,P6,P5,P4,P0.2,P0.1,P7,P3,P2
P0,,,Cd48|Lgals3|Itga4|Ifngr1|Spn|Cd28|Itgb1|Klrc1|Klrk1|Klrg1|Il2rb|Cxcr3|Ccr2|Il18r1|Itgax|Slamf7|Il18rap|Cx3cr1|Ccr5|Klrc2|Cd44|Icos|Cd9|Lag3|Igkc|Fasl|Klrb1c|Itga1|Itgam|Cd68|Ctla4|Il10ra|Havcr2|Tnfsf14|Ncr1|Fcgr3|Cd38|Il12rb1|Il3ra|Pdcd1|Nrp1|Adam8|Entpd1|Fcgr2b|Alcam|Klra3|Il2ra|Ly96|Tnfsf9|Cd80,Cd48|Lgals3|Itga4|Spn|Ifngr1|Itgb1|Cd28|Klrc1|Klrg1|Il2rb|Klrk1|Hmmr|Cxcr3|Slamf7|Itgax|Cx3cr1|Il18r1|Il18rap|Ccr2|Ccr5|Icos|Cd44|Klrc2|Lag3|Fasl|Tnfrsf9|Ctla4|Alcam|Havcr2|Itga1|Pdcd1|Il3ra|Cd68|Il12rb1|Ptprj|Itgam|Adam8|Tnfsf14|Ifitm1|Cd38|Tnfsf9|Nrp1|Il2ra|Entpd1|Ly96|Klrb1c|Sema7a|Fcgr2b|Cd80,Lgals3|Cd48|Itga4|Itgb1|Il2rb|Klrc1|Klrg1|Cxcr3|Klrk1|Slamf7|Itgax|Il18r1|Ccr2|Cx3cr1|Icos|Il18rap|Ccr5|Lag3|Cd44|Igf2r|Klrc2|Igkc|Tnfrsf9|Ctla4|Havcr2|Fasl|Pdcd1|Itgam|Cd68|Alcam|Hmmr|Itga1|Il3ra|Nrp1|Il12rb1|Plxnc1|Il10ra|Tnfsf9|Adam8|Tnfrsf13c|Tnfsf14|Ptprj|Cd38|Ifitm1|Cd24a|Il2ra|Ly96|Il1rl1|Fcgr2b|Cd80|Entpd1|Klrb1c,Ly6c1|Cd9|Trgv2,,Cd48|Ly6a|Lgals3|Itgb2|Itga4|Spn|Ifngr1|Klrg1|Itgb1|Cx3cr1|Klrk1|Klrc1|Cxcr3|Ccr2|Hmmr|Itgax|Slamf7|Il18r1|Il18rap|Icos|Klrc2|Ccr5|Igkc|Havcr2|Lag3|Cd44|Fasl|Itgam|L1cam|Alcam|Itga1|Il3ra|Ctla4|Cd68|Pdcd1|Entpd1,Itgb1|Cd28|Itga4|Cxcr3|Cd160|Lgals3|Klrc1|Cd9|Icos|Klrk1|Crtam|Il18r1|Lag3|Cd44|Slamf7|Ctla4|Igkc|Klrc2|Il18rap|Tnfrsf25|Pdcd1|Itgax|Cd68|Tnfrsf9|Ccr5|Ccr2|Alcam|Nrp1|Plxnc1|Il3ra|Il12rb1|Tnfsf14|Cd38|Cxcr5|Il1rl1,Lgals3|Itga4|Il2rb|Itgb1|Cxcr3|Hmmr|Klrc1|Icos|Il18r1|Klrk1|Slamf7|Klrg1|Ccr2|Pdcd1|Tnfrsf9|Cd44|Itgax|Lag3|Il18rap|Ctla4|Ccr5|Klrc2|Alcam|Havcr2|Itgam|Il12rb1|Cd68|Cx3cr1|Il2ra|Tnfsf9|Ptprj|Itga1
P1,Ccr9|Itgae|Igkc|Itgb3,,Cd48|Itgb2|Lgals3|Itga4|Itgb1|Klrc1|Itgal|Klrk1|Klrg1|Cxcr3|Ccr2|Cxcr6|Il18r1|Itgax|Slamf7|Il18rap|Cx3cr1|Cd160|Ccr5|Klrc2|Cd44|Cd9|Lag3|Crtam|Lair1|Igkc|Fasl|Klrb1c|Itga1|Itgam|Cd68|Ctla4|Havcr2|Tnfsf14|Ncr1|Fcgr3|Cd38|Il3ra|Pdcd1|Nrp1|Adam8|Entpd1|Fcgr2b|Tnfrsf13c|Itga2|Alcam|Klra3|Trdv2-2|Il2ra|Ly96|Tnfsf9|Cd80|Itgb3|Ptprj,Cd48|Lgals3|Itgb2|Itga4|Itgb1|Itgal|Klrc1|Klrg1|Klrk1|Hmmr|Cxcr3|Slamf7|Itgax|Cx3cr1|Il18rap|Cd160|Ccr2|Cxcr6|Ccr5|Cd44|Klrc2|Lag3|Igkc|Lair1|Fasl|Tnfrsf9|Ctla4|Alcam|Havcr2|Slamf1|Itga1|Pdcd1|Il3ra|Igsf8|Cd68|Ptprj|Itgam|Adam8|Tnfsf14|Ifitm1|Cd38|Tnfsf9|Nrp1|Itgb3|Il2ra|Tnfrsf13c|L1cam|Trdv2-2|Entpd1|Cd24a|Ly96|Klrb1c|Sema7a|Itga2|Fcgr2b|Cd80,Lgals3|Cd48|Itga4|Itgb2|Itgb1|Itgal|Klrc1|Klrg1|Cxcr3|Klrk1|Cxcr6|Cd160|Slamf7|Itgax|Ccr2|Cx3cr1|Il18rap|Ccr5|Lag3|Cd44|Igf2r|Klrc2|Cd9|Igkc|Lair1|Tnfrsf9|Ctla4|Havcr2|Fasl|Pdcd1|Itgam|Cd68|Alcam|Hmmr|Itga1|Il3ra|Nrp1|Tnfsf9|Adam8|Igsf8|Tnfrsf13c|Tnfsf14|Ptprj|Cd38|Cd24a|Il2ra|L1cam|Ly96|Il1rl1|Trdv2-2|Itgb3|Fcgr2b|Pdcd1lg2|Cd80|Entpd1|Sema7a,Ccr9|Ly6c1|Cd9|Trgv2|Itgae|Tnfrsf1a|Itgb3|Ly6d,,Cd48|Lgals3|Itgb2|Itga4|Klrg1|Itgb1|Itgal|Cx3cr1|Klrk1|Klrc1|Cxcr3|Ccr2|Hmmr|Itgax|Slamf7|Cd160|Cxcr6|Il18rap|Klrc2|Ccr5|Igkc|Havcr2|Cd9|Lag3|Cd44|Tnfrsf1b|Crtam|Slamf1|Fasl|Itgam|L1cam|Alcam|Itga1|Il3ra|Tnfrsf13c|Cd68|Pdcd1|Trdv2-2|Entpd1|Nrp1|Ly96,Itgb1|Itga4|Itgb2|Cxcr3|Cd160|Lgals3|Klrc1|Itgal|Cd9|Sema4d|Icos|Klrk1|Crtam|Lag3|Cd44|Slamf7|Ctla4|Igkc|Klrc2|Il18rap|Tnfrsf25|Pdcd1|Itgax|Cd68|Tnfrsf9|Ccr5|Ccr2|Alcam|Nrp1|Il3ra|Tnfsf14|Cd38|Itgb3|Tnfrsf13c|Il1rl1|Ly96,Lgals3|Cd48|Itga4|Il2rb|Itgb1|Cxcr3|Hmmr|Cd160|Klrc1|Icos|Klrk1|Cxcr6|Slamf7|Klrg1|Ccr2|Pdcd1|Tnfrsf9|Cd44|Itgax|Lag3|Il18rap|Ctla4|Ccr5|Klrc2|Alcam|Lair1|Havcr2|Tfrc|Itgam|Slamf1|Cd24a|Cd68|Igsf8|Itgb3|Il2ra|Tnfrsf13c|Tnfsf9|Ptprj|Ly96
P6,Sell|Ccr7|Ccr9|Il6ra|Il6st|Treml2|Itgae|Il4ra|Tnfsf8|Ifngr2|Ly6k|Ighd|Eng|Igf1r|Insr|Art4,Sell|Ccr7|Il7r|Il6ra|Treml2|Ccr9|Il4ra|Il6st|Izumo1r|Tlr1|Insr,,Hmmr|Slamf1|Igsf8|Ly6c1,Hmmr|Igsf8,Ighm|Ccr9|Sell|Ly6c1|Ccr7|Il7r|Pecam1|Trgv2|Itgae|Il6st|Treml2|Il6ra|Itgb3|Ly6d|Ifngr2|Art4|Cd81,Sell|Ccr7|Il7r|Il6ra|Ccr9|Il6st|Itgae|Tnfsf8|Ifngr2|Treml2,Hmmr,Ighm|Slamf6|Tnfsf8|Ccr7|Tnfrsf25,Hmmr|Ccr7|Tfrc|Treml2|Igsf8
P5,Ighm|Sell|Ccr7|Ccr9|Il7r|Il6ra|Il6st|Cd72|Treml2|Itgae|Il4ra|Tnfsf8|Ifngr2|Ly6k|Tlr1|Ighd|Eng|Igf1r|Plaur|Insr|Izumo1r|Art4|Abcg2|Cd200r1,Sell|Ccr7|Il7r|Il6ra|Pecam1|Treml2|Ccr9|Il4ra|Cd55|Il6st|Tnfsf8|Izumo1r|Tlr1|Ifngr2|Itgae|Insr|Nt5e|Plaur,Klrb1c|Ncr1|Fcgr3|Cd101,,,Cd27|Ighm|Ccr9|Sell|Ly6c1|Ccr7|Il7r|Pecam1|Trgv2|Itgae|Il6st|Treml2|Il6ra|Ly6d|Tnfrsf25|Ifngr2|Art4|Cd81|Tlr1|Clec12a,Sell|Ccr7|Il7r|Cd7|Il6ra|Ccr9|Pecam1|Il6st|Il4ra|Itgae|Cd55|Tnfsf8|Ifngr2|Treml2|Cd320|Ighd,,Ighm|Slamf6|Cd9|Crtam|Tnfsf8|Ccr7|Pecam1|Sell|Tnfrsf25|Cd320|Cd200|Tlr1|Cxcr5|Il1rl1,Sell|Ccr7
P4,Sell|Ccr7|Ccr9|Il7r|Il6ra|Il6st|Treml2|Itgae|Tnfsf8|Ifngr2|Ly6k|Tlr1|Ighd|Eng|Igf1r|Plaur|Insr|Art4|Abcg2|Cd200r1,Sell|Ccr7|Il7r|Il6ra|Treml2|Ccr9|Cd55|Il6st|Tnfsf8|Izumo1r|Tlr1|Cxcr4|Ifngr2|Insr|Plaur,Klrb1c|Ncr1|Fcgr3,Hmmr|Tnfsf10,,Ighm|Ccr9|Sell|Ly6c1|Ccr7|Il7r|Pecam1|Trgv2|Itgae|Il6st|Treml2|Il6ra|Itgb3|Ly6d|Ifngr2|Art4|Cd81|Tlr1|Tnfsf8|Clec12a,Sell|Ccr7|Il7r|Cd7|Il6ra|Ccr9|Il6st|Itgae|Tnfsf8|Ifngr2|Treml2|Ighd,Hmmr,Ighm|Slamf6|Crtam|Tnfsf8|Ccr7|Sell|Tnfrsf25|Cxcr5,Hmmr|Sell|Ccr7
P0.2,Cd8b1|Cd8a|Igf2r|Igkc|Ighd|Igsf8,Cd8b1|Cd8a|Igf2r,Cd8b1|Klrd1|Cd48|Lgals3|Itga4|Cd8a|Itgb1|Klrc1|Klrk1|Klrg1|Il2rb|Cxcr3|Ccr2|Cxcr6|Il18r1|Itgax|Slamf7|Il18rap|Cx3cr1|Ccr5|Klrc2|Cd44|Icos|Lag3|Crtam|Igkc|Fasl|Klrb1c|Itga1|Itgam|Igf2r|Cd68|Ctla4|Il10ra|Havcr2|Ncr1|Fcgr3|Cd38|Pdcd1|Abcb1a|Nrp1|Adam8|Entpd1|Fcgr2b|Tnfrsf13c|Cd86|Alcam|Klra3|Cd101|L1cam|Tnfsf9|Cd80,Cd8b1|Cd48|Lgals3|Cd8a|Itga4|Klrd1|Itgb1|Klrc1|Klrg1|Il2rb|Klrk1|Hmmr|Cxcr3|Slamf7|Itgax|Cx3cr1|Il18r1|Il18rap|Ccr2|Ccr5|Icos|Cd44|Klrc2|Lag3|Igf2r|Igkc|Fasl|Tnfrsf9|Ctla4|Alcam|Havcr2|Itga1|Pdcd1|Crtam|Igsf8|Cd68|Ptprj|Itgam|Adam8|Ifitm1|Cd38|Tnfsf9|Nrp1|Tnfrsf13c|L1cam|Entpd1|Fcgr2b|Cd80,Cd8b1|Lgals3|Cd48|Cd8a|Klrd1|Itgb1|Il2rb|Klrc1|Klrg1|Cxcr3|Klrk1|Cd160|Slamf7|Itgax|Il18r1|Ccr2|Cx3cr1|Icos|Il18rap|Ccr5|Lag3|Cd44|Igf2r|Klrc2|Igkc|Tnfrsf9|Ctla4|Havcr2|Fasl|Pdcd1|Itgam|Cd68|Crtam|Alcam|Hmmr|Itga1|Nrp1|Tnfsf9|Adam8|Igsf8|Tnfrsf13c|Cd38|Ifitm1|L1cam|Il1rl1|Fcgr2b|Pdcd1lg2|Cd80|Entpd1|Tnfrsf10b,,Cd8b1|Cd8a|Igf2r,Cd8b1|Cd48|Lgals3|Cd8a|Itgb2|Klrd1|Itga4|Klrg1|Itgb1|Cx3cr1|Klrk1|Klrc1|Cxcr3|Ccr2|Hmmr|Itgax|Slamf7|Cd160|Il18r1|Il18rap|Icos|Klrc2|Ccr5|Igkc|Havcr2|Lag3|Cd44|Igf2r|Crtam|Fasl|Itgam|L1cam|Alcam|Itga1|Cd86|Tnfrsf13c|Entpd1,Cd8b1|Cd8a|Klrd1|Itgb1|Cxcr3|Cd160|Lgals3|Klrc1|Icos|Klrk1|Crtam|Il18r1|Lag3|Tnfsf8|Cd44|Slamf7|Ctla4|Igkc|Klrc2|Il18rap|Pdcd1|Itgax|Cd68|Igf2r|Tnfrsf9|Alcam|Nrp1|Plxnc1|Cd38|Cxcr5,Lgals3|Il2rb|Itgb1|Cxcr3|Hmmr|Klrc1|Icos|Il18r1|Klrk1|Slamf7|Klrg1|Ccr2|Pdcd1|Tnfrsf9|Cd44|Itgax|Crtam|Lag3|Igf2r|Ctla4|Ccr5|Klrc2|Alcam|Havcr2|Itgam|Cd68|Igsf8|Tnfsf9|Itga1|Adam8
P0.1,Igf1r|Gypc,Cd274,Cd48|Itgb2|Lgals3|Ly6a|Itga4|Ifngr1|Itgb1|Klrc1|Itgal|Klrk1|Klrg1|Il2rb|Cxcr3|Ccr2|Cxcr6|Il18r1|Itgax|Slamf7|Il18rap|Cx3cr1|Cd160|Ccr5|Klrc2|Cd44|Lag3|Crtam|Lair1|Fasl|Klrb1c|Itga1|Itgam|Cd68|Ctla4|Havcr2|Tnfsf14|Tnfrsf1b|Ncr1|Fcgr3|Cd38|Il12rb1|Pdcd1|Abcb1a|Nrp1|Tnfrsf9|Pvr|Adam8|Entpd1|Fcgr2b|Cd86|Alcam|Klra3|Gypc|L1cam|Cd80,Cd48|Lgals3|Ly6a|Itgb2|Itga4|Itgb1|Itgal|Klrc1|Klrg1|Il2rb|Klrk1|Hmmr|Cxcr3|Slamf7|Itgax|Cx3cr1|Il18r1|Il18rap|Cd160|Ccr2|Ccr5|Icos|Cd44|Klrc2|Lag3|Lair1|Fasl|Tnfrsf9|Ctla4|Alcam|Havcr2|Itga1|Pdcd1|Il3ra|Igsf8|Cd68|Tnfrsf1b|Il12rb1|Ptprj|Itgam|Adam8|Tnfsf14|Ifitm1|Cd38|Tnfsf9|Nrp1|Il2ra|Abcb1a|Gypc|L1cam|Cd86|Entpd1|Cd24a|Klrb1c|Sema7a|Cd40lg|Fcgr2b|Cd80,Lgals3|Cd48|Ly6a|Itga4|Itgb2|Itgb1|Itgal|Il2rb|Klrc1|Klrg1|Cxcr3|Klrk1|Cxcr6|Cd160|Slamf7|Itgax|Il18r1|Ccr2|Cx3cr1|Icos|Il18rap|Ccr5|Lag3|Cd44|Klrc2|Igkc|Lair1|Tnfrsf9|Ctla4|Havcr2|Fasl|Pdcd1|Itgam|Cd68|Alcam|Tnfrsf1b|Hmmr|Itga1|Nrp1|Il12rb1|Tnfsf9|Adam8|Igsf8|Tnfsf14|Ptprj|Cd38|Gypc|Ifitm1|Cd24a|L1cam|Abcb1a|Il1rl1|Cd86|Fcgr2b|Pdcd1lg2|Cd80|Entpd1|Klrb1c|Sema7a,Ly6a|Ccr9|Ly6c1|Trgv2|Ly6d,,Cd48|Ly6a|Lgals3|Itgb2|Itga4|Bsg|Klrg1|Itgb1|Itgal|Cx3cr1|Il2rb|Klrk1|Klrc1|Cxcr3|Ccr2|Hmmr|Itgax|Slamf7|Cd160|Il18r1|Cxcr6|Il18rap|Icos|Klrc2|Ccr5|Igkc|Havcr2|Lag3|Cd44|Tnfrsf1b|Crtam|Fasl|Itgam|L1cam|Alcam|Itga1|Cd86|Tnfrsf9|Cd68|Pdcd1|Entpd1|Nrp1,Ly6a|Itgb1|Cd28|Cxcr3|Cd160|Lgals3|Il2rb|Klrc1|Cd9|Icos|Klrk1|Crtam|Il18r1|Lag3|Cd44|Slamf7|Ctla4|Igkc|Klrc2|Il18rap|Tnfrsf25|Pdcd1|Itgax|Cd68|Tnfrsf9|Ccr5|Alcam|Nrp1|Tnfrsf1b|Il3ra|Il12rb1|Tnfsf14|Cd38|Cd200|Cxcr5|Il1rl1|Cd86,Lgals3|Ly6a|Il2rb|Itgb1|Cxcr3|Hmmr|Cd160|Klrc1|Icos|Klrk1|Slamf7|Klrg1|Ccr2|Pdcd1|Tnfrsf9|Cd44|Itgax|Crtam|Lag3|Il18rap|Ctla4|Ccr5|Klrc2|Alcam|Tnfrsf1b|Lair1|Havcr2|Itgam|Il12rb1|Cd24a|Cd68|Igsf8|Cx3cr1|Il2ra|Gypc|Itga1|Adam8|Fasl
P7,Sell|Ccr7|Ccr9|Il7r|Il6ra|Il6st|Cd72|Treml2|Itgae|Tnfsf8|Ifngr2|Ly6k|Tfrc|Ighd|Eng|Igf1r|Plaur|Insr|Izumo1r|Art4|Cd200|Tnfrsf12a|Cd200r1,Sell|Ccr7|Il7r|Il6ra|Treml2|Cebpb|Cd72|Il6st|Tnfsf8|Cd274|Izumo1r|Tlr1|Ifngr2|Insr,Lair1|Klrb1c|Ncr1|Fcgr3,Igsf8|Ptprj|Cd24a,Igsf8|Tfrc|Ptprj|Cd24a|Pdcd1lg2,Ighm|Ccr9|Sell|Ly6c1|Ccr7|Slamf6|Il7r|Pecam1|Trgv2|Itgae|Il6st|Treml2|Il6ra|Cebpb|Itgb3|Ly6d|Tnfrsf25|Ifngr2|Art4|Cd81|Tlr1,Sell|Ccr7|Il7r|Cd7|Slamf6|Il6ra|Ccr9|Pecam1|Il6st|Itgae|Tnfsf8|Ifngr2|Treml2|Cd320|Ighd,,Slamf6|Tnfsf8|Ctla4|Ccr7|Pecam1|Sell|Tnfrsf25|Cd72|Cd200|Cxcr5,Sell|Ccr7|Tnfsf8|Tfrc|Il6ra|Treml2|Igsf8
P3,Sell|Ccr9|Il6ra|Il6st|Treml2|Itgae|Ifngr2|Tfrc|Ighd|Eng|Igf1r|Art4|Abcg2|Tnfrsf12a|Icosl,Sell|Ccr7|Il7r|Il6ra|Treml2|Ccr9|Ifngr2|Itgae|Icosl,Klrg1|Ccr2|Cxcr6|Itgax|Cx3cr1|Fasl|Klrb1c|Itga1|Itgam|Havcr2|Ncr1|Entpd1|Itga2,Klrg1|Hmmr|Cx3cr1|Fasl|Havcr2|Itga1|Ifitm1|Il2ra|Entpd1|Klrb1c|Itga2,Lgals3|Klrg1|Cxcr6|Cx3cr1|Havcr2|Fasl|Itgam|Hmmr|Itga1|Tfrc|Ifitm1|Cd24a|Il2ra|Itga2|Entpd1|Klrb1c|Tnfrsf12a,Ccr9|Sell|S1pr1|Ly6c1|Trgv2|Itgae|Treml2|Il6ra|Ly6d|Ifngr2|Art4|Cd81,Sell|Ccr7|Il7r|Il6ra|Ccr9|Il6st|Itgae|Ifngr2,Lgals3|Klrg1|Cx3cr1|Ccr2|Hmmr|Havcr2|Fasl,,Hmmr|Havcr2|Tfrc|Itgam|Il2ra
P2,Sell|Ccr7|Ccr9|Itgae|Ifngr2|Igf1r|Plaur|Icosl,Sell|Ccr7|Il7r|Cd274|Icosl,Klrd1|Klrg1|Itgax|Cx3cr1|Fasl|Klrb1c|Itga1|Il10ra|Ncr1|Fcgr3|Klra4|Klra9|Trdv2-2|Cd80,Klrg1|Cx3cr1|Fasl|Klrb1c,Cx3cr1|Fasl|Klrb1c,Ccr9|Sell|Ly6c1|Ccr7|Trgv2|Itgae|Ly6d|Ifngr2|Art4|Cd99l2,Sell|Ccr7|Il7r|Il6ra|Ifngr2,Klrg1|Cx3cr1,Tnfrsf25|Cxcr5,
