gs_name,gene_symbol
general_Il2raKO_up,Rpl7
general_Il2raKO_up,Rpl31
general_Il2raKO_up,Stat1
general_Il2raKO_up,Nif3l1
general_Il2raKO_up,Eef1b2
general_Il2raKO_up,Rpl37a
general_Il2raKO_up,Ramp1
general_Il2raKO_up,Bcl2
general_Il2raKO_up,Trmt1l
general_Il2raKO_up,Gm2000
general_Il2raKO_up,Sell
general_Il2raKO_up,Atp1b1
general_Il2raKO_up,Slamf6
general_Il2raKO_up,Cd46
general_Il2raKO_up,Bmyc
general_Il2raKO_up,Nacc2
general_Il2raKO_up,Lcn4
general_Il2raKO_up,Eng
general_Il2raKO_up,Rpl12
general_Il2raKO_up,Rpl35
general_Il2raKO_up,Dapl1
general_Il2raKO_up,Dpp4
general_Il2raKO_up,Pdk1
general_Il2raKO_up,Rapgef4
general_Il2raKO_up,Nop10
general_Il2raKO_up,B2m
general_Il2raKO_up,Gm14085
general_Il2raKO_up,1500011K16Rik
general_Il2raKO_up,Pmepa1
general_Il2raKO_up,Rps21
general_Il2raKO_up,Pim2
general_Il2raKO_up,Rpl39
general_Il2raKO_up,Utp14a
general_Il2raKO_up,Rpl10
general_Il2raKO_up,Rps4x
general_Il2raKO_up,Rpl36a
general_Il2raKO_up,Tsc22d3
general_Il2raKO_up,Foxo1
general_Il2raKO_up,Rps3a1
general_Il2raKO_up,Fam189b
general_Il2raKO_up,Il6ra
general_Il2raKO_up,Rps27
general_Il2raKO_up,Ctss
general_Il2raKO_up,Wdr77
general_Il2raKO_up,Gm42722
general_Il2raKO_up,Cd53
general_Il2raKO_up,Kcna2
general_Il2raKO_up,Fam241a
general_Il2raKO_up,Rpl34
general_Il2raKO_up,Lef1
general_Il2raKO_up,Gbp2
general_Il2raKO_up,Rps20
general_Il2raKO_up,Gm11808
general_Il2raKO_up,Bach2
general_Il2raKO_up,Pnrc1
general_Il2raKO_up,Tnfsf8
general_Il2raKO_up,Rps6
general_Il2raKO_up,Jun
general_Il2raKO_up,Hspb11
general_Il2raKO_up,Bend5
general_Il2raKO_up,Rps8
general_Il2raKO_up,Yrdc
general_Il2raKO_up,Snhg12
general_Il2raKO_up,Rpl11
general_Il2raKO_up,Id3
general_Il2raKO_up,Kif1b
general_Il2raKO_up,Rpl22
general_Il2raKO_up,Pus7
general_Il2raKO_up,Mapre3
general_Il2raKO_up,Tlr1
general_Il2raKO_up,Rpl9
general_Il2raKO_up,Gm43698
general_Il2raKO_up,Cnga1
general_Il2raKO_up,Txk
general_Il2raKO_up,Sdad1
general_Il2raKO_up,Hsd17b11
general_Il2raKO_up,D930016D06Rik
general_Il2raKO_up,Rpl5
general_Il2raKO_up,Idua
general_Il2raKO_up,Gm17655
general_Il2raKO_up,Rplp0
general_Il2raKO_up,Rpl6
general_Il2raKO_up,Auts2
general_Il2raKO_up,Ncf1
general_Il2raKO_up,Mettl27
general_Il2raKO_up,Rpl21
general_Il2raKO_up,Trbv13-3
general_Il2raKO_up,Trbc2
general_Il2raKO_up,Mturn
general_Il2raKO_up,Foxp1
general_Il2raKO_up,Vgll4
general_Il2raKO_up,Rpl32
general_Il2raKO_up,Cd69
general_Il2raKO_up,Ldhb
general_Il2raKO_up,Rps9
general_Il2raKO_up,Eps8l1
general_Il2raKO_up,Rpl28
general_Il2raKO_up,Zfp628
general_Il2raKO_up,Zfp865
general_Il2raKO_up,Zfp606
general_Il2raKO_up,Rps5
general_Il2raKO_up,Nop53
general_Il2raKO_up,Cd3eap
general_Il2raKO_up,Rps19
general_Il2raKO_up,Rabac1
general_Il2raKO_up,Bckdha
general_Il2raKO_up,Eid2
general_Il2raKO_up,Rps16
general_Il2raKO_up,Rps11
general_Il2raKO_up,Rpl13a
general_Il2raKO_up,Ppp1r15a
general_Il2raKO_up,Rpl18
general_Il2raKO_up,Grwd1
general_Il2raKO_up,Klf13
general_Il2raKO_up,Rps17
general_Il2raKO_up,Rps3
general_Il2raKO_up,Art2b
general_Il2raKO_up,Eif3f
general_Il2raKO_up,Rpl27a
general_Il2raKO_up,Rps13
general_Il2raKO_up,Rps15a
general_Il2raKO_up,Ypel3
general_Il2raKO_up,Rgs10
general_Il2raKO_up,Irf7
general_Il2raKO_up,Rplp2
general_Il2raKO_up,Mrpl23
general_Il2raKO_up,Utrn
general_Il2raKO_up,Ccdc28a
general_Il2raKO_up,Rps12
general_Il2raKO_up,Dse
general_Il2raKO_up,Scml4
general_Il2raKO_up,Gm34006
general_Il2raKO_up,Msl3l2
general_Il2raKO_up,Rps15
general_Il2raKO_up,Btg1
general_Il2raKO_up,Naca
general_Il2raKO_up,Rps26
general_Il2raKO_up,Dgka
general_Il2raKO_up,Tdrp
general_Il2raKO_up,Kbtbd11
general_Il2raKO_up,Gm26909
general_Il2raKO_up,Letm2
general_Il2raKO_up,Nsd3
general_Il2raKO_up,Saraf
general_Il2raKO_up,Micu3
general_Il2raKO_up,Uba52
general_Il2raKO_up,Jund
general_Il2raKO_up,Rpl18a
general_Il2raKO_up,Use1
general_Il2raKO_up,Klf2
general_Il2raKO_up,Inpp4b
general_Il2raKO_up,Trmt1
general_Il2raKO_up,Junb
general_Il2raKO_up,Fto
general_Il2raKO_up,Rrad
general_Il2raKO_up,Gm5914
general_Il2raKO_up,Rpl13
general_Il2raKO_up,Arv1
general_Il2raKO_up,1700062C10Rik
general_Il2raKO_up,Rpl15
general_Il2raKO_up,Rps24
general_Il2raKO_up,Pde12
general_Il2raKO_up,Gnl3
general_Il2raKO_up,Sh3bp5
general_Il2raKO_up,Tpt1
general_Il2raKO_up,Rgcc
general_Il2raKO_up,Rpl36a-ps1
general_Il2raKO_up,Sesn3
general_Il2raKO_up,Izumo1r
general_Il2raKO_up,AB124611
general_Il2raKO_up,Rps25
general_Il2raKO_up,Cd3d
general_Il2raKO_up,Usp28
general_Il2raKO_up,Rpl10-ps3
general_Il2raKO_up,Gm16124
general_Il2raKO_up,Rplp1
general_Il2raKO_up,Rpl4
general_Il2raKO_up,Eef1a1
general_Il2raKO_up,BC043934
general_Il2raKO_up,Tmem108
general_Il2raKO_up,Rpl29
general_Il2raKO_up,Tex264
general_Il2raKO_up,Shisa5
general_Il2raKO_up,Tmie
general_Il2raKO_up,Rps27rt
general_Il2raKO_up,Rpsa
general_Il2raKO_up,Rpl14
general_Il2raKO_up,Pik3ip1
general_Il2raKO_up,Ramp3
general_Il2raKO_up,Ddc
general_Il2raKO_up,Peli1
general_Il2raKO_up,Rps27a
general_Il2raKO_up,Nsg2
general_Il2raKO_up,Npm1
general_Il2raKO_up,Rack1
general_Il2raKO_up,Irgm1
general_Il2raKO_up,Tgtp1
general_Il2raKO_up,Tgtp2
general_Il2raKO_up,Ifi47
general_Il2raKO_up,Gm26551
general_Il2raKO_up,Tcf7
general_Il2raKO_up,Rapgef6
general_Il2raKO_up,Igtp
general_Il2raKO_up,Rpl26
general_Il2raKO_up,Chd3
general_Il2raKO_up,Rflnb
general_Il2raKO_up,Rpl23a
general_Il2raKO_up,Slfn1
general_Il2raKO_up,Rpl23
general_Il2raKO_up,Rpl19
general_Il2raKO_up,Igfbp4
general_Il2raKO_up,Ccr7
general_Il2raKO_up,Rpl27
general_Il2raKO_up,Limd2
general_Il2raKO_up,Pecam1
general_Il2raKO_up,Polg2
general_Il2raKO_up,Ddx5
general_Il2raKO_up,Rpl38
general_Il2raKO_up,Slc16a5
general_Il2raKO_up,Socs3
general_Il2raKO_up,Pgs1
general_Il2raKO_up,Timp2
general_Il2raKO_up,Cd7
general_Il2raKO_up,Sox4
general_Il2raKO_up,Ctsl
general_Il2raKO_up,Slc6a19
general_Il2raKO_up,Rps23
general_Il2raKO_up,Ssbp2
general_Il2raKO_up,Mast4
general_Il2raKO_up,Il6st
general_Il2raKO_up,Emb
general_Il2raKO_up,Rps7
general_Il2raKO_up,Hbp1
general_Il2raKO_up,Rps29
general_Il2raKO_up,Klhdc1
general_Il2raKO_up,Wdr89
general_Il2raKO_up,Zfp36l1
general_Il2raKO_up,Actn1
general_Il2raKO_up,Npc2
general_Il2raKO_up,Fos
general_Il2raKO_up,Alkbh1
general_Il2raKO_up,Ifi27l2a
general_Il2raKO_up,Evl
general_Il2raKO_up,Ppp1r13b
general_Il2raKO_up,Ighm
general_Il2raKO_up,Selenop
general_Il2raKO_up,Rpl37
general_Il2raKO_up,Il7r
general_Il2raKO_up,Rpl30
general_Il2raKO_up,Eif3e
general_Il2raKO_up,Mtss1
general_Il2raKO_up,Myc
general_Il2raKO_up,Rpl8
general_Il2raKO_up,Rpl3
general_Il2raKO_up,Tnrc6b
general_Il2raKO_up,Tef
general_Il2raKO_up,Rhebl1
general_Il2raKO_up,Cox14
general_Il2raKO_up,Pfdn5
general_Il2raKO_up,Mgrn1
general_Il2raKO_up,2510002D24Rik
general_Il2raKO_up,Eif4a2
general_Il2raKO_up,Rpl35a
general_Il2raKO_up,Dirc2
general_Il2raKO_up,Dtx3l
general_Il2raKO_up,Rpl24
general_Il2raKO_up,Ttc3
general_Il2raKO_up,Rgmb
general_Il2raKO_up,Rps2
general_Il2raKO_up,Rps10
general_Il2raKO_up,Rpl10a
general_Il2raKO_up,Akap8l
general_Il2raKO_up,Rps28
general_Il2raKO_up,Rps18
general_Il2raKO_up,H2-K1
general_Il2raKO_up,H2-DMa
general_Il2raKO_up,Ltb
general_Il2raKO_up,H2-Q4
general_Il2raKO_up,Cd2ap
general_Il2raKO_up,Treml2
general_Il2raKO_up,Satb1
general_Il2raKO_up,Rpl36
general_Il2raKO_up,Cox7a2l
general_Il2raKO_up,Thada
general_Il2raKO_up,Taf4b
general_Il2raKO_up,Epb41l4aos
general_Il2raKO_up,Cxxc5
general_Il2raKO_up,Iigp1
general_Il2raKO_up,Rps14
general_Il2raKO_up,Rpl17
general_Il2raKO_up,Malat1
general_Il2raKO_up,Fau
general_Il2raKO_up,Ppp1r14b
general_Il2raKO_up,Macrod1
general_Il2raKO_up,Eef1g
general_Il2raKO_up,Ms4a4c
general_Il2raKO_up,Gm8369
general_Il2raKO_up,Gm19261
general_Il2raKO_up,Gm9493
general_Il2raKO_up,Ifit1bl1
general_Il2raKO_up,Pdcd4
general_Il2raKO_up,AC149090.1
general_Il2raKO_down,Mrpl15
general_Il2raKO_down,Mybl1
general_Il2raKO_down,Cops5
general_Il2raKO_down,Tram1
general_Il2raKO_down,Eloc
general_Il2raKO_down,Ly96
general_Il2raKO_down,Mcm3
general_Il2raKO_down,Smap1
general_Il2raKO_down,Cox5b
general_Il2raKO_down,Zap70
general_Il2raKO_down,Inpp4a
general_Il2raKO_down,Pdcl3
general_Il2raKO_down,Cnot11
general_Il2raKO_down,Il18r1
general_Il2raKO_down,Il18rap
general_Il2raKO_down,Fhl2
general_Il2raKO_down,Uxs1
general_Il2raKO_down,Tex30
general_Il2raKO_down,Stat4
general_Il2raKO_down,Ankrd44
general_Il2raKO_down,Sf3b1
general_Il2raKO_down,Sgo2a
general_Il2raKO_down,Bzw1
general_Il2raKO_down,Ndufb3
general_Il2raKO_down,Sumo1
general_Il2raKO_down,Nop58
general_Il2raKO_down,Cd28
general_Il2raKO_down,Icos
general_Il2raKO_down,Acadl
general_Il2raKO_down,Bard1
general_Il2raKO_down,Atic
general_Il2raKO_down,Arpc2
general_Il2raKO_down,Stk16
general_Il2raKO_down,Sp100
general_Il2raKO_down,Cab39
general_Il2raKO_down,Psmd1
general_Il2raKO_down,Ptma
general_Il2raKO_down,Eif4e2
general_Il2raKO_down,Inpp5d
general_Il2raKO_down,Hjurp
general_Il2raKO_down,Lrrfip1
general_Il2raKO_down,Ndufa10
general_Il2raKO_down,Cops9
general_Il2raKO_down,Ppp1r7
general_Il2raKO_down,Hdlbp
general_Il2raKO_down,Dtymk
general_Il2raKO_down,D1Ertd622e
general_Il2raKO_down,Tsn
general_Il2raKO_down,Clasp1
general_Il2raKO_down,Dbi
general_Il2raKO_down,3110009E18Rik
general_Il2raKO_down,Actr3
general_Il2raKO_down,Tmem163
general_Il2raKO_down,Mcm6
general_Il2raKO_down,Rab29
general_Il2raKO_down,Nucks1
general_Il2raKO_down,Snrpe
general_Il2raKO_down,Atp2b4
general_Il2raKO_down,Tmem183a
general_Il2raKO_down,Ube2t
general_Il2raKO_down,Ptpn7
general_Il2raKO_down,Rnpep
general_Il2raKO_down,Timm17a
general_Il2raKO_down,Csrp1
general_Il2raKO_down,Kif14
general_Il2raKO_down,Ptprc
general_Il2raKO_down,Aspm
general_Il2raKO_down,Uchl5
general_Il2raKO_down,Rgs1
general_Il2raKO_down,1700025G04Rik
general_Il2raKO_down,Arpc5
general_Il2raKO_down,Lamc1
general_Il2raKO_down,Dhx9
general_Il2raKO_down,Tor1aip1
general_Il2raKO_down,Mrps14
general_Il2raKO_down,Cenpl
general_Il2raKO_down,Fasl
general_Il2raKO_down,Mpc2
general_Il2raKO_down,Tmco1
general_Il2raKO_down,Aldh9a1
general_Il2raKO_down,Nuf2
general_Il2raKO_down,Fcer1g
general_Il2raKO_down,Ndufs2
general_Il2raKO_down,Ufc1
general_Il2raKO_down,Arhgap30
general_Il2raKO_down,Slamf7
general_Il2raKO_down,Cd48
general_Il2raKO_down,Slamf1
general_Il2raKO_down,Copa
general_Il2raKO_down,Tagln2
general_Il2raKO_down,Mndal
general_Il2raKO_down,Fh1
general_Il2raKO_down,Cox20
general_Il2raKO_down,Hnrnpu
general_Il2raKO_down,Parp1
general_Il2raKO_down,H3f3a
general_Il2raKO_down,Pycr2
general_Il2raKO_down,Nvl
general_Il2raKO_down,Cnih4
general_Il2raKO_down,Lbr
general_Il2raKO_down,Srp9
general_Il2raKO_down,Degs1
general_Il2raKO_down,Capn2
general_Il2raKO_down,Cenpf
general_Il2raKO_down,Dtl
general_Il2raKO_down,Nek2
general_Il2raKO_down,Hsd11b1
general_Il2raKO_down,Hspa14
general_Il2raKO_down,Fam107b
general_Il2raKO_down,Prpf18
general_Il2raKO_down,Sephs1
general_Il2raKO_down,Mcm10
general_Il2raKO_down,Celf2
general_Il2raKO_down,Gata3
general_Il2raKO_down,Atp5c1
general_Il2raKO_down,Rbm17
general_Il2raKO_down,Il2ra
general_Il2raKO_down,Mindy3
general_Il2raKO_down,Trdmt1
general_Il2raKO_down,Vim
general_Il2raKO_down,Dnajc1
general_Il2raKO_down,Yme1l1
general_Il2raKO_down,Arrdc1
general_Il2raKO_down,Mrpl41
general_Il2raKO_down,Tubb4b
general_Il2raKO_down,Ssna1
general_Il2raKO_down,Sapcd2
general_Il2raKO_down,Traf2
general_Il2raKO_down,Edf1
general_Il2raKO_down,Ubac1
general_Il2raKO_down,Surf4
general_Il2raKO_down,Odf2
general_Il2raKO_down,Sptan1
general_Il2raKO_down,Set
general_Il2raKO_down,Ptpa
general_Il2raKO_down,Fnbp1
general_Il2raKO_down,Swi5
general_Il2raKO_down,Hspa5
general_Il2raKO_down,Cntrl
general_Il2raKO_down,Rab14
general_Il2raKO_down,Ndufa8
general_Il2raKO_down,Psmb7
general_Il2raKO_down,Arpc5l
general_Il2raKO_down,Ppp6c
general_Il2raKO_down,Zeb2
general_Il2raKO_down,Rbm43
general_Il2raKO_down,Arl5a
general_Il2raKO_down,Prpf40a
general_Il2raKO_down,Rbms1
general_Il2raKO_down,Psmd14
general_Il2raKO_down,Cobll1
general_Il2raKO_down,Stk39
general_Il2raKO_down,Spc25
general_Il2raKO_down,Ppig
general_Il2raKO_down,Ssb
general_Il2raKO_down,Dync1i2
general_Il2raKO_down,Hat1
general_Il2raKO_down,Cdca7
general_Il2raKO_down,Sp3
general_Il2raKO_down,Ola1
general_Il2raKO_down,Atp5g3
general_Il2raKO_down,Hnrnpa3
general_Il2raKO_down,Agps
general_Il2raKO_down,Itga4
general_Il2raKO_down,Zc3h15
general_Il2raKO_down,Selenoh
general_Il2raKO_down,Ssrp1
general_Il2raKO_down,Ptprj
general_Il2raKO_down,Psmc3
general_Il2raKO_down,Ckap5
general_Il2raKO_down,Dgkz
general_Il2raKO_down,Cd82
