,P0,P1,P6,P5,P4,P0.2,P0.1,P7,P3,P2
0,Tnfrsf18,Ccr7,Cd38,Cd48,Cd48,Ccr7,Ccr7,Cd48,Itga4,Hmmr
1,Il6ra,Sell,Cd48,Ptprcap,Rae1,Ly6c1,Sell,Ptprcap,Icos,Pdcd1
2,Cd3e,Slamf6,Ptprcap,Itga4,Ptprcap,Cd37,Slamf6,Itga4,Cd5,Lgals3
3,Ccr7,Il6ra,Itga4,Havcr2,Itga4,Sell,Cd7,Havcr2,Lamp1,Il2rb
4,Il6st,Treml2,Spn,Icos,Havcr2,Itgae,Il6ra,Hmmr,Vsir,
5,Sell,Izumo1r,Ccr5,Atp1b3,Icos,Pecam1,Cd53,Spn,Tnfsf8,
6,Ccr9,Cd274,Klrd1,Hmmr,Atp1b3,Ccr9,Il7r,Klrd1,Trbc1,
7,Cd7,Cd69,Cd68,Spn,Ggt1,Slamf6,Ighm,Il18rap,Tnfrsf25,
8,Ighd,Tlr1,Il18rap,Ccr5,Spn,Trbc1,S1pr1,Itgb7,Itgb1,
9,Ifngr2,Il7r,Cd96,Il18rap,Ccr5,Trgv2,,Klrk1,Cd27,
10,Il7r,Bst2,Il2rb,Alcam,Il18rap,Cd3e,,Itgax,Lag3,
11,Ly75,Cd55,Klrb1c,Il2rb,Cd68,Cd3g,,Klrg1,Cd44,
12,Cd27,,Vsir,Il3ra,Alcam,Ly6e,,Itgb1,Ctla4,
13,Itgae,,Il18r1,Il18r1,Il2rb,Cd53,,Ccr2,Cd28,
14,Il21r,,Cd160,Itgb7,Il18r1,Ighm,,Cx3cr1,Ighm,
15,Cd72,,Itgb7,Klrk1,Itgb7,Cd27,,Selplg,Cd3d,
16,Ighm,,Klrk1,Itgax,Klrk1,Ly6d,,Ly6e,Cxcr3,
17,Cd3d,,Tnfsf14,Klrg1,Itgax,S1pr1,,Slamf7,Klrc1,
18,S1pr1,,Itgax,Ptprj,Klrg1,,,Itgb2,Crtam,
19,Cd8b1,,Slc3a2,Itgb1,Tnfsf9,,,Ifngr1,Slamf6,
20,Treml2,,Klrg1,Cd82,Cxcr6,,,Cd47,Cd9,
21,Igf1r,,Cxcr6,Slamf1,Itgb1,,,Ly6a,Cd52,
22,Cd3g,,Fcgr3,Lag3,Cd82,,,Itgal,Pdcd1,
23,Cd8a,,Itgb1,Cd44,Lag3,,,Lgals3,Cd160,
24,Ly6k,,Lag3,Ccr2,Cd44,,,Cd52,,
25,Eng,,Cd44,Cx3cr1,Ccr2,,,Adgre5,,
26,Il4ra,,Cd37,Fasl,Cx3cr1,,,Cd2,,
