,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.5142228,-0.4778255224227905,False,,,,,,,,,,,,,,,,0.006530284881591797
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,1.8529294,-0.9000880718231201,False,,,,,,,,,,,,,,,,-0.7507202625274658
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.5232978,-2.3610520362854004,False,,,,,,,,,,,,,,,,-1.2693438529968262
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.39721572,-1.009883165359497,False,,,,,,,,,,,,,,,,-0.16889286041259766
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5910883,-0.5571639537811279,False,,,,,,,,,,,,,,,,-0.5493438243865967
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,8.597714,-12.23204517364502,False,,,,,,,,,,,,,,,,-7.713976860046387
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.49012923,-1.3773128986358643,False,,,,,,,,,,,,,,,,-0.7475056648254395
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.7819701,-0.5701260566711426,False,,,,,,,,,,,,,,,,-0.14194738864898682
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.004396831,-4.517127990722656,False,,,,,,,,,,,,,,,,-0.0171966552734375
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,8.371007,-7.379947662353516,False,,,,,,,,,,,,,,,,-6.847607135772705
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.08832682,-1.9572665691375732,False,,,,,,,,,,,,,,,,-0.35679197311401367
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.14162827,-1.7895207405090332,False,,,,,,,,,,,,,,,,-0.2305666208267212
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.47914973,-0.20495176315307617,False,,,,,,,,,,,,,,,,-0.13655102252960205
