,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.341051,-0.7698656320571899,False,,,,,,,,,,,,,,,,-0.17651689052581787
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.22275865,-0.2811131477355957,False,,,,,,,,,,,,,,,,-0.2719705104827881
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.63315934,-0.6145607233047485,False,,,,,,,,,,,,,,,,-0.4891306161880493
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.34062725,-0.5001612901687622,False,,,,,,,,,,,,,,,,-0.31927037239074707
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.293513,-1.2695460319519043,False,,,,,,,,,,,,,,,,-1.1952455043792725
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.3023806,-9.674249649047852,False,,,,,,,,,,,,,,,,-5.719202518463135
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.36563873,-0.7849540710449219,False,,,,,,,,,,,,,,,,-0.011669635772705078
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.8203497,-0.42253243923187256,False,,,,,,,,,,,,,,,,-0.2375696897506714
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.007812935,-6.365177154541016,False,,,,,,,,,,,,,,,,-0.004742264747619629
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,4.1985893,-5.396531105041504,False,,,,,,,,,,,,,,,,-5.285017490386963
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.13484502,-2.2659220695495605,False,,,,,,,,,,,,,,,,0.033100783824920654
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.06532868,0.07209855318069458,True,0.3225472541767914,2.1961144318189536,0.1668502122660613,10.989788989317477,0.1636485457420349,0.040165845304727554,0.24543966352939606,0.007267519320577124,0.0,0.0,0.4946730808445448,0.14890423372412678,1.920993373311799,3.5179234074492625,3.0676900795541115,0.0925447940826416
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.66996795,-0.49187493324279785,False,,,,,,,,,,,,,,,,-0.45181310176849365
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,15.328265,-2.1008667945861816,False,,,,,,,,,,,,,,,,-2.100656032562256
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.0659861,-0.03933119773864746,False,,,,,,,,,,,,,,,,-0.026005268096923828
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.6105998,-1.6315162181854248,False,,,,,,,,,,,,,,,,-0.2379664182662964
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.059586894,-3.751173496246338,False,,,,,,,,,,,,,,,,0.002100527286529541
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.1880676,-1.0827481746673584,False,,,,,,,,,,,,,,,,-1.0509977340698242
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,2.6679153,-0.779979944229126,False,,,,,,,,,,,,,,,,-0.7248239517211914
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.17589346,-0.13138270378112793,False,,,,,,,,,,,,,,,,-0.09744536876678467
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.1032828,-0.8074709177017212,False,,,,,,,,,,,,,,,,-0.7711406946182251
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.2102711,-1.1635847091674805,False,,,,,,,,,,,,,,,,-1.1259450912475586
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.5791296,-2.0502426624298096,False,,,,,,,,,,,,,,,,-1.9419147968292236
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.4552493,-0.1359797716140747,False,,,,,,,,,,,,,,,,-0.13127529621124268
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.7443188,-0.8137503862380981,False,,,,,,,,,,,,,,,,-0.7311092615127563
