name,337-10_r,337-11_r,337-12_r,337-13_r,337-14_r,337-15_r,337-16_r,337-17_r,337-18_r,337-19_r,337-1_r,337-20_r,337-21_r,337-22_r,337-23_r,337-24_r,337-2_r,337-3_r,337-4_r,337-5_r,337-6_r,337-7_r,337-8_r,337-9_r
ENSMUSE00000485541,42,9,25,40,89,25,19,52,34,11,132,13,25,0,25,11,307,23,35,174,210,66,114,23
ENSMUSE00001344134,8,2,4,2,13,4,1,15,6,0,18,1,1,0,1,2,56,1,7,18,29,9,9,2
ENSMUSE00001378580,30,13,40,36,74,23,31,56,39,9,146,17,22,0,24,16,371,9,44,149,235,63,87,27
ENSMUSE00001342598,0,1,12,2,2,1,6,2,3,4,8,1,4,0,4,4,7,1,8,1,8,2,5,2
ENSMUSE00001379779,4,1,3,7,15,9,6,6,7,1,42,1,1,0,6,0,115,2,9,52,73,15,16,5
ENSMUSE00001403780,4,1,3,7,15,9,6,5,7,1,41,1,1,0,6,0,113,2,8,50,72,15,16,5
ENSMUSE00001396015,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,17,0,2,10,11,1,1,1
ENSMUSE00001304409,80,37,73,183,58,55,55,181,87,38,222,41,157,0,43,81,71,37,48,192,72,31,51,128
ENSMUSE00001342057,9,3,11,16,9,8,7,21,5,4,39,7,8,0,12,7,8,5,11,23,10,12,9,14
ENSMUSE00001345430,7,7,10,18,5,9,2,12,20,9,27,3,7,0,15,1,6,3,6,9,24,12,9,7
ENSMUSE00000450421,264,256,449,88,105,538,326,123,442,294,261,313,155,0,337,190,421,200,208,269,671,181,185,53
ENSMUSE00001229301,264,256,449,88,105,538,326,123,442,294,261,313,155,0,337,190,421,200,208,269,671,181,185,53
ENSMUSE00000789568,235,241,429,76,92,495,300,115,400,271,243,286,148,0,296,172,392,175,198,239,599,170,178,45
ENSMUSE00001246843,187,194,372,67,67,423,260,104,312,229,223,259,138,0,249,138,323,146,168,224,479,141,159,34
ENSMUSE00001343760,23,19,29,6,9,49,30,5,32,27,16,29,15,0,40,18,50,24,15,15,54,18,18,5
ENSMUSE00001266256,93,101,244,47,30,234,154,68,185,135,148,159,83,0,136,81,166,72,103,136,281,74,90,19
ENSMUSE00000727986,34,42,95,22,16,93,61,32,56,51,78,57,35,0,36,37,34,36,40,83,77,20,38,10
ENSMUSE00000491965,3,4,18,3,0,7,14,13,2,3,2,7,5,0,5,7,3,4,10,2,1,5,6,0
ENSMUSE00000814493,10,4,9,12,27,9,7,12,10,1,36,7,6,0,6,9,73,1,12,36,70,15,40,8
ENSMUSE00001258222,19,6,13,25,49,13,15,28,15,4,65,9,13,0,8,12,122,3,30,57,93,23,55,24
ENSMUSE00001235188,9,4,9,11,27,9,7,12,10,1,36,7,6,0,6,9,70,1,11,35,70,14,40,8
ENSMUSE00001288384,9,4,9,11,27,9,7,12,10,1,36,7,6,0,6,9,71,1,11,35,70,14,40,8
ENSMUSE00001269943,8,4,8,10,25,9,5,10,10,1,32,6,6,0,5,9,65,1,10,31,60,13,37,8
ENSMUSE00001343562,27,18,88,54,9,46,112,83,39,37,193,56,62,0,34,51,36,21,47,108,63,24,76,41
ENSMUSE00000850919,17,8,37,27,9,21,35,33,19,15,98,19,33,0,19,14,21,12,18,50,30,12,28,29
ENSMUSE00001345117,35,10,34,23,15,29,35,31,33,23,44,27,18,0,23,13,37,15,29,45,45,21,24,15
ENSMUSE00001116424,88,83,252,38,34,229,138,68,133,121,123,133,34,0,162,73,182,78,100,105,220,82,112,23
ENSMUSE00001345075,48,46,126,18,15,111,67,61,68,58,70,72,22,0,76,33,105,35,57,59,99,41,54,9
ENSMUSE00001340075,48,46,126,18,15,111,67,61,68,58,70,72,22,0,76,33,105,35,57,59,99,41,54,9
ENSMUSE00001341418,7,11,28,0,2,15,11,8,17,8,10,14,2,0,16,5,14,4,11,9,14,5,7,1
ENSMUSE00000766828,89,34,87,132,187,81,69,149,79,41,416,70,62,0,63,50,795,43,150,432,466,152,252,81
ENSMUSE00000805330,89,34,87,132,187,81,69,149,79,41,415,70,62,0,63,50,795,43,150,432,466,151,252,81
ENSMUSE00001283395,9,5,10,10,24,11,6,21,9,3,30,6,10,0,7,3,100,1,8,49,43,14,30,6
ENSMUSE00000229712,51,19,54,68,104,47,42,74,39,18,215,41,31,0,35,27,403,21,76,213,247,80,138,42
ENSMUSE00000710157,1,2,18,4,3,5,6,2,1,2,4,13,1,0,6,3,2,4,16,2,4,3,11,1
ENSMUSE00000703062,8,4,5,6,18,6,11,13,5,7,45,9,4,0,5,8,39,2,20,36,30,13,16,6
ENSMUSE00000703061,8,3,5,6,15,6,11,13,5,7,45,8,4,0,5,8,37,2,18,36,28,12,14,6
ENSMUSE00000703041,9,39,407,11,10,110,331,25,8,50,53,251,16,0,66,198,23,26,221,37,57,34,273,7
ENSMUSE00000553770,9,36,373,10,10,99,296,24,8,48,51,221,16,0,53,183,19,21,199,33,54,31,251,6
ENSMUSE00000863091,2,3,24,0,2,6,20,1,0,3,3,8,0,0,6,6,4,1,11,5,4,0,15,0
ENSMUSE00000854215,1,8,68,1,2,15,64,3,3,8,12,36,2,0,5,19,1,5,39,10,9,7,43,1
ENSMUSE00000373485,317,203,1104,438,108,463,1110,702,435,303,1823,825,690,0,384,619,428,243,757,1324,708,217,1025,338
ENSMUSE00001269731,226,306,451,74,64,566,272,82,380,308,206,240,62,0,370,118,257,221,150,185,415,129,141,32
ENSMUSE00001211290,149,196,311,50,38,366,173,50,209,214,138,154,43,0,235,74,173,157,102,120,244,82,95,20
ENSMUSE00001225956,95,128,208,37,26,249,117,36,134,161,97,105,28,0,155,57,120,113,78,82,168,59,71,13
ENSMUSE00001273290,223,298,442,71,63,553,267,79,368,304,205,236,62,0,360,116,250,215,149,183,399,126,138,31
ENSMUSE00000946085,13,23,43,8,3,58,29,8,34,31,22,21,8,0,25,13,24,18,19,27,42,17,18,5
ENSMUSE00001317570,0,0,4,0,2,0,1,1,0,0,0,4,0,0,0,0,13,0,1,3,1,2,2,3
ENSMUSE00000820108,1,0,7,2,2,2,6,3,3,0,3,6,1,0,0,0,13,0,3,9,12,6,8,1
ENSMUSE00001371120,2,3,22,3,3,4,12,8,7,3,13,12,2,0,1,3,25,0,14,20,29,9,20,2
ENSMUSE00001225112,2,3,22,3,3,4,12,8,7,3,13,12,2,0,1,3,25,0,14,20,29,9,20,2
ENSMUSE00000827356,199,232,605,169,58,468,471,309,305,193,665,339,231,0,283,211,301,154,271,497,442,130,327,98
ENSMUSE00001214903,117,142,429,114,41,321,326,225,208,136,450,239,184,0,216,153,213,117,199,376,300,93,199,70
ENSMUSE00001321600,176,205,523,149,52,402,408,257,253,166,575,285,186,0,238,183,251,129,223,427,380,97,288,91
ENSMUSE00001218429,149,170,411,123,39,324,324,198,202,131,419,223,126,0,189,139,199,96,173,327,278,68,247,74
ENSMUSE00001236438,149,166,397,121,35,315,320,191,199,124,414,218,121,0,179,134,195,93,169,315,275,67,240,73
ENSMUSE00001336116,26,30,43,20,9,44,43,32,28,21,68,28,10,0,26,15,32,9,21,29,49,9,42,10
ENSMUSE00000553482,1686,1869,6260,2039,614,4236,6630,3353,3259,2068,8101,4061,2764,0,2827,2724,3044,1511,4344,5836,4916,1421,6007,1049
ENSMUSE00001321552,72,60,153,102,25,128,187,140,97,68,307,108,162,0,95,68,103,37,124,215,159,36,156,53
ENSMUSE00000809317,74,111,372,98,49,266,399,134,181,139,401,237,112,0,158,170,177,69,242,303,305,80,337,49
ENSMUSE00000752865,81,66,222,100,19,181,264,120,136,80,299,117,110,0,111,91,105,56,140,250,212,33,173,48
ENSMUSE00000827254,20,17,47,15,7,38,42,23,22,13,71,18,18,0,30,17,17,8,23,48,32,5,38,7
ENSMUSE00001343502,18,41,120,46,12,98,140,72,61,45,185,86,59,0,44,45,62,46,82,96,117,30,151,13
