gene_name,KO_48h-WT_48h,KO_EE-WT_EE,KO_DP-WT_DP,KO_MP-WT_MP,KO_TE-WT_TE
Eif5al3-ps,5.398,5.1,5.599,5.21,5.675
Ccl27a,-4.894,-2.64,-3.5810000000000004,-3.885,-2.274
Igkv3-2,0.0,-2.8489999999999998,0.7929999999999999,-2.013,3.2510000000000003
Igkv1-135,0.0,1.879,-0.259,1.766,-0.099
Igkv8-19,0.0,3.432,-0.16,2.0669999999999997,0.568
Ttn,2.1719999999999997,0.826,0.28300000000000003,1.861,1.865
Hist1h2ai,2.0669999999999997,1.042,1.494,1.3869999999999998,0.795
Olfr149,1.256,3.16,1.975,1.801,3.678
Hist1h2ah,2.105,2.187,2.92,2.824,2.551
Trim16,1.6869999999999998,2.214,2.7439999999999998,2.455,3.09
Trav7d-5,0.23399999999999999,2.7230000000000003,1.761,2.509,2.701
Trav7n-5,0.23399999999999999,2.7230000000000003,1.761,2.509,2.701
Hist1h2ad,1.205,1.4769999999999999,2.8289999999999997,2.622,1.734
Hist1h2aj,1.6869999999999998,2.144,1.736,2.032,2.108
Pcna-ps2,1.659,1.746,1.699,1.841,1.7180000000000002
Trav3-1,0.7859999999999999,2.718,1.63,1.692,1.6030000000000002
Bik,1.103,2.057,2.432,2.347,1.754
Stk25,0.626,2.434,2.021,1.865,2.104
Ccnb1ip1,0.88,2.074,2.135,2.175,2.199
Sag,0.794,2.145,2.306,1.921,1.985
Igkv17-127,0.0,0.08800000000000001,-2.226,1.9469999999999998,-3.265
Igkv1-110,0.0,-0.316,-1.8419999999999999,2.291,0.222
Igkv6-32,0.0,-0.096,-4.071000000000001,2.4130000000000003,0.303
Igkv4-57,0.0,-0.159,-2.9210000000000003,3.323,-0.188
Igkv14-126,0.0,-1.1740000000000002,-2.156,0.342,0.138
Pgpep1,0.092,0.431,-2.031,0.57,0.983
Ighv1-76,0.0,0.032,-1.601,1.127,1.621
Igkv4-59,0.0,-0.511,2.392,2.863,-0.516
1110032F04Rik,-0.544,1.21,2.267,1.8030000000000002,0.449
St8sia1,0.294,0.8390000000000001,1.5490000000000002,1.385,-1.0170000000000001
Igkv8-21,0.0,-1.297,2.623,-0.532,-1.661
Trav7d-2,0.0,-0.935,2.69,1.19,0.423
Igkv8-16,-0.011000000000000001,-0.161,3.176,-0.094,-0.002
Igkv4-50,0.0,-0.081,3.4210000000000003,-0.5870000000000001,-0.048
Igkv2-137,0.0,0.6,0.141,-1.419,2.336
Piezo1,0.9309999999999999,1.436,0.027000000000000003,-0.948,1.014
Myo9a,-0.091,1.16,1.136,-1.253,0.762
Smim1,-0.975,2.406,0.8340000000000001,0.18600000000000003,0.8109999999999999
Igkv8-24,0.0,2.378,1.395,0.247,1.061
Car1,0.0,2.15,0.713,0.182,0.8220000000000001
Hba-a2,-0.001,2.136,0.684,0.7340000000000001,0.41
Hba-a1,0.067,2.226,0.795,0.8390000000000001,0.5579999999999999
Ighv1-64,0.0,1.5090000000000001,-0.09,0.653,2.239
Trav14n-1,-0.423,1.751,0.256,0.898,1.493
Trav14d-1,-0.423,1.751,0.256,0.898,1.493
Serpina3g,-0.9940000000000001,1.188,0.708,0.501,1.76
Gdpd5,-0.86,1.429,0.672,0.441,1.3780000000000001
Tbc1d4,0.292,0.292,1.263,0.517,2.315
Col23a1,-0.737,1.0170000000000001,1.061,0.466,2.81
Pdgfb,-0.642,1.5390000000000001,1.318,1.055,1.854
Selenop,-0.243,1.597,1.112,1.7080000000000002,2.113
Tex11,-0.306,1.535,1.713,1.915,2.29
Car2,-0.076,2.1390000000000002,1.3159999999999998,0.7979999999999999,1.986
Trav3-4,0.099,2.762,1.535,1.3130000000000002,2.07
Trav3-3,0.528,1.587,1.4269999999999998,1.6909999999999998,1.4280000000000002
Trav14n-2,0.578,1.899,1.014,1.706,1.5090000000000001
Trav14d-2,0.578,1.899,1.014,1.706,1.5090000000000001
Trav7-3,0.638,1.8430000000000002,1.432,1.262,2.063
AC125149.3,0.659,1.9369999999999998,0.862,0.8690000000000001,1.607
Socs5,0.725,1.962,1.0490000000000002,0.606,1.975
Trav7-1,0.522,0.745,2.444,1.09,2.64
Hist3h2ba,-0.282,1.274,1.8030000000000002,1.084,1.3559999999999999
Igfbp7,-0.032,0.865,2.331,0.899,1.71
Trav10d,0.578,1.178,2.345,1.5590000000000002,1.579
Fbxo17,0.32899999999999996,1.396,2.045,1.227,2.367
Asns,0.138,1.306,1.911,1.064,2.471
Trav14d-3-dv8,0.508,1.3969999999999998,1.577,1.138,1.64
Gpr55,0.441,1.1159999999999999,1.8119999999999998,1.013,2.003
Trav5-1,0.53,0.18899999999999997,1.831,0.649,1.4869999999999999
Hddc3,0.917,0.8959999999999999,2.15,0.88,1.0390000000000001
Trav12-3,0.311,0.738,1.889,1.022,0.943
Ier3,0.715,0.691,1.082,1.232,1.865
Trav8d-1,1.3090000000000002,0.873,1.429,1.3119999999999998,1.179
Arhgef39,1.081,1.4480000000000002,1.3419999999999999,1.036,1.561
Slc7a3,-0.457,1.409,-0.706,-0.7120000000000001,0.105
Mtss1,0.113,1.272,-0.6709999999999999,-0.10300000000000001,0.425
Zrsr1,0.22,0.6809999999999999,-1.008,-0.076,0.195
Rdh10,-0.24600000000000002,1.085,0.204,0.184,-0.213
4933427I04Rik,-0.085,1.123,0.633,-0.098,0.22399999999999998
2810021J22Rik,-0.406,1.275,0.725,0.076,-0.071
Hacd1,-0.624,1.229,0.14300000000000002,-0.45899999999999996,-0.435
Olfr769,0.081,1.016,0.159,-0.65,-0.312
Plekho1,0.008,1.022,0.128,-0.415,-0.446
Eef1aknmt,-0.136,1.109,-0.005,-0.307,-0.322
Fam168a,0.679,1.3119999999999998,-0.037000000000000005,0.207,0.34299999999999997
Slpi,-0.315,1.588,0.44,1.0170000000000001,0.102
Wdtc1,0.043,1.2919999999999998,0.079,0.626,0.326
Il2,-1.626,0.158,0.019,-0.746,1.139
Chst2,-0.91,0.531,0.451,-0.259,1.288
Tlr6,-0.35100000000000003,0.154,-0.039,0.5760000000000001,1.13
Fbxl15,-0.5,0.32899999999999996,-0.012,0.013000000000000001,1.055
Synj2,-0.226,-0.332,0.322,0.23800000000000002,1.28
Ptges2,-0.425,-0.22399999999999998,0.49700000000000005,0.235,1.054
1810055G02Rik,-0.5489999999999999,-0.21899999999999997,0.782,0.478,1.568
Adat3,-0.667,-0.23,0.47,0.667,1.163
Gbp10,-0.5760000000000001,-0.13,-0.23399999999999999,-0.023,1.7730000000000001
Map7,0.048,-0.04,0.47100000000000003,-0.35200000000000004,1.196
Pcsk4,0.026000000000000002,0.032,0.406,-0.162,1.493
Snx9,-0.046,-0.185,0.055,-0.541,1.13
Tnfrsf4,-0.033,-0.521,-0.098,-0.5,1.101
Ptger2,-0.10400000000000001,0.033,-0.126,0.034,1.329
Thop1,-0.159,-0.107,-0.08199999999999999,-0.083,1.051
Macrod1,0.196,-0.21899999999999997,-0.13699999999999998,0.21,1.44
Ccdc125,0.23399999999999999,-0.313,-0.0,0.013000000000000001,1.088
Il1b,0.0,-0.593,-0.569,-0.27,1.6059999999999999
Izumo1r,-0.08199999999999999,-0.595,-0.971,-0.019,1.123
Il20rb,0.075,-0.19,-0.6859999999999999,-0.303,1.091
Ccrl2,-0.033,-0.344,-0.782,-0.21,1.145
Gas7,0.435,0.418,-0.33,-0.845,1.169
Il1f9,0.23199999999999998,0.39799999999999996,-0.29,-0.077,1.088
Igkv2-109,-0.004,0.023,1.935,0.431,-0.387
Mcpt8,0.0,0.0,1.825,0.308,-0.009000000000000001
Ighv7-3,0.0,0.021,2.04,0.3,-0.013000000000000001
Traf3ip1,-0.34600000000000003,0.691,1.2770000000000001,0.618,0.63
Zfp623,-0.102,0.43,1.121,0.797,0.204
Ctse,0.268,0.252,1.013,0.703,0.08900000000000001
Pigt,0.027999999999999997,0.365,1.1059999999999999,0.401,0.539
Fam53b,0.043,0.773,1.1159999999999999,0.575,0.46799999999999997
Mib2,0.312,0.40399999999999997,1.071,0.715,0.442
Rmdn1,0.344,0.6579999999999999,1.088,0.613,0.507
Tbc1d19,-0.13,0.418,1.476,0.26899999999999996,-0.316
Far2,-0.28800000000000003,0.37799999999999995,1.131,-0.218,-0.431
Zfp300,-0.226,0.055,1.018,0.568,-0.023
Clec16a,-0.185,-0.03,1.102,0.325,0.08800000000000001
Trib3,-0.01,0.295,1.229,-0.324,0.002
Zswim3,0.055,0.332,1.068,-0.156,0.312
Nprl3,-0.012,0.107,1.089,0.07,0.306
Luzp1,0.21,-0.561,1.413,-0.321,-0.11199999999999999
Hist1h3i,0.384,-0.35200000000000004,1.1320000000000001,-0.293,-0.87
Id3,-0.28600000000000003,-1.146,0.8809999999999999,-0.524,0.031
Tyw3,-0.5710000000000001,-0.626,1.122,0.09300000000000001,0.342
Ifrd2,-0.107,-0.77,1.122,0.265,0.28800000000000003
Trav16d-dv11,0.536,0.507,1.203,1.8980000000000001,0.635
Heatr9,-0.912,0.9059999999999999,0.46399999999999997,1.3090000000000002,0.005
Ccdc180,-0.573,0.6459999999999999,0.312,1.0590000000000002,0.501
Jchain,-0.542,0.605,0.879,1.425,0.5870000000000001
Akr1c13,-0.575,0.499,0.698,1.198,0.465
Ly6a2,-0.052000000000000005,0.784,0.06,1.151,-0.174
Bend5,-0.094,0.8320000000000001,0.604,1.4180000000000001,-0.604
Hivep3,-0.381,0.675,0.735,1.548,-0.1
