gene_name,Chd7_1_vs_Ctrl,Chd7_2_vs_Ctrl,Chd7_3_vs_Ctrl
Plxna1,2.377,0.8440000000000001,2.07
Pagr1a,0.46299999999999997,-2.72,0.34
Cd163l1,-0.34,1.546,0.419
Nek6,1.232,0.37,0.391
Abca3,0.7,1.131,0.514
Tmem254a,0.5720000000000001,1.166,0.54
Tnfrsf25,1.074,1.158,0.8240000000000001
Setbp1,1.119,0.635,0.878
Serpina3g,1.214,0.716,0.865
Spred1,1.0090000000000001,0.732,0.622
Rasl12,0.898,0.987,0.7140000000000001
Cd86,0.9520000000000001,0.828,0.812
5031439G07Rik,0.92,0.444,1.3230000000000002
Ndnf,0.685,0.784,0.995
Gpr155,0.873,0.41600000000000004,0.9
Zfp799,0.156,0.23800000000000002,1.195
Slc5a6,0.183,0.691,0.8079999999999999
Ndrg1,0.272,0.6759999999999999,0.9690000000000001
Lag3,-0.11599999999999999,0.5579999999999999,0.371
Zbed3,-0.145,0.675,0.196
Gatb,-0.19399999999999998,0.601,0.266
Myc,-0.204,0.5820000000000001,0.205
2700081O15Rik,-0.17,0.7879999999999999,-0.043
Tmem97,-0.214,0.515,-0.13699999999999998
Ptprs,-0.13,0.531,-0.14
G0s2,-0.064,0.6729999999999999,0.057999999999999996
Mybl1,-0.094,0.5429999999999999,-0.015
Ltb,0.013999999999999999,0.5820000000000001,-0.067
Fads1,0.023,0.547,0.028999999999999998
Hmgn1,0.24,0.6729999999999999,-0.19899999999999998
Slc25a13,0.308,0.647,-0.02
Pask,0.319,0.629,-0.05
Stradb,0.446,0.705,0.536
Rgs16,0.34700000000000003,0.8079999999999999,0.58
Camk2b,0.433,0.9159999999999999,0.499
Acsf2,0.358,0.895,0.48
Cdk5r1,0.62,0.74,0.27699999999999997
Sema7a,0.556,0.6940000000000001,0.353
Ccdc157,0.531,0.6759999999999999,0.317
Tiam1,0.359,0.805,0.285
Elovl6,0.45899999999999996,0.703,0.32
Tnfrsf8,0.423,0.7659999999999999,0.361
Jdp2,0.46,0.56,0.28
Hsph1,0.46299999999999997,0.5489999999999999,0.299
Dusp4,0.37799999999999995,0.519,0.294
P4ha1,0.41,0.511,0.369
Igf2r,0.39,0.643,0.35
Fbxo48,0.33399999999999996,0.6579999999999999,0.387
Mtbp,0.326,0.519,0.366
Pik3cb,0.305,0.573,0.326
Tfrc,0.281,0.563,0.36200000000000004
Chst2,0.27899999999999997,0.539,0.38
Phactr2,0.39299999999999996,0.568,0.442
Slc39a14,0.326,0.5329999999999999,0.444
Cenpv,0.308,0.626,0.20199999999999999
Agbl5,0.28600000000000003,0.568,0.248
Atp11a,0.32,0.55,0.263
Gale,0.289,0.522,0.126
Acot7,0.4,0.5479999999999999,0.10099999999999999
Lrr1,0.11800000000000001,0.841,0.349
Zcwpw1,0.168,0.741,0.449
Shmt1,0.076,0.691,0.415
Irf4,0.098,0.606,0.428
Ehd1,0.256,0.762,0.149
Pcdhgc3,0.205,0.7190000000000001,0.264
Klhl22,0.062,0.736,0.19
Pcdhgc4,0.152,0.742,0.198
Afdn,0.128,0.679,0.168
Adat1,0.034,0.5589999999999999,0.285
Fancl,0.032,0.568,0.22
Ankrd9,0.124,0.607,0.282
Fdps,0.126,0.5,0.258
Tjap1,0.171,0.573,0.042
Dennd3,0.11900000000000001,0.542,0.131
Traip,0.165,0.546,0.162
Tlr12,0.21,1.115,0.068
Ccl9,0.195,1.075,0.015
BC035044,0.41100000000000003,0.988,0.135
Icosl,0.268,0.9890000000000001,0.237
Sell,0.27899999999999997,0.902,0.32299999999999995
Tlr6,0.654,1.024,0.067
Hist1h2br,0.568,0.821,-0.129
Il1rl1,0.40399999999999997,-0.34299999999999997,0.635
Btbd11,0.48200000000000004,-0.387,0.589
G530012D18Rik,0.8640000000000001,0.055,0.782
Tox,0.698,-0.268,0.632
Tnfsf8,0.9079999999999999,-0.19699999999999998,0.622
Cep104,0.225,-0.049,0.515
Idua,0.146,-0.052000000000000005,0.503
Ireb2,0.113,0.019,0.518
1810043G02Rik,-0.17300000000000001,-0.008,0.555
Ube2o,-0.077,-0.33299999999999996,0.5379999999999999
Slc20a2,0.284,0.345,0.598
Arl13b,0.257,0.349,0.5660000000000001
Hivep3,0.33299999999999996,0.479,0.593
Lss,0.318,0.42700000000000005,0.521
Ick,0.157,0.401,0.7440000000000001
Klhl2,0.079,0.28800000000000003,0.591
Sipa1l3,0.154,0.284,0.574
Prkci,0.174,0.29600000000000004,0.598
Nmnat2,0.428,0.24,0.779
Eri3,0.254,0.242,0.574
Dhx35,0.282,0.19,0.509
Pfkfb1,0.341,0.203,0.565
Nedd4l,0.33799999999999997,0.22399999999999998,0.562
Polr2a,0.418,0.244,0.556
Ncf2,0.46,0.142,0.61
Grip2,0.41,0.155,0.596
Zfp865,0.763,0.703,0.304
Zfp236,0.605,0.612,0.523
Pak6,0.737,0.625,0.466
Ifit1bl1,0.6679999999999999,0.632,0.455
Bcl2,0.588,0.505,0.611
Tspoap1,0.612,0.45,0.56
Popdc2,0.7070000000000001,0.47100000000000003,0.731
Pou6f1,0.752,0.456,0.644
Fam168a,0.691,0.237,0.46299999999999997
Tbc1d24,0.7959999999999999,0.34700000000000003,0.45799999999999996
Jaml,0.722,0.434,0.51
Gnat1,0.561,0.287,0.519
Apol7e,0.551,0.331,0.396
Trav21-dv12,0.502,0.35100000000000003,0.462
Slc4a7,0.509,0.396,0.45899999999999996
Cers6,0.675,0.309,0.611
Tram2,0.58,0.217,0.6559999999999999
Dcdc2c,0.545,0.319,0.647
Bach2,0.507,0.342,0.653
Slc36a4,0.541,0.107,-0.01
Ildr1,0.5,0.192,0.059000000000000004
Brf2,0.537,0.278,0.071
Asb7,0.597,-0.1,-0.087
Nckap5l,0.675,0.031,-0.043
Pkd1,0.489,-0.049,0.547
Iigp1,0.5870000000000001,-0.039,0.375
Snx30,0.511,0.076,0.247
Pex12,0.55,-0.05,0.239
Farp1,0.7909999999999999,0.09,0.395
D3Ertd254e,0.867,-0.17300000000000001,0.307
Nrp1,-1.435,0.11900000000000001,-0.887
Chit1,-1.265,-0.55,-1.112
Ablim2,-1.005,-0.507,-1.1909999999999998
Ifitm1,-1.092,-0.5329999999999999,-1.369
Gpc1,-1.555,-1.078,-1.3559999999999999
Itga1,-1.45,-1.452,-1.178
Tle1,-0.9179999999999999,-1.034,-1.114
Mmp16,-0.8540000000000001,-1.262,-0.728
Gpr55,-0.735,-1.41,-0.893
Ighm,-0.7959999999999999,-1.472,-0.7440000000000001
Ctsl,-0.977,0.251,0.3
Cln8,-0.985,0.175,0.603
Nfia,-0.7709999999999999,-0.6709999999999999,-0.18
Otud1,-0.517,-0.6809999999999999,-0.395
Sema4f,-0.5760000000000001,-0.718,-0.311
Mt1,-0.588,-0.6920000000000001,-0.509
Jmy,-0.531,-0.615,-0.5
Klhdc1,-0.69,-0.614,-0.478
Gas2,-0.593,-0.615,-0.402
Enox2,-0.604,-0.5770000000000001,-0.431
Med12l,-0.782,-0.72,-0.46399999999999997
Nhsl2,-0.679,-0.721,-0.561
Fam219b,-0.628,-0.6709999999999999,-0.607
Klrg1,-0.6509999999999999,-0.773,-0.441
Bbc3,-0.613,-0.821,-0.512
Cpd,-1.217,-0.757,-0.691
Zbtb7b,-0.627,-0.28800000000000003,-0.938
Klrk1,-0.981,-0.23600000000000002,-0.7659999999999999
Kcnj8,-0.892,-0.1,-0.684
Havcr2,-0.9440000000000001,-0.516,-0.858
Itgb1,-1.0859999999999999,-0.37799999999999995,-0.787
Anxa1,-1.0759999999999998,-0.484,-0.8440000000000001
Uhrf1bp1,-0.935,-0.635,-0.6709999999999999
Ly6a2,-0.94,-0.591,-0.615
Gzma,-0.97,-0.5529999999999999,-0.617
Lrsam1,-0.69,-0.503,-0.607
Esm1,-0.847,-0.483,-0.642
Engase,-0.769,-0.41700000000000004,-0.653
Zbtb42,-0.06,-0.638,-0.619
Atp5g2,-0.235,-0.5720000000000001,-0.642
Tulp1,-0.43200000000000005,-0.616,-0.659
Ccdc92,-0.36200000000000004,-0.51,-0.616
Casp6,-0.368,-0.452,-0.8
AA467197,-0.48200000000000004,-0.364,-0.8079999999999999
Uap1l1,-0.539,-0.48700000000000004,-0.601
Polr3gl,-0.467,-0.425,-0.546
Il1rl2,-0.451,-0.39,-0.611
Tmem191c,-0.457,-0.41700000000000004,-0.606
Itga2,-0.589,-0.35100000000000003,-0.677
P2ry12,-0.54,-0.322,-0.643
Prdx4,-0.601,-0.344,-0.552
Rcn3,-0.515,-0.365,-0.547
Pi4k2b,-0.311,-0.415,-0.68
Hacd2,-0.311,-0.33299999999999996,-0.685
St7,-0.28,-0.33399999999999996,-0.526
Akr1c13,-0.292,-0.33399999999999996,-0.569
Ssh3,-0.33399999999999996,-0.418,-0.51
Zfp677,-0.373,-0.363,-0.539
Prkcz,-0.308,-0.16899999999999998,-0.639
Bivm,-0.156,-0.203,-0.564
Adam8,-0.207,-0.08800000000000001,-0.5429999999999999
Ptges2,-0.233,-0.099,-0.633
Spint2,-0.182,-0.10800000000000001,-0.636
Ell2,-0.044000000000000004,-0.377,-0.604
Tmem19,-0.05,-0.335,-0.589
Slc39a4,0.05,-0.11900000000000001,-0.528
Trim41,0.011000000000000001,-0.151,-0.527
Inpp4b,-0.652,-0.14,-0.45399999999999996
Nxpe1-ps,-0.7020000000000001,-0.142,-0.41200000000000003
Tspan2,-0.609,-0.243,-0.5579999999999999
Fas,-0.636,-0.259,-0.49
Fastkd2,-0.914,-0.365,-0.37
Klre1,-0.8740000000000001,-0.305,-0.311
Ctns,-0.795,-0.218,-0.473
Ptdss2,-0.8320000000000001,-0.18600000000000003,-0.376
Ltv1,-0.589,-0.29,-0.066
Aacs,-0.541,-0.21100000000000002,-0.1
Cep164,-0.535,-0.23399999999999999,-0.185
Gss,-0.5489999999999999,-0.292,-0.13699999999999998
Map2k6,-0.53,-0.16,-0.27399999999999997
Klrc1,-0.556,-0.127,-0.353
Klrc2,-0.551,-0.24,-0.32299999999999995
Stk11ip,-0.502,-0.282,-0.251
Daam1,-0.7120000000000001,-0.41100000000000003,-0.20199999999999999
B3glct,-0.552,-0.452,-0.254
Kdelc2,-0.542,-0.49700000000000005,-0.428
Fahd2a,-0.62,-0.445,-0.358
