,ChIP
0,sc_P7_arm_up
1,sc_P9_cl13_up
2,sc_P2_cl13_up
3,d5_KLRG1lo_Runx3_repressed
4,sc_d8_arm_up
5,sc_P3_arm_up
6,sc_P4_cl13_up
7,sc_P5_cl13_up
8,sc_P6_cl13_up
9,sc_P5_arm_up
10,sc_P3_cl13_up
11,sc_d5_cl13_up
12,sc_P2_arm_up
13,sc_P4_arm_up
14,d5_KLRG1lo_Runx3_promoted
15,sc_d8_cl13_up
16,nascent_Il2_promoted
17,sc_d5_arm_up
18,sc_P6_arm_up
19,d5_KLRG1hi_Runx3_repressed
20,nascent_48h_dn
21,d5_KLRG1hi_Runx3_promoted
22,sc_P7_cl13_up
23,nascent_Il2_repressed
24,sc_P9_arm_up
25,ChIP
26,d5_KLRG1lo_all
27,d5_KLRG1hi_all
28,nascent_48h_up
29,sc_all
30,nascent_all
