,ChIP
0,2021_GoldrathLab_Brd4___BRD4_MP-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
1,2021_GoldrathLab_Brd4___BRD4_NAV-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8
2,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
3,2021_GoldrathLab_Brd4___BRD4_MP-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8
4,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
5,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
6,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
7,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8
8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
9,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8
10,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8
11,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
12,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
13,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
14,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
15,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
16,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
17,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
18,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
19,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
20,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8
21,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8
22,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
23,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
24,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
25,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
26,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
27,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
28,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
29,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
30,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
31,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
32,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
33,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
34,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
35,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2021_GoldrathLab_Brd4___BRD4_MP-CD8
36,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2021_GoldrathLab_Brd4___BRD4_TE-CD8
37,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
38,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2021_GoldrathLab_Brd4___BRD4_TE-CD8
39,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
40,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
41,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2021_GoldrathLab_Brd4___BRD4_MP-CD8
42,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
43,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
44,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
45,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
46,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
47,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
48,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
49,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
50,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
51,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8
52,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8
53,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
54,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
55,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
56,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
57,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
58,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
59,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
60,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
61,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
62,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
63,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
64,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
65,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
66,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
67,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
68,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
69,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8
70,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8
71,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
72,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
73,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2021_GoldrathLab_Brd4___BRD4_MP-CD8
74,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2021_GoldrathLab_Brd4___BRD4_TE-CD8
75,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
76,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
77,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2021_GoldrathLab_Brd4___BRD4_MP-CD8
78,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2021_GoldrathLab_Brd4___BRD4_TE-CD8
79,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8
80,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8
81,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
82,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
83,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
