,ChIP
0,sc_P7_arm_up
1,nascent_all
2,ChIP
3,d5_KLRG1lo_all
4,d5_KLRG1hi_all
5,sc_P2_arm_up
6,sc_P9_arm_up
7,sc_all
8,nascent_48h_up
9,nascent_48h_dn
10,nascent_Il2_promoted
11,sc_d8_cl13_up
12,d5_KLRG1lo_Runx3_promoted
13,sc_d5_arm_up
14,d5_KLRG1hi_Runx3_repressed
15,sc_P7_cl13_up
16,sc_P4_arm_up
17,nascent_Il2_repressed
18,sc_P2_cl13_up
19,sc_P3_cl13_up
20,sc_P6_cl13_up
21,sc_P4_cl13_up
22,sc_P5_cl13_up
23,sc_P9_cl13_up
24,d5_KLRG1hi_Runx3_promoted
25,sc_d5_cl13_up
26,sc_P6_arm_up
27,sc_P5_arm_up
28,d5_KLRG1lo_Runx3_repressed
29,sc_d8_arm_up
30,sc_P3_arm_up
