,ChIP
0,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
1,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
2,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
3,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
5,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
6,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT---2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
7,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT---2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
9,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
10,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
11,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
12,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
13,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT---2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
14,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
15,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
16,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
17,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
18,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
19,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
20,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
21,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
22,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
23,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
24,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
25,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
26,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
27,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
28,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
29,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
30,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
31,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
32,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT---2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
33,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8---2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
34,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE---2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
35,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO---2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
36,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP---2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
37,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
38,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
39,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN---2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
40,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN
41,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP
42,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE
43,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT---2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
44,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory---2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
45,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO---2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
46,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8---2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
47,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
48,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8---2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
