,ChIP
0,sc_P7_arm_up
1,sc_P2_cl13_up
2,sc_P5_cl13_up
3,sc_P4_cl13_up
4,sc_P6_cl13_up
5,sc_P3_cl13_up
6,d5_KLRG1lo_Runx3_repressed
7,sc_d8_arm_up
8,sc_P3_arm_up
9,sc_P9_cl13_up
10,sc_d5_cl13_up
11,sc_P7_cl13_up
12,sc_P4_arm_up
13,sc_P2_arm_up
14,nascent_Il2_repressed
15,nascent_48h_up
16,sc_all
17,sc_d8_cl13_up
18,sc_d5_arm_up
19,d5_KLRG1hi_Runx3_repressed
20,d5_KLRG1lo_Runx3_promoted
21,nascent_Il2_promoted
22,nascent_48h_dn
23,d5_KLRG1hi_Runx3_promoted
24,sc_P6_arm_up
25,sc_P5_arm_up
26,sc_P9_arm_up
27,nascent_all
28,ChIP
29,d5_KLRG1lo_all
30,d5_KLRG1hi_all
