ChIP_combination,ChIP,sc_P3_cl13_up,sc_d8_arm_up,sc_P3_arm_up,sc_P2_arm_up,sc_P4_arm_up,sc_P9_arm_up,sc_all,d5_KLRG1lo_Runx3_repressed,nascent_48h_up,sc_P4_cl13_up,sc_P7_cl13_up,sc_P7_arm_up,d5_KLRG1lo_Runx3_promoted,d5_KLRG1lo_all,d5_KLRG1hi_all,nascent_Il2_repressed,nascent_48h_dn,sc_P9_cl13_up,sc_P5_cl13_up,sc_P6_arm_up,sc_P5_arm_up,nascent_all,nascent_Il2_promoted,sc_d5_arm_up,sc_d8_cl13_up,d5_KLRG1hi_Runx3_repressed,d5_KLRG1hi_Runx3_promoted,sc_d5_cl13_up,sc_P6_cl13_up,sc_P2_cl13_up
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,0.1864,0.2483,0.3371,0.3193,0.2637,0.2951,0.1801,0.1943,0.3099,0.1349,0.2933,0.2031,0.5556,0.1672,0.1895,0.1895,0.31,0.2689,0.0857,0.3252,0.2176,0.2899,0.1925,0.1753,0.2296,0.1501,0.2254,0.2104,0.2693,0.3092,0.1429
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,0.2158,0.2183,0.3627,0.3927,0.3421,0.32,0.1968,0.2202,0.3381,0.1625,0.2609,0.186,0.5312,0.1946,0.2177,0.2177,0.3267,0.3019,0.087,0.2778,0.2113,0.3043,0.2164,0.2152,0.2701,0.1644,0.2557,0.2424,0.2736,0.2941,0.0667
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,0.1543,0.2276,0.3024,0.2624,0.2308,0.2258,0.1584,0.1651,0.2865,0.147,0.3333,0.2237,0.4474,0.1534,0.155,0.155,0.2508,0.2303,0.1282,0.3061,0.2112,0.2263,0.1627,0.1858,0.1808,0.1323,0.2015,0.1929,0.2329,0.2686,0.1333
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,0.1637,0.2351,0.2165,0.1811,0.16,0.0392,0.1386,0.167,0.1932,0.1454,0.1884,0.2414,0.1034,0.1425,0.1652,0.1652,0.1783,0.1934,0.2727,0.2302,0.1598,0.1791,0.1648,0.1503,0.1606,0.1473,0.1823,0.169,0.2347,0.2214,0.2667
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,0.1645,0.2454,0.3157,0.2783,0.2655,0.2727,0.1823,0.1791,0.2969,0.1511,0.3333,0.2283,0.475,0.1496,0.1665,0.1665,0.2588,0.2561,0.0833,0.3393,0.2408,0.25,0.1754,0.1774,0.209,0.1466,0.2179,0.2078,0.2533,0.3401,0.1944
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,0.0208,0.018,0.0146,0.0063,0.0,0.0,0.0068,0.0167,0.0212,0.023,0.0714,0.1111,0.0,0.0288,0.0202,0.0202,0.0088,0.0126,0.0625,0.0316,0.012,0.0,0.0189,0.0262,0.0058,0.0195,0.0196,0.019,0.0212,0.0122,0.1111
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,0.0502,0.0681,0.0473,0.0422,0.0377,0.0333,0.0633,0.0445,0.11,0.0657,0.1915,0.1667,0.0769,0.0526,0.0477,0.0477,0.0521,0.0449,0.1875,0.0917,0.0532,0.0921,0.0482,0.0654,0.0386,0.0444,0.0482,0.0582,0.0708,0.0833,0.0909
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,0.159,0.2716,0.2906,0.2738,0.2921,0.2,0.135,0.1721,0.3078,0.1481,0.3564,0.2188,0.5625,0.1577,0.1622,0.1622,0.2465,0.2357,0.1176,0.3521,0.209,0.2353,0.1687,0.189,0.1914,0.1487,0.2343,0.2021,0.2609,0.3188,0.1818
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,0.1647,0.2654,0.307,0.2792,0.2857,0.1791,0.132,0.1798,0.3121,0.1532,0.3394,0.19,0.4857,0.1586,0.1682,0.1682,0.235,0.2429,0.1569,0.3593,0.2179,0.2055,0.1739,0.1933,0.2065,0.1588,0.2351,0.2083,0.2742,0.3167,0.1818
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,0.1643,0.2457,0.334,0.3046,0.2778,0.2588,0.1582,0.1851,0.3207,0.154,0.3333,0.1901,0.6053,0.1555,0.1671,0.1671,0.2636,0.269,0.1129,0.3436,0.2222,0.2376,0.1801,0.1947,0.2203,0.1571,0.2254,0.2125,0.2575,0.2992,0.1778
