,ChIP
0,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
1,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
2,2021_GoldrathLab_Brd4___BRD4_MP-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
3,2021_GoldrathLab_Brd4___BRD4_NAV-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8
4,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
5,2021_GoldrathLab_Brd4___BRD4_MP-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8
6,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8
7,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
9,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8
10,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
11,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
12,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2021_GoldrathLab_Brd4___BRD4_MP-CD8
13,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2021_GoldrathLab_Brd4___BRD4_TE-CD8
14,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
15,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2021_GoldrathLab_Brd4___BRD4_MP-CD8
16,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO---2021_GoldrathLab_Brd4___BRD4_TE-CD8
17,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8
18,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8
