,ChIP
0,sc_P7_arm_up
1,sc_P9_arm_up
2,ChIP
3,d5_KLRG1lo_all
4,d5_KLRG1hi_all
5,nascent_48h_up
6,sc_d8_cl13_up
7,sc_all
8,nascent_all
9,sc_d5_arm_up
10,d5_KLRG1hi_Runx3_repressed
11,d5_KLRG1lo_Runx3_promoted
12,nascent_Il2_promoted
13,d5_KLRG1hi_Runx3_promoted
14,nascent_48h_dn
15,sc_P6_arm_up
16,sc_P4_arm_up
17,sc_P2_arm_up
18,nascent_Il2_repressed
19,sc_P2_cl13_up
20,sc_P5_cl13_up
21,sc_P4_cl13_up
22,sc_P6_cl13_up
23,sc_P7_cl13_up
24,sc_P5_arm_up
25,sc_P9_cl13_up
26,sc_d5_cl13_up
27,sc_d8_arm_up
28,sc_P3_arm_up
29,sc_P3_cl13_up
30,d5_KLRG1lo_Runx3_repressed
