,ChIP
0,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
1,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
2,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8
3,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8
4,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
5,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
6,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
7,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN---2016_SCIENCE_Mackay___Hobit_invitro-CD8
8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8
9,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8
10,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8
11,2016_SCIENCE_Mackay___Hobit_invitro-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
12,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
13,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
14,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
15,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8---2017_PNAS_Li___STAT5B_IL2-CD8
16,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
17,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
18,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
