,ChIP
0,sc_P7_arm_up
1,sc_P2_arm_up
2,sc_P4_arm_up
3,sc_P9_arm_up
4,ChIP
5,d5_KLRG1lo_all
6,d5_KLRG1hi_all
7,nascent_48h_up
8,sc_all
9,nascent_all
10,sc_P7_cl13_up
11,nascent_Il2_repressed
12,d5_KLRG1hi_Runx3_promoted
13,nascent_48h_dn
14,d5_KLRG1hi_Runx3_repressed
15,d5_KLRG1lo_Runx3_promoted
16,sc_d8_cl13_up
17,nascent_Il2_promoted
18,sc_d5_arm_up
19,sc_P2_cl13_up
20,sc_P9_cl13_up
21,sc_P6_cl13_up
22,sc_P4_cl13_up
23,sc_P5_cl13_up
24,sc_P3_cl13_up
25,sc_d5_cl13_up
26,sc_P6_arm_up
27,sc_P5_arm_up
28,d5_KLRG1lo_Runx3_repressed
29,sc_d8_arm_up
30,sc_P3_arm_up
