,ChIP
0,sc_P7_arm_up
1,ChIP
2,d5_KLRG1lo_all
3,d5_KLRG1hi_all
4,nascent_48h_up
5,sc_all
6,nascent_all
7,sc_P2_arm_up
8,sc_P9_arm_up
9,sc_P4_arm_up
10,nascent_Il2_repressed
11,nascent_48h_dn
12,sc_P7_cl13_up
13,nascent_Il2_promoted
14,sc_d5_arm_up
15,d5_KLRG1hi_Runx3_repressed
16,d5_KLRG1lo_Runx3_promoted
17,sc_d8_cl13_up
18,sc_P2_cl13_up
19,sc_d8_arm_up
20,sc_P3_arm_up
21,sc_P6_cl13_up
22,sc_P3_cl13_up
23,sc_d5_cl13_up
24,sc_P9_cl13_up
25,sc_P4_cl13_up
26,sc_P5_cl13_up
27,d5_KLRG1lo_Runx3_repressed
28,d5_KLRG1hi_Runx3_promoted
29,sc_P6_arm_up
30,sc_P5_arm_up
