,ChIP
0,sc_P7_arm_up
1,sc_P2_cl13_up
2,sc_P4_cl13_up
3,sc_P5_cl13_up
4,sc_P6_cl13_up
5,d5_KLRG1lo_Runx3_promoted
6,d5_KLRG1hi_Runx3_repressed
7,sc_all
8,nascent_all
9,nascent_48h_up
10,sc_d8_cl13_up
11,sc_P9_arm_up
12,ChIP
13,d5_KLRG1lo_all
14,d5_KLRG1hi_all
15,sc_P7_cl13_up
16,sc_P6_arm_up
17,d5_KLRG1hi_Runx3_promoted
18,nascent_Il2_promoted
19,nascent_48h_dn
20,sc_d5_arm_up
21,nascent_Il2_repressed
22,sc_P2_arm_up
23,sc_P4_arm_up
24,sc_P9_cl13_up
25,sc_P5_arm_up
26,sc_d8_arm_up
27,sc_P3_arm_up
28,sc_P3_cl13_up
29,d5_KLRG1lo_Runx3_repressed
30,sc_d5_cl13_up
