,ChIP
0,sc_P7_arm_up
1,ChIP
2,d5_KLRG1lo_all
3,d5_KLRG1hi_all
4,sc_P2_arm_up
5,sc_P9_arm_up
6,sc_P2_cl13_up
7,sc_P9_cl13_up
8,sc_P4_cl13_up
9,sc_P5_cl13_up
10,sc_P6_arm_up
11,sc_P5_arm_up
12,d5_KLRG1hi_Runx3_promoted
13,sc_d8_arm_up
14,sc_P3_arm_up
15,sc_P6_cl13_up
16,sc_P3_cl13_up
17,sc_d5_cl13_up
18,sc_P7_cl13_up
19,d5_KLRG1hi_Runx3_repressed
20,d5_KLRG1lo_Runx3_promoted
21,sc_d8_cl13_up
22,nascent_Il2_promoted
23,sc_d5_arm_up
24,d5_KLRG1lo_Runx3_repressed
25,nascent_48h_dn
26,nascent_48h_up
27,sc_all
28,nascent_all
29,sc_P4_arm_up
30,nascent_Il2_repressed
