,gene_ids,feature_types,n_cells,highly_variable,means,dispersions,dispersions_norm,mean,std
Rb1cc1,ENSMUSG00000025907,Gene Expression,6729,True,0.5080864838109506,0.49895866495175134,1.2611809,-1.1260543579883246e-11,0.4605731727689388
Pcmtd1,ENSMUSG00000051285,Gene Expression,3956,True,0.2851578548183187,0.4737604380777676,1.1769655,-2.4074458185721892e-11,0.36138711862261813
Vcpip1,ENSMUSG00000045210,Gene Expression,5070,True,0.3081026270479307,0.21875990336323486,0.3247236,1.1531871511384524e-10,0.3573807902326745
Sgk3,ENSMUSG00000025915,Gene Expression,1385,True,0.07399345363133254,0.35937104916562207,0.5023038,-5.71948356979823e-12,0.18284866998484983
Mcmdc2,ENSMUSG00000046101,Gene Expression,57,True,0.003096613558543213,0.28627590522561974,0.360203,-6.7124494673326454e-12,0.03845996465992885
Cspp1,ENSMUSG00000056763,Gene Expression,5193,True,0.3215496215358457,0.33469579829634516,0.71219504,8.788213645944041e-11,0.36906589483168206
Arfgef1,ENSMUSG00000067851,Gene Expression,6488,True,0.42956539033149377,0.26381577725237554,0.47530565,-1.5289099316733261e-10,0.41391585925403296
Ncoa2,ENSMUSG00000005886,Gene Expression,5954,True,0.40243807600460546,0.35539611617433076,0.7813779,-2.1626068038968558e-10,0.41124415325083574
Rdh10,ENSMUSG00000025921,Gene Expression,807,True,0.041893822834756185,0.2726112647664027,0.33363822,4.7026864907229896e-11,0.13842203188388144
Ube2w,ENSMUSG00000025939,Gene Expression,2589,True,0.1505190602071179,0.2224435361238785,0.23610955,-1.906494523266077e-11,0.25881296838830037
Mcm3,ENSMUSG00000041859,Gene Expression,7869,True,0.9593077431106453,0.6516310881589364,1.0797459,-2.675081158142012e-11,0.5277660136732781
Paqr8,ENSMUSG00000025931,Gene Expression,67,True,0.005967561417799482,0.5273234214039152,0.8288119,-1.4408652746236252e-11,0.0565424731179172
Khdc1a,ENSMUSG00000067750,Gene Expression,31,True,0.005515230973606355,1.2812418902075673,2.2944686,3.362154407947009e-12,0.057661162510592945
Ogfrl1,ENSMUSG00000026158,Gene Expression,1117,True,0.058576440728966686,0.35395264819638345,0.49177012,3.050391237225723e-11,0.16123671513799429
B3gat2,ENSMUSG00000026156,Gene Expression,230,True,0.011894402565919018,0.23985647708484883,0.2699612,-2.101115839182822e-11,0.07379428328016877
Lmbrd1,ENSMUSG00000073725,Gene Expression,3070,True,0.17259241033557582,0.2176454082827356,0.22678176,-6.672730831431269e-12,0.2725743283907559
Phf3,ENSMUSG00000048874,Gene Expression,9501,True,0.7623653506336597,0.34705340794566175,0.4346015,-8.360152253553815e-12,0.5053945544658817
Ptp4a1-1,ENSMUSG00000026064,Gene Expression,458,True,0.02258629281607542,0.1534196527745768,0.10192354,-1.4854769827114848e-11,0.10096129056858504
Zfp451,ENSMUSG00000042197,Gene Expression,3847,True,0.21926485802211965,0.2043272152185577,0.2008905,-1.0689898490643936e-11,0.30579239138702907
Bend6,ENSMUSG00000042182,Gene Expression,47,True,0.003197243007406598,0.49540976421278843,0.76677006,3.4505080092691267e-12,0.03953956221180615
Ptpn18,ENSMUSG00000026126,Gene Expression,12692,True,1.8492764906997006,1.1379528849216731,0.819462,-1.7532193764171356e-10,0.5128278935448132
Arhgef4,ENSMUSG00000037509,Gene Expression,414,True,0.03401302252039113,0.5158114784593262,0.80643207,8.522905570196565e-12,0.13341770647445186
Hs6st1,ENSMUSG00000045216,Gene Expression,658,True,0.038339875172579085,0.3743967225780139,0.53151447,-2.883572966439941e-11,0.13564029321962018
Neurl3,ENSMUSG00000047180,Gene Expression,3301,True,0.318112474044509,0.9060872083191377,2.6218524,7.8266968401956e-11,0.4022123775159643
Arid5a,ENSMUSG00000037447,Gene Expression,5103,True,0.40032864788584416,0.6178227273299425,1.6584386,-4.8863851817668565e-11,0.4253123136484192
Kansl3,ENSMUSG00000010453,Gene Expression,4190,True,0.2441244153465938,0.24377913637642323,0.2775871,-6.053120111369794e-11,0.3233450948186879
Cnnm3,ENSMUSG00000001138,Gene Expression,1621,True,0.08447047480273549,0.18670865854309476,0.1666391,5.1475352128184074e-11,0.19284950096009693
Ankrd23,ENSMUSG00000067653,Gene Expression,67,True,0.005126429709798494,0.532268378952074,0.83842516,1.289448096423021e-13,0.05131107468679406
Vwa3b,ENSMUSG00000050122,Gene Expression,67,True,0.005545545107214148,0.42247275172140014,0.62497675,1.6775829143135775e-11,0.05381425033624787
Inpp4a,ENSMUSG00000026113,Gene Expression,3012,True,0.15995705630487092,0.16094130189884406,0.11654602,4.4802621296752806e-11,0.2591132335707343
Mgat4a,ENSMUSG00000026110,Gene Expression,1563,True,0.09332051935336026,0.378055024765487,0.5386264,4.4802621296752806e-11,0.21038959775606023
Tsga10,ENSMUSG00000060771,Gene Expression,524,True,0.02995458451670903,0.34501850050653365,0.47440165,-1.5093081642523108e-11,0.11841309076422732
Mitd1,ENSMUSG00000026088,Gene Expression,6240,True,0.399821714583434,0.1563769442507467,0.11623239,-6.794423456701756e-11,0.39083002917533666
Aff3,ENSMUSG00000037138,Gene Expression,1062,True,0.09015974386514634,0.5196300039478704,0.81385547,-1.4620181633822344e-10,0.21554948084512446
Chst10,ENSMUSG00000026080,Gene Expression,1155,True,0.06592398242412036,0.2126155660422853,0.21700348,5.655933752356028e-11,0.17339158844903385
Rnf149,ENSMUSG00000048234,Gene Expression,3796,True,0.20916156859872972,0.7257818132202295,1.2146254,3.6570934006192506e-11,0.29283316745568716
Map4k4,ENSMUSG00000026074,Gene Expression,9059,True,0.7610134115014393,0.5517829999526971,0.9688672,-8.359159287656281e-11,0.5338144337447689
Il1r2,ENSMUSG00000026073,Gene Expression,285,True,0.012916645297542394,1.2487296764770286,2.2312632,1.5510127319487563e-11,0.0755328745376559
Il1rl1,ENSMUSG00000026069,Gene Expression,1258,True,0.07293564181197816,0.4548544655910124,0.6879285,-6.259657018056953e-11,0.18228182098172396
Il18r1,ENSMUSG00000026070,Gene Expression,9665,True,1.0193429550364308,0.9929782062028254,2.0673308,1.9768337450326708e-10,0.6429838716252357
Il18rap,ENSMUSG00000026068,Gene Expression,8080,True,0.8378823583011773,1.3975177423547536,3.2377439,-5.12084925432217e-11,0.6263973678655115
Mfsd9,ENSMUSG00000041945,Gene Expression,58,True,0.0033804224304161035,0.21257372371083805,0.21692213,5.7939560121133114e-12,0.039966452797380175
Tgfbrap1,ENSMUSG00000070939,Gene Expression,1893,True,0.09809292228160288,0.1924620889272351,0.17782407,3.177490872110128e-11,0.20656744062223556
Nck2,ENSMUSG00000066877,Gene Expression,2418,True,0.14274987829963068,0.22554041497529254,0.24213006,-3.7812141378110525e-11,0.2531080454616395
Gm8251,ENSMUSG00000091844,Gene Expression,744,True,0.05848034092085622,1.1779489146273194,2.0936618,-2.160693793034887e-11,0.1766573366939197
Ercc5,ENSMUSG00000026048,Gene Expression,2082,True,0.11544252490609953,0.2472991042119684,0.2844301,-2.256018519198191e-11,0.22782088283935523
Slc40a1,ENSMUSG00000025993,Gene Expression,55,True,0.006063935782304936,1.7838709392166203,3.2716055,2.4177284458939226e-11,0.056240991559573954
Nabp1,ENSMUSG00000026107,Gene Expression,8255,True,0.6758099240152605,0.5333285315799446,0.9207081,-8.734314215818502e-11,0.5191388673664042
Stat4,ENSMUSG00000062939,Gene Expression,9517,True,0.8067538316757592,0.3571535750952549,0.46095905,-1.0185270118498517e-11,0.522458914969523
Stat1,ENSMUSG00000026104,Gene Expression,10365,True,1.0990427891364583,1.1519220341807594,2.5271869,-1.9239086626940866e-10,0.6355331860771525
Mfsd6,ENSMUSG00000041439,Gene Expression,1907,True,0.12213749415211367,0.4088212988866252,0.5984376,-2.430780517164248e-11,0.24061913718080688
Inpp1,ENSMUSG00000026102,Gene Expression,6141,True,0.41954279716070786,0.2934912514954676,0.5744846,3.7741392557911195e-11,0.4143782646643097
1700019D03Rik,ENSMUSG00000043629,Gene Expression,135,True,0.008911419447382652,0.18775699604095653,0.16867712,-6.562573677173544e-12,0.06558193348306371
Stk17b,ENSMUSG00000026094,Gene Expression,12420,True,1.5978772509602586,0.8691533106869918,0.95274013,-1.9038135153427338e-10,0.5589356836476358
Pgap1,ENSMUSG00000073678,Gene Expression,1462,True,0.09006152215360445,0.4192455600721951,0.61870295,-3.1298285090284764e-11,0.20688068942057591
Ankrd44,ENSMUSG00000052331,Gene Expression,11366,True,1.1545210969145534,0.6178725918503319,0.57364714,1.0344067086643278e-10,0.5704027807115432
Coq10b,ENSMUSG00000025981,Gene Expression,7902,True,0.568701510093376,0.3704357550443215,0.49562046,1.3564162401794492e-10,0.46343410618878655
Hspd1,ENSMUSG00000025980,Gene Expression,10064,True,1.4133843212237145,1.2932615942764667,1.9570028,8.68953765987656e-12,0.5622989325255301
Hspe1,ENSMUSG00000073676,Gene Expression,12008,True,1.7466414073433858,0.9272794009206932,0.43506813,5.713029291464257e-11,0.5728438394454927
Kctd18,ENSMUSG00000054770,Gene Expression,2997,True,0.16671859603277592,0.17790711133600212,0.14952843,1.5251956186128615e-11,0.2676278463561546
Sgo2a,ENSMUSG00000026039,Gene Expression,4199,True,0.2540555520128483,0.161944576878138,0.11849644,1.4472726198038482e-10,0.293365969996653
Clk1,ENSMUSG00000026034,Gene Expression,11793,True,1.2690560495940537,0.7837157632005274,0.9364201,8.29889866974966e-11,0.5748700057475292
Fam126b,ENSMUSG00000038174,Gene Expression,1820,True,0.10463023200277306,0.41544868157724746,0.61132157,-3.3363654157156346e-11,0.2204250980124157
Cflar,ENSMUSG00000026031,Gene Expression,7431,True,0.5167886573117096,0.3440080712875985,0.7433177,-1.4495098960917305e-10,0.44623971381508576
Trak2,ENSMUSG00000026028,Gene Expression,3290,True,0.17950250185525504,0.15777309714286022,0.11038686,3.1457159633890264e-11,0.27597061447866544
Stradb,ENSMUSG00000026027,Gene Expression,983,True,0.04907626475202639,0.17456119308146262,0.14302379,-1.2868838032046019e-11,0.14716249641519427
Nop58,ENSMUSG00000026020,Gene Expression,8411,True,0.7714423973441047,0.28570129639849245,0.27449602,6.958456768446797e-11,0.4849954942678108
Bmpr2,ENSMUSG00000067336,Gene Expression,214,True,0.012807284374922276,0.408820755451979,0.59843653,5.560609026192724e-13,0.07832516080639354
Ica1l,ENSMUSG00000026018,Gene Expression,61,True,0.0035177512130883954,0.1741764157409488,0.14227577,-3.7434814337047444e-12,0.03995547747458365
Carf,ENSMUSG00000026017,Gene Expression,544,True,0.034980074885045113,0.4369025032032892,0.65302896,-1.4695895283509342e-12,0.1313661880688997
Nbeal1,ENSMUSG00000073664,Gene Expression,1895,True,0.13221310707581466,0.513581134937149,0.8020962,-1.3189069534000867e-11,0.2546366443685169
Raph1,ENSMUSG00000026014,Gene Expression,3349,True,0.17617775232582628,0.20211548311891667,0.19659077,5.850370826553504e-11,0.2705025447700273
Cd28,ENSMUSG00000026012,Gene Expression,11506,True,1.5394229118697398,1.0728720615841345,1.4351337,1.8899554350352693e-11,0.6944282818648667
Ctla4,ENSMUSG00000026011,Gene Expression,8184,True,0.8607336899883505,0.8124035325577227,1.5448924,-4.3131707932676766e-10,0.6246173367641702
Icos,ENSMUSG00000026009,Gene Expression,8970,True,0.8814787887826065,0.6883964250324897,1.1861153,-7.684004537701474e-11,0.5932625193429797
Nrp2,ENSMUSG00000025969,Gene Expression,83,True,0.0060478689746133575,0.25210855987133796,0.2937799,-5.262194410455797e-12,0.0546774438405922
Ino80d,ENSMUSG00000040865,Gene Expression,5313,True,0.327827556163015,0.24341337293366805,0.4071184,1.7977337273017604e-11,0.36837465046296164
Eef1b2,ENSMUSG00000025967,Gene Expression,12993,True,2.8010050300240135,1.1341380970601058,0.13621183,-1.1710993250244443e-10,0.4360855362483011
Klf7,ENSMUSG00000025959,Gene Expression,3846,True,0.2882961885085036,0.5689572271073443,1.4951243,-1.0469832423602872e-10,0.37032275551978633
Creb1,ENSMUSG00000025958,Gene Expression,6720,True,0.45861924801304377,0.353688501250366,0.7756709,3.662523682871392e-11,0.4281414663814856
Plekhm3,ENSMUSG00000051344,Gene Expression,642,True,0.044995289891767036,0.40704558998879864,0.59498554,8.296928253046741e-12,0.15043276034102596
Pikfyve,ENSMUSG00000025949,Gene Expression,1653,True,0.10156617152649186,0.31050226918308765,0.40730032,6.323206835499154e-11,0.21845459859746805
Kansl1l,ENSMUSG00000026004,Gene Expression,1039,True,0.060271437672585894,0.36661553460007096,0.5163874,4.1307381337431666e-12,0.16847809928780036
Ikzf2,ENSMUSG00000025997,Gene Expression,2731,True,0.2847826897983559,1.6657041230467091,5.160582,6.946789419150767e-11,0.3906416123869989
Fn1,ENSMUSG00000026193,Gene Expression,46,True,0.0027195309011915133,0.3571305226434662,0.49794805,4.9350405107460425e-12,0.036855631800232845
Rpl37a,ENSMUSG00000046330,Gene Expression,13142,True,3.3837476642620876,1.6974685184235436,0.2739611,-3.052811591600963e-11,0.3404520594556789
Cxcr2,ENSMUSG00000026180,Gene Expression,96,True,0.005538293339206712,1.3299348256744157,2.38913,-1.2471651673032253e-11,0.05160145156462335
Slc11a1,ENSMUSG00000026177,Gene Expression,108,True,0.004440011006489451,0.3662011645433506,0.51558185,1.787338615561947e-12,0.04408382646792049
Ttll4,ENSMUSG00000033257,Gene Expression,1116,True,0.0502472299475851,0.15686763566739748,0.1086266,-2.955066511062419e-11,0.14850135030194717
Cnppd1,ENSMUSG00000033159,Gene Expression,5986,True,0.37820385244665755,0.1661094873274372,0.1487597,-2.1803053543578214e-11,0.38712706471403036
Atg9a,ENSMUSG00000033124,Gene Expression,1161,True,0.06520817854415299,0.24462918035824202,0.2792396,-5.3699595738661164e-11,0.17350982972760676
