gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Xkr4,,,,,,,,,,
Rp1,,,,,,,,,,
Sox17,,,,,,,,,,
Mrpl15,0.5738515,4.568478597999806e-09,6.0677395,0.5738515,4.0171772760263073e-22,10.619738,0.5738515,1.5145661165835654e-07,5.7935934,-0.03855549
Lypla1,0.345925,4.876343240806675e-11,6.790751,0.345925,1.3787387889092052e-05,4.7211,0.345925,0.039791342500252,2.5984392,0.052530717
Gm37988,-20.11002,1.0,-0.08374797,-20.11002,0.0001439379611548,-4.114683,-20.11002,0.7309578823737518,-0.8369305,-0.004038468
Tcea1,0.436637,4.8835445359621397e-08,5.6571817,0.436637,4.019310935770761e-12,7.4692364,0.436637,0.0005685871120187,3.9680438,0.0438844
Rgs20,,,,,,,,,,
Atp6v1h,0.20216039,2.5721722345928303e-08,5.7705564,0.20216039,0.0302280228453201,2.5047379,0.20216039,0.3905043851542446,1.4270624,0.044748507
Oprk1,,,,,,,,,,
Npbwr1,,,,,,,,,,
Rb1cc1,-0.33650908,0.2009728844741897,1.5560913,-0.33650908,0.0001198303547058,-4.2058444,-0.33650908,0.1038734366362337,-2.1867478,0.07179675
Alkal1,,,,,,,,,,
St18,,,,,,,,,,
Pcmtd1,-0.60683465,0.1182474304033388,1.823493,-0.60683465,7.224576302050073e-06,-4.8647695,-0.60683465,0.034228087265494,-2.6577868,0.023053806
Sntg1,,,,,,,,,,
Rrs1,0.3275256,5.17604513963738e-11,6.7817073,0.3275256,0.0014898529275327,3.5257752,0.3275256,0.134426136342504,2.0595229,-0.0088260975
Adhfe1,-0.4747467,1.0,0.044434022,-0.4747467,0.7977800446526514,-0.35521314,-0.4747467,0.9472059814929948,-0.16049166,-0.0028169213
Vxn,,,,,,,,,,
Mybl1,1.1566888,0.0085300646165942,2.8488202,1.1566888,0.0026689199023969,3.3531215,1.1566888,0.0596814918718203,2.429552,0.01246287
Vcpip1,0.030968081,1.005027730532905e-09,6.318456,0.030968081,0.7991810992570321,0.35262606,0.030968081,0.9395543462582648,0.18079785,-0.017061317
Sgk3,0.30090764,3.00734254353176e-05,4.3713865,0.30090764,0.2213717236560689,1.5094984,0.30090764,0.7181241617032129,0.85859555,0.025897859
Mcmdc2,-0.5850304,1.0,0.07654384,-0.5850304,0.636101520975837,-0.62189233,-0.5850304,0.9285254977851048,-0.27947712,-0.0030123957
