,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.49397692,-0.23399949073791504,False,,,,,,,,,,,,,,,,0.10109782218933105
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,2.2320235,-0.04258739948272705,False,,,,,,,,,,,,,,,,0.06845557689666748
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6853228,-0.8501477241516113,False,,,,,,,,,,,,,,,,-0.8313877582550049
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.37604746,-0.7288192510604858,False,,,,,,,,,,,,,,,,0.00903993844985962
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.3456135,0.10676360130310059,True,0.1640775925740217,0.15984316398694162,0.22658394303646404,14.243217219204686,0.9528267771005631,0.271567165851593,0.13466821610927582,0.21500373896969188,0.0,0.0,0.2831174030013798,0.9144240701435763,0.5269951148536698,1.179902830609036,2.9546394535912004,0.10677039623260498
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,7.234629,-9.119490623474121,False,,,,,,,,,,,,,,,,-5.42390775680542
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.43093526,-2.2827322483062744,False,,,,,,,,,,,,,,,,-1.0783641338348389
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.0538012,-0.4357837438583374,False,,,,,,,,,,,,,,,,-0.12445056438446045
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.004228219,-4.7385430335998535,False,,,,,,,,,,,,,,,,0.04258239269256592
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,12.854918,-1.8589565753936768,False,,,,,,,,,,,,,,,,-1.821079969406128
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.07984664,-1.0672321319580078,False,,,,,,,,,,,,,,,,-0.012421965599060059
