gene_name,P2-P4_likelihood,P9-P4_likelihood,P5-P7_likelihood,P6-P7_likelihood,P2-P7_likelihood,P9-P7_likelihood,P5-P2_likelihood,P5-P4_likelihood,P2-P1_likelihood,P9-P10_likelihood,P3-P5_likelihood,P3-P6_likelihood,act_likelihood,P7-P8_likelihood,P6-P2_likelihood,P5-P6_likelihood,P9-P6_likelihood,P5-P8_likelihood,P6-P8_likelihood,P9-P8_likelihood
Hmgb2,,,0.6032693108566705,,,,0.3616335933707391,,,,,,,,,,,0.6515259280200283,,0.4101096955996054
Hat1,,,0.5311067740696411,,,,,,,,0.3862341161745591,0.29760109211169145,0.3816970511665407,0.2857307989846025,0.42130962774698977,,0.4128692408194413,0.5729906829507669,0.3945627850002864,0.3564118063771029
Lgals3,,,0.4751521484044444,0.6751160836445194,,,,,,,,,0.4484312773104649,0.6736311305094347,,,,,,
Tnfaip3,0.8483183697426977,,,,,,0.428689359910825,,,,,,,,,,,,,
Padi4,0.7253312462723775,,,,0.2057751281072764,,0.5047267472282924,,,,,,0.03378182438396627,,0.4501093686782873,,,,,
Plaur,0.6723438814807278,0.20708258202081745,0.12048353925931145,0.18434870847802928,0.24425111225569895,,0.3067019825236638,0.20415303892555686,,,,,1.4171714058122515e-06,0.16648275343869198,0.2454680232768044,,,,,
Sell,0.6286852434386078,0.31873853846814343,0.20024386395673266,,,,0.3814312045089885,,,,,,0.1839532672795172,,0.35573187579494936,,,,,
Ggt1,0.3498838769139614,,,,,0.2804778867857749,,,,,,,0.2638619432915213,,,,,0.3222503129636746,,0.3169014925333795
Zmynd11,0.3332671875939215,0.20056468212668785,0.23180962268745306,,,,0.24377063761296094,,,,,,0.2396479039617062,0.2685518508785365,,,,0.2738856822372491,0.2406800730457407,
Klrb1c,0.2633266349605972,,,,,,0.34562304564457597,,,,,,0.2534021290333747,0.2017979267647464,,,,0.2325853773781621,0.28294749450804363,
Atp1b3,0.3246132014585924,,,,,,,,,,,,0.22360882231251514,0.2430967624922219,,,,0.2322032142593272,0.2424649749894752,0.3077754841134614
Ssb,0.23808805987226564,,0.23096278492776806,,,,,,,,,0.2480805963974445,0.2436351268475251,0.24320736637879276,,,,0.30780016438561164,0.27786147942222383,0.2397421494059139
Zbtb10,0.5429735278392445,,,,0.200581776497102,,0.24277361499040825,,,,,,0.18197795527368035,0.2314738174491439,0.2899700931365722,,0.25341056671463635,0.31934440114193224,0.2642047448411676,0.4421992034345146
Itga4,0.6202371088511438,,,,,,,,,,,,0.2885443073512969,0.25329079091349205,0.2829430459480715,,,0.3335118016135156,0.2160566786098984,0.5081581808186518
Ctla4,0.5813475728820022,,,,0.34762961796947794,,0.2022503922367756,,,,0.2313426527544449,0.30568331778369506,0.2402194983110792,0.3235568718707265,0.22194437227750735,,,0.20926150526409773,0.2184608050851197,0.2707646489243766
Itga2,0.41788469549139495,,,,0.194742323184456,,0.325214736595994,,,,,0.2164614930496043,0.24105034444982895,0.3044971822246082,0.2454922943684761,,,0.24868833100315785,0.2357831843010885,
Ccr7,0.5899466854432381,,,,0.16861391854207172,,,0.3013945203634178,,,0.20719534296361564,0.3977822446016924,0.00012606622742586426,0.1925244651564504,,,,0.2473266844785739,,
Klrk1,0.3328825262969529,0.24504111719881835,,,0.2903086191091284,0.2074699878194932,0.20560342764938053,,,,0.2764468010728938,0.2421612610133552,0.2387720104526772,,,,0.2301444096602537,0.2914103523889392,0.305904248334371,0.2176433595304985
H2-Ab1,0.411939522884948,0.11662899841722794,,,0.3792156505837342,,0.2407645920539869,0.4216833060130332,,,0.38398387703054704,0.2149018288404156,0.009157768088396172,0.18905634552241532,0.13805569107009735,,,0.3885491560294652,0.3610944361923509,0.3399177809968245
Id2,0.3975592161315624,,,0.3692882752373415,0.26900080232407503,,,,,,0.36669852456044016,0.3521888619313641,0.3799538224787025,0.5201090448268124,,,,0.3571038317978989,0.2716080622570382,
Foxn3,,,,0.22738566669719626,,0.21148527332811,,,,,0.2877174211930178,0.2916582759158813,0.3235358708075527,0.4248994662370727,,0.2783301231705592,,0.4292859670482607,0.4827649444318545,
Gadd45b,,0.2877947121332261,,,,0.2909973265030977,,,,,0.36227413403199904,,0.31830860071564243,0.3661132462653981,,,,0.4402203971607585,0.3117214255147102,0.25425765296112274
Il18rap,,,,,,,,,,,0.4601223600827321,0.3438467991955299,0.4163257429860111,0.3746845625081596,,,,0.39406258565970864,0.5958762065488854,0.3626376064791142
Tnfrsf9,,0.3039984571849102,,,,,,,,,0.3147086640284006,0.34858543596685937,0.3305206482509265,0.262929721549785,,,,0.4568360879598936,0.35185474063106115,0.34948997759447403
Sp100,0.467568409842408,0.3992220809717469,,,,,,,,,0.2604267040228433,0.16986665246344754,0.28751491642843024,0.2860213061933757,0.21314217309593608,,,0.34840711871401475,0.32774072354976136,0.2793802411105273
Cd86,0.3585492283034254,0.4489701710945232,,,,,,,,,0.2403821506833324,0.2190217132061615,0.2295763098826828,0.3156031873078036,,,,0.2883976490849717,,
Brd8,,0.321775747071658,,,,,0.2350123300383517,,,,,0.2951166543741299,0.32269000293329164,0.2837621694558231,,,,0.32657690736701195,,
Cd96,,,,,,,,,,,0.29343561718929223,0.27067556553151656,0.29240783512257257,0.3030558254418725,0.3328520123787151,,,0.4108719251459103,0.34053398739998164,
Itgal,,0.3211081153471849,,,,,,,,,,0.2530705751500193,0.35232744098498825,0.3381125140894576,0.3105613868226511,,,0.4236694632741148,0.34981455530291955,
Rpa3,,,,,0.7790329312017412,,,,,,,,,,,,,,,
Suv39h1,,,0.3101011502694576,,0.2932168420678185,0.3629316170789775,,,,,,,,,0.4260921566217204,0.29807315460904965,,0.3014306319055549,,
Hmmr,,,0.2957828317839025,,0.5032057001893981,,0.2928289892085789,,,,,,,0.3955246810242373,,,,0.34749757901213635,,0.3576718021430668
Espl1,,0.2604031512411507,0.2709274090388176,,0.34196581600346165,0.5372869396757662,0.31961187464777746,,,,,,,0.420095971022378,,,,0.3098031101112481,,0.37711273491570935
Lag3,,0.2835972122601692,0.21155510815157624,0.22327648549177775,0.2759136455087534,0.24351696772535905,,,,,0.3425020813137932,0.2802314608203652,0.34168309642180034,0.3188962934728137,,,,0.36140650320171824,0.3313263826102666,0.226453038244142
Zfhx2,,0.5525504577240741,0.2494755238484478,0.22395243224526026,0.2709047618314506,0.2509692109587687,,,,,0.234312763650984,0.19837053090525125,0.22294849561360414,0.2198407713316152,,,0.15022930942472176,0.2916721130406542,0.2322870869837709,
Entpd1,,0.4543880511851034,0.2350803562360976,0.1707862063292602,0.2565441338587239,0.33372059850039365,,,,,0.326965579975097,0.292377012423765,0.31152222251761275,0.3268931269668172,,,,0.3611526148927013,0.3249258015474746,
Il7r,,,0.3086294079350483,0.32798806763352994,0.3940008561635224,0.35578192451133633,0.2162190613327209,,,,,,0.16921532673635314,0.2634328189293575,,,,0.3262232491863544,0.2866283450351529,0.2628812671408669
Fcgr2b,,,0.3855601284642015,0.3170655386104189,0.1899557675489478,0.20439158386350434,0.19443239576210355,,,,,,0.2312185777306915,0.21134167382672608,,,,0.2218805947614337,0.22483051220892325,
Rel,,,0.27706939115944673,,0.3197923047618317,0.30538608835806874,,,,,0.25890154897905343,0.17929315265513385,0.07760257139344184,0.3625331731628211,,,,0.30406127316406684,0.29281988453189095,0.2978703801651335
Foxm1,,0.20271729002261368,0.2783911655531092,,0.3642928238807983,0.4175524215381936,,,,,,0.280808708784635,0.2696209419946318,0.4157552488524094,,,,0.2777984795234927,,0.2126153378171616
Tgif2,,,,,0.2562306737905741,,,,,,0.29117035155513443,,0.2623641627793909,0.2838038089087652,,,,0.2870373086633175,0.24974131592901105,
Il10ra,,,,,0.30364502927501225,0.29778953271808384,,,,,0.29843023352184866,,0.3564202637926361,0.4080904487497661,,,,0.3263663914853458,0.32026811776340713,
Il18r1,,,,,0.20340606609262826,0.286481767645463,,,,,,,,0.2427011749633904,,,,0.30222646749731785,,
Tbc1d2b,,,0.2142489561942276,,0.2740316050566639,0.2942478284550171,,,,,,,0.2362009363651959,0.24033598588307534,,,,0.2655839826241052,,
Ikzf3,,,0.25375811994674435,,0.2327869516533621,0.2536271380794533,,,,,0.2114040739415442,0.1926487008739072,0.20965058012925009,0.18913180637519972,,,,0.2353202595609327,0.21969921710930373,
Cd84,,,0.3027987430489449,,0.2396197146794791,0.2761012072814924,,,,,0.2852819665859685,,0.2196739263623916,,,,,0.3198845656037606,,
Parp1,0.35156409600299104,0.20993473768551185,,,0.4766264612200623,,,,,,,,0.2627036565608848,,0.39128720861974187,,,0.2868850644734958,0.24756593011903855,
Prmt7,0.22489852409712066,,,0.3157788254959425,0.2840192061541486,0.26610578203416924,,,,,,0.3199951344554492,,,0.41688510213399865,,,,,
Ttf2,,0.29918531755970834,,,0.28944114642648683,,,,,,,0.3497979624986599,0.2435835811757943,,0.4161543055250158,,,,,
Parp2,,,,,0.33251990258818964,,,,,,,,0.30757591045319244,,0.3800685611555707,,,,,
Tcof1,,,,0.1919998806016052,0.2959074790177297,0.23080443974935794,,,,,,,0.2005480737259259,0.20375431714617456,0.24127108616163165,,,,,
Dnajc2,,,,,0.26265798432301113,0.2345173404384406,,,,,,,0.24555570486012102,0.225160360473681,0.32938646209133915,,,,0.2993728933835585,
Mcm2,,,,,,0.4380697699752556,,,,,,,,0.33057291964194835,,,,,,0.3383849570434685
Fkbp5,,,,,0.291341466877178,,,,,,,,,0.2933560240678395,,,,,0.3517559082313293,0.25240476047363425
L3mbtl3,,0.5771796472717291,,,,,,,,,,,0.2346896222932339,,,,,0.2415733988487942,0.27554352837864204,
Padi2,,0.4237275500463109,,,,,,,,,,,,0.2741559415423402,,,,0.2398458285442852,,
Snrpb,,0.4704348751104988,,,,0.27061920930511085,,,,,,,,0.26867959382598217,,,,0.30562802358551605,,0.2458502754267236
Gtf2ird1,0.2949233668209078,0.471620521098051,,,,,,,,,,,,,,,,,,0.2424366009223021
Cd226,,0.3943264511295607,,,,,,,,,,,,,,,,0.2501634788841013,,0.30608219237872
Mxd4,0.4042016827382081,,0.2614676623952469,,0.2987242471725968,0.2821657070676632,,,,,,,,,,,0.2539675743563172,,,
Phf19,0.2640976665307836,,0.2781222541714269,,0.3370258294816364,0.36096349552772056,,,,,,0.2141469836661666,0.23208423530428104,,0.2363462620433284,,,,,
Cd200,0.2097624686360476,,0.21167332598648947,,0.2366559368541269,0.2197191630921136,,,,,0.2640118023388068,0.23741998859275,0.16655279049718055,,,,,,,
Nfya,,,,0.24767280000342354,0.2510138682252887,0.2447963094761677,,,,,,0.2386142868372017,,,,,0.28115623376474297,,,
Nfkbib,,0.24839805608407825,,0.25578718279296764,0.2279796405408321,0.2816527052563181,,,,,,,,,0.2230215254924183,,,,0.19195047798797213,
Nap1l4,,,,0.23788446886222084,0.22536684068887464,0.23167848115462775,,,,,,,,0.22826454048460065,,,,,,0.2270937140997804
Myb,,0.30248184796107,,0.3302542261798678,0.3346660768369246,0.2900683513544784,,,,,,,,0.2320083138314195,,,,,,0.2847599301344778
Cbx3,,0.3505963176766945,0.3408499761405513,,0.5907195241993756,0.3376754220181921,,,,,,,,,,,,,,
Itgb3,,0.23435810208799124,0.254903876783395,,0.2627398322398729,0.2619816925559553,,,,,0.2591377691419392,,,,,,,,,
Ewsr1,,,0.27941809367304754,,0.2740162848134539,0.24803162499607184,0.3167584340149214,,,,,,,0.2237939564818419,,,,,,
Cd300c2,,,0.23858568494683985,0.06036149322690279,0.40501324193244304,0.22116410572658576,,,,,,,0.049844249070861685,0.4289978608000592,,,,,,
Tcf12,,,0.3240455350405153,0.3444807162940829,0.3127257899066461,,,,,,0.2355706273278748,0.2860317162588165,0.2364427123792826,,,,,,,
Chd3,,,0.260864351543995,0.22505091028830115,0.2431133249967449,,,,,,,,0.21217480460148092,,,,,,,
Satb1,,,0.2670842280786621,0.21513526682046571,0.2308083096811455,,0.2046762095111912,,,,,,0.2120693747131328,,,,,,,
Dpp4,,,0.24661242594697935,0.19211995706972565,0.24504170998468375,,0.2280682567859619,,,,,,0.1780191660387479,,,,,,,
Bcl6,,,0.3490090414458256,0.3545503216810479,,,,,,,,,0.29467089895495724,0.3120663445628306,,,,,,
Pecam1,,,0.3809134274741371,0.3754949625334049,0.3172946748755097,,,,,,,,0.2774194421085849,0.23082667166332366,,,,,,
Il6st,,,0.2801931214021613,0.2834544097277115,0.326640721168796,,,,,,,,0.21553328662386684,0.2929021780582141,,,,,,
Atf1,,0.23227621631230636,0.23741040306738015,,0.2245589969728723,0.2424589813319806,,,,,,,0.2550263046660503,,,,,0.22403657885622708,,
Pou2f2,,0.36407802932625105,0.2678213993205579,0.2736377411943059,0.3213047957000613,0.2857225968783937,,,,,,,0.239261392890264,0.2142716653746476,,,,0.2601986336504554,,
Smurf2,,,0.2330560548600082,0.1967254709664344,0.23330018876468314,0.2650645163531715,,,,,,,0.2176007451431196,0.251149500400496,,,,,,
Igf1r,,0.3121498689241849,0.2301938086157091,0.2650549687633586,0.2678883984725479,0.2185593846914618,,,,,,,0.15833506759094618,0.217795129009102,,,,,,
Kat2b,,0.1920683566735925,0.20270251131188546,0.22795214587182885,0.2404495836427701,0.2597123161808636,,,,,,,0.2544355093880354,,,,,,,
Trdv1,,,0.18615222747588875,0.22344014362683967,0.22963143158799634,0.19707532449977305,0.27515726761755244,0.2841411907804049,,,,,,,,,,,,
Mtf2,,,0.22634868725150156,0.24459461881578504,0.3171617498128209,0.3101828550539933,,,,,,,,,0.27381789933007705,,0.21793259649096855,,,
Tcf7l2,0.24052532247994235,,0.3203937205506098,0.2055117230869388,0.229951357495354,0.22194178931144484,,,,,,,,,0.2616187846187073,0.1831090556878712,,,,
Pcmt1,,,0.3836296722074849,,0.3197433976566656,,,,,,,,,,,,,,,
Ddx20,0.20716424323751215,,0.3188839178506138,,0.4100565797457065,,,,,,,,,,,,,,,
Ovol2,,,0.32100212831138725,,0.2176145178902325,0.21275970376595785,,,,,,,,,,,,,0.1853856395824207,
Csf1r,,,0.19617264035320006,,0.4016385992576053,0.2211642251970866,,,,,,,0.1063228979910754,0.03633625609571557,,,,,,
Ets1,,,0.23756546229317854,,0.2670737633662621,0.16959443499099097,,,,,,,,,,,,,,
Wdr5,,,0.3304623581556822,,0.30981042402878856,0.2794326412850309,,,,,,,,,,,,,,
Epas1,0.2245706237930632,,0.2738295123673912,0.2978707660182266,0.3741163765944189,0.23755873442500205,0.21045844622201096,,,,,,,,,,,,,
Irf4,,0.20186557786677867,0.2977544581492725,0.28352270853728306,0.25505691261330865,0.2824089258451059,,,,,,,,,,,,,0.25132014096878424,
Mxi1,,,0.2887439422075513,0.32959362475408305,0.24921704388219426,0.23885051646016756,,,,,,0.2968358766268377,,,,,,,,
Trim24,,,0.3043856730458065,0.31523316790834865,0.3237895894702105,0.3136516744878985,,,,,,0.2625328609065672,,,,,,,,
Bbx,,,0.36211065856444624,0.3649588413599536,0.3683390646713216,0.3675896243439656,,,,,,,,,,,,,,
Thy1,,,0.34433756740063703,0.4000422882804743,0.21610295135095295,0.2177329312922184,,,,,,,,,,,,,,
Cd160,,,0.2765534234926702,0.24054480200282255,0.2257545699873541,0.2564745346249519,,,,,,,,,,,0.2103733427612199,,,
Cd6,,,0.2508407562649253,0.16984949010232922,0.28440734461954875,0.27196383524785683,,,,,,,,,,,,,,
Rere,,,0.2406595939560719,0.2286902731074299,0.2330662339844001,0.22157964123669632,,,,,,,,,,,,,,
Ash1l,,,0.21207226203058588,0.22983232467541856,0.20765180933069646,0.19661417698546785,,,,,,,,,,,,,,
Fmr1,0.3114463215236402,0.22219069475277425,,,,,,,,,,,,,0.3406376264600752,0.2806922003562249,,0.3014079790620456,0.33554268674992954,
E2f6,0.3032766683443008,,,,,,,,,,0.2621991019707373,,,,0.2538934910075523,0.28075422876605965,,0.2722764219751726,,
