gene_name,P2-P7_likelihood,P2-P4_likelihood,P6-P2_likelihood,P2-P1_likelihood,P5-P2_likelihood
Ly86,0.17607314534084184,1.0661488160600443,0.374119084104636,,0.2502614853248825
Mcm5,0.967498623694464,,0.4856170042187834,,
Dek,0.609059579591866,,0.7384814894740036,,
Atad2,0.6359992658076529,,0.635277188118693,,
Chaf1a,0.5240365065119665,0.3556165200310063,0.6833867522233101,,
Timeless,0.6567806474367706,0.3277790218658276,0.6319235982959613,,
Brca2,0.7129287623625841,0.4047439064423966,0.4132223112852025,,0.16007245900159933
Hells,0.6765027870070969,0.4326511442063584,0.6127796539904837,,0.23754859390221605
Mcm4,0.7970581964881658,0.35744174810400353,0.5834507923389957,,0.23254790172417944
Mcm3,0.8423320574950486,0.6767983147873229,0.5028263266812922,,
Nap1l1,0.8242218626405727,0.5875231295539307,0.7015131300104039,,
Mcm7,0.998924569701442,0.3851231844146921,0.5144865095301026,,
Uhrf1,1.1508750921870967,0.5357525333615785,0.4621444226904708,,
Havcr2,0.6400708536502355,0.2342411058560028,,,
Trip13,0.7502073045987898,,,,
Rpa3,0.7790329312017412,,,,
Chaf1b,0.7686032013546693,,,,
Cbx3,0.5907195241993756,,,,
Baz1b,0.5152714566436077,,,,
Crebl2,,0.3981835090120908,,,0.3500575361134313
Klrb1c,,0.2633266349605972,,,0.34562304564457597
Phf1,,0.15174106758330008,,,0.26881047220763005
Klra3,,0.19375929524966615,,,0.2525334014251156
Trgv2,,0.2333679163979643,,,0.2722687740885571
Hif1a,,0.2092449763418536,,,0.14175311689707684
Spn,,0.2510385751717468,,,0.22789934015490704
Atf3,,0.2447729523688612,,,0.20224861035751365
Zbtb1,,0.2561489743937672,,,0.1980243835929115
Fbxo17,,0.4173693894872989,,,0.18117527358469715
Nsd3,,0.29656853479650586,,,0.2673458470944538
Crtam,,0.36012234419003675,,,0.2542306058868448
Zmynd11,,0.3332671875939215,,,0.24377063761296094
Il17ra,,0.3136318609138545,,,0.22754408796970196
Atp1b3,,0.3246132014585924,,,
Zfp62,,0.3249834175468166,,,
Rarg,,0.310555848252652,,,
Pwp1,,0.31884986410817595,,,
Baz2b,,0.3200641227249273,,,
Ecd,,0.31494621027850195,,,
Ets2,,0.31703052330002585,,,
Xpc,,0.3163140145403259,,,
Zfp248,,0.3161328398816005,,,
Stat1,,0.3686598500535918,,,
Zfp422,,0.3744441113556832,,,
Slamf1,,0.3769894456107342,,,
Sp110,,0.3437200872784865,,,
Eomes,,0.3401901730156227,,,
Ctsl,,0.33812916405754023,,,
Cbx7,,0.3375277077455777,,,
Cd86,,0.3585492283034254,,,
Rnf19a,,0.34880944674794484,,,
Fos,,0.35052339369469354,,,
Ggt1,,0.3498838769139614,,,
Aatf,,0.2707595681388322,,,
Klrc2,,0.2671942366354977,,,
Btg1,,0.2673357357618805,,,
Zdhhc9,,0.26865565662709423,,,
Nfatc3,,0.26902383520637624,,,
Il1r2,,0.25903236398695,,,
Snai3,,0.2622067505376001,,,
Ercc2,,0.2996788334045061,,,
Crtc1,,0.30004761122288426,,,
Nr2c1,,0.2959758960109157,,,
Gtf2ird1,,0.2949233668209078,,,
Zfp606,,0.2941676412801659,,,
Mef2c,,0.2862541001939902,,,
Med12,,0.2899960060437695,,,
Stat6,,0.27702099499438504,,,
