gene_name,P5-P2_likelihood,P2-P4_likelihood,P6-P2_likelihood,P2-P1_likelihood,P2-P7_likelihood
Nap1l1,0.7322246894433985,1.1605047250313685,1.0735892611726596,1.9498176010178712,1.451154661722004
Ccr7,0.10277017095222847,0.3556450779729744,,0.6256493287048188,0.3436071794000212
Baz1b,,0.29292725325491764,0.3070136175574302,0.5653747899455892,0.469038511553967
Smarcc1,,0.5023201457126619,0.5263920966339629,0.7216268090437181,0.5584535274682688
Nsd2,0.35438765876405104,0.548293635589904,0.5630671868416419,0.7822476763293661,0.5487473161529229
Supt16,0.3104545085230842,0.5259953621558724,0.3968706578985355,0.6456676761201172,0.5577517784398263
Dnmt1,0.29380477841200225,0.3864018525750807,0.3649821046841991,0.7214907434665103,0.6086875430842148
Tcf7,0.3083588948205481,0.3941683359355062,0.3306690933024685,0.6903635159096441,0.6555540481635596
Batf3,0.3736910570382235,0.3545035270893139,0.4005613209535332,0.4709740368679834,0.3753666121607326
Uhrf1,0.3311721026146742,0.4246154532616305,0.41306340301902017,0.5540648303387892,0.4549668333590906
Il7r,0.19858889131360996,0.4305698454224139,0.1658820237735911,0.5430326806181794,0.4110063726256857
Aff3,0.3015640370024734,0.38183788533339097,0.2774486510866365,0.6246595044517452,0.5323984545140751
Prdm1,0.2568132234951601,0.3668920708242,0.26883387816207177,0.5302711988173638,0.524459743388157
Ifngr1,,0.35902561954145595,0.3166465317088885,0.4246883648062605,
Aurkb,0.2659302347315694,,0.2892291869909576,0.26458921667966223,0.2441985217982011
Il18r1,0.20346429134451804,,0.11948038026290547,0.24166878837616196,0.26724540584180656
Slamf6,0.2742503657256179,,,0.15886616647175245,0.2640341822887348
Phf19,,0.25463928580194256,0.2955217315687353,0.27036881978878685,0.259106855555231
Ube2b,,,0.2654838102944587,0.26415428973723265,0.27166310434494195
Entpd1,0.1536687671597868,0.2607691306571309,0.2665584327917637,,
Runx3,0.2140138247651397,0.2653471682256615,0.27542781204717304,,0.2752260209660295
Nt5e,0.2049407135259512,0.2293156346080571,0.19798586349684227,0.25911242555090597,0.19320963949760836
Zeb2,0.1930574893467633,0.17429721250873767,0.21349565163537607,0.11704612608578008,0.2191229144501206
Id2,0.3454631633016989,0.3278344316261333,0.3564358154465573,0.29028938837715196,
Il6ra,0.17787792189636656,0.2975071918235627,0.06758135956642469,0.4392879415217855,0.2460376248172446
Tnfsf8,0.19606130204812086,0.2577406879873533,0.19553146928363396,0.4133440848827998,0.2593102101696101
Sell,0.3056521732639756,0.33182993914213604,0.31755605316172303,0.3829200990927484,0.18381512012447151
Klrg1,0.3980561719566879,0.3859503321052928,0.24377720581872345,0.3670240441684861,0.3595936896662487
Il2ra,0.2866493118037121,0.2846632821136497,0.2658947035965229,0.344307044126634,0.3643815900267436
Irf4,0.3394608476703589,0.28366161095499715,0.2831420940465669,0.4590334425146127,0.331773370188716
Batf,,,,0.4614315556516978,
Bcl6,,,,,
Il18rap,,,,,
Cx3cr1,,,0.2360917876555741,,
Il10ra,,,0.26927661003454545,,
Cxcr5,,,,0.2429158687811333,0.2939181730723023
Cd74,0.1193606793608898,0.14304267568526258,0.015760310909571012,0.051673370073930164,0.1415204428619665
Tox,,,,,0.3527823261144721
Il23r,0.0932335153165438,,,,0.23883409496896366
Id3,,,,,0.2731339218082754
Ncor1,,,,,0.23064579303058716
