gene_name,P7-P8_likelihood,P2-P4_likelihood,P5-P2_likelihood,P6-P2_likelihood,act_likelihood,P9-P4_likelihood,P9-P6_likelihood,P3-P6_likelihood,P5-P6_likelihood,P6-P8_likelihood,P9-P7_likelihood,P9-P10_likelihood,P9-P8_likelihood,P3-P5_likelihood,P5-P4_likelihood,P5-P8_likelihood,P5-P7_likelihood,P6-P7_likelihood,P2-P1_likelihood,P2-P7_likelihood
Nap1l1,0.342199831350009,1.1605047250313685,0.7322246894433985,1.0735892611726596,0.854668504580229,0.6520483351474361,0.4331952282714514,0.40550037539500977,,0.3928464675606387,0.09478668350778456,,,,,,,0.3979753844632517,1.9498176010178712,1.451154661722004
Atad2,2.443265221862481,0.3596241712198548,0.42428964406036784,0.33929215040204475,0.4914103229908757,0.488140849130189,0.3573014240537216,,0.5463930275236815,0.3950512098106311,,,,0.3291637033140554,0.3357346030805401,0.33923118646475403,0.5116496965143618,0.4183284533000436,0.4030301124789795,0.4148545721223437
Timeless,2.470306151064655,0.440255826787605,0.26983091099729545,0.41347459409681053,0.465764856185789,0.5760045347550404,0.45033687451625376,0.3710919208811706,0.3700845023307297,0.4077354051304409,0.3306853777204388,,0.11043715004342268,0.3490358902593869,,,0.29523980955508433,0.43305698361719547,0.5889710102853216,0.4661492456646026
H2-Eb1,,0.4336872291707243,0.2106622679150271,0.16100771782670534,0.002211644907318109,0.006758118106521348,0.5327083800891005,0.2572449684867539,,,0.5059741999953876,,0.5380955747097704,0.1738773455691056,0.3259205735432567,,,,0.1274256638569445,0.30838842711797404
H2-Ab1,,0.7749050287840071,0.23966615311605494,0.1972822950962984,3.256406111516995e-13,0.0009630869251131931,0.2541080379256654,0.4195240422956981,,,0.3472701645163687,,0.3631542135899147,0.46019437145725506,0.6030269473645616,,,,0.2804414183135788,0.2712190477630649
Cd74,,0.14304267568526258,0.1193606793608898,0.015760310909571012,8.808926093269855e-07,0.05689224607854839,0.2876893295599905,0.14200359889528724,0.19641983812213504,0.19881029744316986,0.38298425508790784,0.4973949977302407,0.3623294746503561,0.4929856112849782,0.26535176896246143,,,0.2281533951395811,0.051673370073930164,0.1415204428619665
Tox,,,,,0.17347730652896876,,,0.16931341097433178,0.26323550675278284,0.2561879220072997,0.1855909821072462,0.2513760215561885,0.19380992280650688,0.1843487558160321,0.3186080124498261,0.2954622513051177,0.40827091448145897,0.4627973417721118,,0.3527823261144721
Klra1,,0.06456705270649521,0.3204262388687569,,0.2573937699744258,0.35680491808570797,0.3874367493864137,0.2544085107655483,0.3798973750494141,0.3087902654141205,0.4868365620429557,0.28726122258654324,0.4309026920970273,0.4335565191863653,0.2699892253398872,0.5407844608392832,0.3228632510554354,0.3797306406500033,0.11425409677580743,
Fosb,,,0.23196949419605745,,0.2748291563962639,0.2676193309966154,0.2717063111556413,0.28594574851869003,0.2853875852601008,,0.2965036343028548,0.2896796027141841,0.28567156492347906,0.313219208493849,0.3194524331491226,0.3219991714997189,0.30791234155394465,0.35102404784241503,,
Slamf6,0.26535835921756884,,0.2742503657256179,,0.22293938469837704,0.21225665568084706,0.22079518010125165,0.2111042192155368,0.244285345484906,,0.21982870436098376,0.2657195510959031,0.2441606638515336,0.2204137881109127,0.2750673605402396,0.26564257289430043,0.37116289476782893,0.34977920930407075,0.15886616647175245,0.2640341822887348
Zeb2,,0.17429721250873767,0.1930574893467633,0.21349565163537607,0.3935192797732992,0.2388573155059492,0.2530968031858003,0.2634386967840038,0.2540606378520454,0.22406118989282212,0.31654244187648545,0.42970654339817066,0.2395689577126454,0.2872461521793596,0.2372526721909583,0.2469678680054644,0.22302939490273066,0.20490853453678165,0.11704612608578008,0.2191229144501206
Klra3,,0.2470203771204695,0.2206500210953845,0.25355257829144245,0.21378276200271806,0.17428153471621205,0.23441582617866616,0.25829816185002663,0.27332713860943003,0.2954679647836179,0.2055442536211478,0.19994739569278824,0.21482239078248416,0.4142025072608029,0.29252395875657355,0.4111992160084729,0.368971644248831,0.2854934205260796,0.2230042442222984,
Cxcr6,0.26020050374609843,,,0.32989247367579866,0.34630456102766943,0.33522920182769506,0.36830773580039017,0.2598996293893535,0.2406129457474914,0.31398861278377704,0.3242309641660944,0.33574129005572106,,,,0.22394224076975405,0.2322220943606361,0.330973452157314,,
Il18r1,0.3213366073990837,,0.20346429134451804,0.11948038026290547,0.4716104540051971,0.3231285237194881,0.4170657014580832,0.19746520203922066,0.2141337923763843,0.20943744493776373,0.2269577968803854,0.20550208265312706,,0.19831728134310936,,,0.4211761216034848,0.2533775374016249,0.24166878837616196,0.26724540584180656
Cd6,0.34693214401218136,,,0.20476626615733795,0.2600335531334389,0.2554484551685018,0.2475561882696177,0.20020355886017366,0.2283609135555658,0.20019837466664828,,,,,,,0.22252082223102596,0.21647377108568006,0.227472467066666,0.21438067309631254
Itgb1,0.2663225543029951,0.2866399257442309,,0.2608842270906995,0.3668794267026271,0.35587403920981225,0.3653781718726132,0.2193629915744156,0.20957448567015724,0.17983334284013314,0.33571131571593205,,0.3409697729555651,0.19527358140850445,,,0.548141491324514,0.4335661605435063,0.24081889625298136,0.3948426997441599
Itga1,,0.2432210349282535,0.2263782507928724,0.2367921916164865,0.3013783988853348,0.2807187916390669,0.33036584555313137,0.27856612255590035,0.2415359583281101,0.24635372053759566,0.26694810908761163,,,0.23736719693976485,,0.228049328730066,0.2125057694671147,0.2173807093308126,0.18064610989634028,0.16996655315157708
Ikzf2,,0.20611081104784248,0.17268255787183814,0.15311260923329398,0.17344669334135096,0.15646240303332076,0.19560632322492555,0.21534560641178674,,,0.2753655528865591,0.11889948099192672,0.19966327991737465,0.2835598468179159,0.3065424364870785,0.2833804591476396,0.3200494797478853,0.3026881931591531,0.254560721974159,0.29790674636941183
Il2ra,,0.2846632821136497,0.2866493118037121,0.2658947035965229,0.23786504530004945,0.3410945923361983,0.31662557538625186,0.2813258529061251,0.26328859019389456,,0.186906873621499,,0.17026417411892147,0.2308830809424542,0.2632800911922266,0.26119803961887,0.2950262567428819,0.3278900860108295,0.344307044126634,0.3643815900267436
Tnfsf8,,0.2577406879873533,0.19606130204812086,0.19553146928363396,0.20558811699036486,0.18925321915311105,0.17101265291276108,0.12753705572939825,0.14648179425044594,0.15566326266193062,0.3233064168252329,0.1430964593697134,0.19022452695939435,0.1673466054788802,,0.18403291137315575,0.3116338137427206,0.4575418749130501,0.4133440848827998,0.2593102101696101
Nrp1,,0.2032619655611169,0.18296492233737635,0.16099749040962458,0.2248648558603976,0.2896834673387781,0.2850496821078461,0.22255724162019827,0.24119851990786426,,0.3009566765515048,0.2748976093739617,0.2412299980935282,,,,0.3654968250576747,0.2757034185722642,0.2259805054511871,0.2919916339904756
Pou6f1,,0.27976271428943456,0.2626623656673663,0.2149751595113944,0.2697577361716555,0.2732412298707331,0.2683125066280473,,,,,0.23452500905591475,,,,,0.36638391759870703,0.3731218454361663,0.3563180970644369,0.3795990310319647
Satb1,,,0.18277620640591244,0.3050039403445429,0.2459928116764256,0.2504734995705714,0.28315345800443825,,,,0.20227767525970405,0.1966455131516978,0.20055493409218375,0.2065741317956235,,0.10227423854510022,0.2649099885244328,0.2902750173922776,0.6802145688557271,0.3511811571658257
Zfp36l1,,,,,,0.3036670577672214,0.3622596828838657,0.18603484851942004,,,0.2530406983450372,0.24802616936372354,0.24463252056147436,0.2215413735384744,,,0.4491209400703658,,0.3681213106795038,0.442044718718649
