gene_name,P7-P8_likelihood,P2-P1_likelihood,P2-P7_likelihood,P5-P2_likelihood,P2-P4_likelihood,P6-P2_likelihood,P5-P7_likelihood,P6-P7_likelihood,P5-P6_likelihood,P6-P8_likelihood,P3-P6_likelihood,P5-P8_likelihood,P3-P5_likelihood,P5-P4_likelihood,P9-P7_likelihood,P9-P10_likelihood,P9-P8_likelihood,act_likelihood,P9-P4_likelihood,P9-P6_likelihood
Nap1l1,0.342199831350009,1.9498176010178712,1.451154661722004,0.7322246894433985,1.1605047250313685,1.0735892611726596,,0.3979753844632517,,0.3928464675606387,0.40550037539500977,,,,0.09478668350778456,,,0.854668504580229,0.6520483351474361,0.4331952282714514
Uhrf1,1.1734640673341483,0.5540648303387892,0.4549668333590906,0.3311721026146742,0.4246154532616305,0.41306340301902017,0.2965740319929677,0.47846015523205804,0.3997661966537684,0.4911910249239821,,,0.5535381225144772,0.3989969667848357,0.4579384969517452,0.03207180610692953,0.26322627572394713,0.49226900085772096,0.7890151477596145,0.5886166054810631
Aurkb,1.4314909616629752,0.26458921667966223,0.2441985217982011,0.2659302347315694,,0.2892291869909576,0.2908044412694314,,0.29853420263546393,,0.5096629803539424,0.28715611933561874,,,0.3955234442820062,,,0.3996192414482159,0.4224132844905952,
Phf19,0.8745197169320157,0.27036881978878685,0.259106855555231,,0.25463928580194256,0.2955217315687353,,,,,,,,,,,,0.25355427796753643,0.3131176688079535,0.2338216667593419
Nsd2,0.5689618863210708,0.7822476763293661,0.5487473161529229,0.35438765876405104,0.548293635589904,0.5630671868416419,0.4188173985091601,0.4233200100937464,0.4432915237470102,0.39833702810495053,0.3581182428187803,,0.3060701924570653,0.2747706481448499,,,,0.5271694557942354,0.5090859097837337,0.3070630312688172
Dnmt1,0.8764058459438724,0.7214907434665103,0.6086875430842148,0.29380477841200225,0.3864018525750807,0.3649821046841991,0.5570067208479106,0.36497046786587456,0.34425039073011504,0.3195193055947088,,,,,0.09297602899925632,,,0.4306355132310525,0.5156963098889615,0.39848374905190337
Baz1b,0.3378967309357749,0.5653747899455892,0.469038511553967,,0.29292725325491764,0.3070136175574302,0.3211270550998354,0.3416667828551297,0.28145868009386377,0.3253604717055321,,,,,,,,0.3789557019278661,0.299402612544145,0.2713354680126915
Supt16,0.44750697176630383,0.6456676761201172,0.5577517784398263,0.3104545085230842,0.5259953621558724,0.3968706578985355,0.3118783859907007,0.3309377971280352,0.2958720786366087,0.3315266553099989,,,,,,,,0.43606648718229934,0.4323119513930656,0.37828214791846615
Ccr7,0.30102607876762705,0.6256493287048188,0.3436071794000212,0.10277017095222847,0.3556450779729744,,0.8577684136800017,0.4705561902083282,0.0005777182892647032,,0.2244965431471522,0.3377946024488096,0.2200376679834722,0.2081002323719664,0.2875030843645629,,,0.5377626975293021,,
Aff3,,0.6246595044517452,0.5323984545140751,0.3015640370024734,0.38183788533339097,0.2774486510866365,0.7896884009132298,0.6688956975222845,0.15044090369077845,,0.15769511051296314,0.17022318062375133,0.14835457179120054,0.150067584993347,0.25488808337593083,0.20969737291192764,,0.2580520359202261,0.2240874159141576,0.2375673595582788
Tcf7,0.2703516232645213,0.6903635159096441,0.6555540481635596,0.3083588948205481,0.3941683359355062,0.3306690933024685,0.6613515080149246,0.6784935785481769,0.17725670332611984,0.1799396754177959,0.2600134685790625,0.2725897149374236,0.2479298391245643,0.21847585059056507,0.2815636302496393,0.2973797132798426,0.2888398649755196,0.4201382571375093,0.29392208977677725,0.3167569645607577
