gene_name,P5-P7_likelihood,P5-P2_likelihood,P5-P6_likelihood,P3-P5_likelihood,P5-P4_likelihood,P5-P8_likelihood
Ccr7,0.8577684136800017,0.10277017095222847,0.0005777182892647032,0.2200376679834722,0.2081002323719664,0.3377946024488096
Aff3,0.7896884009132298,0.3015640370024734,0.15044090369077845,0.14835457179120054,0.150067584993347,0.17022318062375133
Tcf7,0.6613515080149246,0.3083588948205481,0.17725670332611984,0.2479298391245643,0.21847585059056507,0.2725897149374236
Nap1l1,,0.7322246894433985,,,,
H2-Ab1,,0.23966615311605494,,0.46019437145725506,0.6030269473645616,
Pirb,,0.22462845147816005,,,0.6662535796520673,
Zbtb10,,0.2180939479720141,,,0.543771653755023,
Mcm3,,,,0.3722546532123241,,
Rfc1,,,,0.4122295406597115,,
Ighd,,,,0.3978370496735704,,
Itga2,,,,0.2602383213758712,,
Atf7ip,,,,0.2696903376897453,,
Ebf1,,,,0.2663965185767652,,
Il18rap,,,,0.18626532966481915,,
Ncr1,,,,0.1898649914472122,,
Myc,,,,0.22786213566363406,,
Ly6e,,,,0.22845343346726374,,
Trp73,,,,0.2054896309136604,,
Itga4,,,,0.21427278471619965,,
Dek,,,,0.2117329549678212,,
Setbp1,,,,,,0.2108631086360158
Brd8,,,,,,0.2605923448840197
Eif2ak2,,,,,,0.2399861255596525
H2-Eb1,,0.2106622679150271,,0.1738773455691056,0.3259205735432567,
Atf3,,0.3170855255127564,,,0.3495938923242439,
Cd300lf,,0.3207580139003053,,,0.16348079139766286,
Btg2,,0.2756710285375408,,,0.18772160215315287,
Mef2c,,0.12959624924534827,,,0.2861045775489767,
Itgax,,0.2609280487659017,,,0.25026401084261,
Ly86,,0.19588531643734525,,,0.2416625783799615,
Plaur,,0.1791536954445352,,,0.1969173912091464,
Klra9,,,,0.047859544244745415,,
C5ar1,,1.3638753347058447e-15,,,,
Hdac9,,0.02211860787754273,,,,
Pbx1,,0.014006452568059477,,,,
Sirpa,,0.08210194815816052,,,0.06620474374959212,
Ms4a1,,0.1147711165499819,,,,
Cbfa2t3,,0.10633619381487112,,,,
