gene_name,P5-P7_likelihood,P5-P2_likelihood,P5-P6_likelihood,P5-P8_likelihood,P3-P5_likelihood,P5-P4_likelihood
Batf3,,0.3736910570382235,,,,
Nap1l1,,0.7322246894433985,,,,
Ccr7,0.8577684136800017,0.10277017095222847,0.0005777182892647032,0.3377946024488096,0.2200376679834722,0.2081002323719664
Aff3,0.7896884009132298,0.3015640370024734,0.15044090369077845,0.17022318062375133,0.14835457179120054,0.150067584993347
Tcf7,0.6613515080149246,0.3083588948205481,0.17725670332611984,0.2725897149374236,0.2479298391245643,0.21847585059056507
Baz1b,0.3211270550998354,,0.28145868009386377,,,
Ube2b,0.2289523473038141,,0.2283850275851497,,,
Cx3cr1,,,0.18657813924585773,,0.14030722262775613,
Il10ra,,,0.2565731830218694,,,
Entpd1,0.1749771691627661,0.1536687671597868,,,0.2649055330894714,
Il18rap,,,,,0.18626532966481915,
Cxcr5,0.4191373447047545,,,,0.16392296179044272,
Id3,0.241039153280635,,,,,
Il6ra,0.2304393494800091,0.17787792189636656,,,,
Sell,0.4078257486331699,0.3056521732639756,,,0.09025426196813716,0.1959329347597502
Nt5e,0.2588496951291145,0.2049407135259512,,,0.17598190949049514,0.1977731822804365
Prdm1,0.33969670505081034,0.2568132234951601,,,0.2252730623963867,0.2122831609406476
Aurkb,0.2908044412694314,0.2659302347315694,0.29853420263546393,0.28715611933561874,,
Il23r,0.2691420253160364,0.0932335153165438,0.07500605777195304,0.22033773647236649,0.1417114976877093,
Il7r,0.2721634750412731,0.19858889131360996,0.21549285684207564,0.25584521758674444,0.1357891552744974,
Tnfsf8,0.3116338137427206,0.19606130204812086,0.14648179425044594,0.18403291137315575,0.1673466054788802,
Id2,0.3326736806840207,0.3454631633016989,0.29314599903920696,,0.28887696624695264,
Il18r1,0.4211761216034848,0.20346429134451804,0.2141337923763843,,0.19831728134310936,
Dnmt1,0.5570067208479106,0.29380477841200225,0.34425039073011504,,,
Supt16,0.3118783859907007,0.3104545085230842,0.2958720786366087,,,
Cd74,,0.1193606793608898,0.19641983812213504,,0.4929856112849782,0.26535176896246143
Nsd2,0.4188173985091601,0.35438765876405104,0.4432915237470102,,0.3060701924570653,0.2747706481448499
Uhrf1,0.2965740319929677,0.3311721026146742,0.3997661966537684,,0.5535381225144772,0.3989969667848357
Ifngr1,0.2190609407653562,,0.10328147356114674,0.3641475765864156,0.2666574876036694,0.3191174490809707
Batf,0.3488562576361567,,0.187042884683147,0.27576236695121986,0.2129583134071603,0.2367357483349405
Tox,0.40827091448145897,,0.26323550675278284,0.2954622513051177,0.1843487558160321,0.3186080124498261
Klrg1,0.40772326704353207,0.3980561719566879,0.3068161448231865,0.4066197939813277,0.3329389903510929,0.34670282940304803
Runx3,0.2355958798075445,0.2140138247651397,0.22339439455193635,0.23313617409427784,0.26326526528375954,0.263095920842582
Zeb2,0.22302939490273066,0.1930574893467633,0.2540606378520454,0.2469678680054644,0.2872461521793596,0.2372526721909583
Irf4,0.2388168887801607,0.3394608476703589,0.2967935498635106,0.30622679550078696,0.2519380227668685,0.26030929676626435
Il2ra,0.2950262567428819,0.2866493118037121,0.26328859019389456,0.26119803961887,0.2308830809424542,0.2632800911922266
Slamf6,0.37116289476782893,0.2742503657256179,0.244285345484906,0.26564257289430043,0.2204137881109127,0.2750673605402396
