gene_name,P3-P6_likelihood,P3-P5_likelihood,act_likelihood,P2-P7_likelihood,P9-P7_likelihood,P7-P8_likelihood,P5-P7_likelihood,P6-P7_likelihood,P5-P8_likelihood,P6-P8_likelihood,P9-P8_likelihood,P9-P4_likelihood,P5-P2_likelihood,P5-P6_likelihood,P9-P6_likelihood,P5-P4_likelihood,P2-P1_likelihood,P9-P10_likelihood,P2-P4_likelihood,P6-P2_likelihood
Il18rap,0.3438467991955299,0.4601223600827321,0.4163257429860111,,,0.3746845625081596,,,0.39406258565970864,0.5958762065488854,0.3626376064791142,,,,,,,,,
Irf4,,,,0.25505691261330865,0.2824089258451059,,0.2977544581492725,0.28352270853728306,,0.25132014096878424,,0.20186557786677867,,,,,,,,
Baz1b,,,,0.5152714566436077,0.2625153570333988,0.31807764043580344,,0.33736374413055104,,0.3322004265656855,0.2774686632964413,,,,0.2503409820650795,,,,,
Il7r,,,0.16921532673635314,0.3940008561635224,0.35578192451133633,0.2634328189293575,0.3086294079350483,0.32798806763352994,0.3262232491863544,0.2866283450351529,0.2628812671408669,,0.2162190613327209,,,,,,,
Id2,0.3521888619313641,0.36669852456044016,0.3799538224787025,0.26900080232407503,,0.5201090448268124,,0.3692882752373415,0.3571038317978989,0.2716080622570382,,,,,,,,,0.3975592161315624,
Prdm1,0.37143299223012943,0.3147863430766683,0.34720732850963576,0.3938322457324529,0.3331864451831775,0.3079775487164809,0.4718707030551237,0.43002076008771256,,,,,,,,,,,,
Il2ra,0.4298598540867394,0.3326631479852451,0.3372345447268877,0.3392830665111399,0.3243110515026616,0.1794279526831303,0.3794666156940358,0.346906984767408,0.27789668428045394,0.2782994413751205,,,,0.2558096155665248,,,,,0.2513139867021475,
Tox,0.3365409133436453,0.2242256936570083,0.3451255875384145,0.3559143489187695,0.2517674983313694,0.2386149813277195,0.3897137671557199,0.4811714147762117,0.2332376360944953,0.33965760615091634,0.21969281429710208,,,,,,,,,
Entpd1,0.292377012423765,0.326965579975097,0.31152222251761275,0.2565441338587239,0.33372059850039365,0.3268931269668172,0.2350803562360976,0.1707862063292602,0.3611526148927013,0.3249258015474746,,0.4543880511851034,,,,,,,,
Il10ra,,0.29843023352184866,0.3564202637926361,0.30364502927501225,0.29778953271808384,0.4080904487497661,,,0.3263663914853458,0.32026811776340713,,,,,,,,,,
Klrg1,0.2010845004741852,,0.16798858102390066,,,0.12640921908153094,0.23733542984092165,0.22389462555303194,,,,0.1912476488792031,0.2914901631616643,0.21126433585325288,0.266687144179251,,,,,0.2702552751234817
Bcl6,,,0.29467089895495724,,,0.3120663445628306,0.3490090414458256,0.3545503216810479,,,,,,,,,,,,
Cxcr5,0.28362931425528604,0.3329367057986308,0.2921563589850736,,,0.2908616093877952,0.34670983499434554,0.285588611248885,,0.17338611743553958,,,,,0.22095120625705508,,,,,
Smarcc1,,,,,,,,,,,,,,,,,,,,0.4059572687436617
Il18r1,,,,0.20340606609262826,0.286481767645463,0.2427011749633904,,,0.30222646749731785,,,,,,,,,,,
Batf3,,,8.687293987036417e-09,,0.17622419226580102,,0.1971322062100284,,,,,,,,,,,,,
Runx3,,0.29561367849638226,,,0.2242109243735359,0.2268155836269453,,,,,,,,,,,,,,
Id3,,0.3743584416179048,0.2799437491905388,,,,,,0.16904570357638496,0.10885976409983257,,,,0.17891348043725758,0.17686215536762984,0.2529556644791122,,,,
Batf,0.2466202103873681,0.2668429460471917,0.2846110948228086,,,0.3477196324294331,,,0.2490519414077811,,,,,0.2155784893589525,,,,,,0.2019474177323392
Cx3cr1,0.2524651518012222,0.26546279883618634,0.2319001116928922,,,0.23849103112959685,,,0.25730589864818715,,0.2359945559624327,,,,,,,,,
Ccr7,0.3977822446016924,0.20719534296361564,0.00012606622742586426,0.16861391854207172,,0.1925244651564504,,,0.2473266844785739,,,,,,,0.3013945203634178,,,0.5899466854432381,
Il23r,0.30668428382136426,0.2981905518628232,0.2263762932653972,0.2521691532732985,0.2615858228436881,0.24886033447919345,0.290581174081669,0.2758201460789061,,,,,0.22505546016156824,,,,,,0.27437113771502475,0.29600252267825033
Nt5e,,0.21779942134432126,0.1948994597620128,0.2784748546439063,0.2793953196053638,0.2801333077207829,0.26647673220710705,0.2744067292051728,,,,,0.4415356639538212,,,,,,0.6181960362824674,0.19154240873896425
