gene_name,P5-P2_likelihood,P5-P6_likelihood,P3-P5_likelihood,P5-P4_likelihood,P5-P7_likelihood,P5-P8_likelihood
Klf3,0.2781606259407192,0.20747245604651066,0.2865490001331674,0.2246120575969396,0.2636063242950987,0.23034171738231696
Tcf7,0.3083588948205481,0.17725670332611984,0.2479298391245643,0.21847585059056507,0.6613515080149246,0.2725897149374236
Il2ra,0.2866493118037121,0.26328859019389456,0.2308830809424542,0.2632800911922266,0.2950262567428819,0.26119803961887
Fcgr2b,0.2371015149384685,0.23664141728611635,0.16934270187370448,0.2165356594749208,0.229437400908068,0.21178924822408346
Klra1,0.3204262388687569,0.3798973750494141,0.4335565191863653,0.2699892253398872,0.3228632510554354,0.5407844608392832
Slamf6,0.2742503657256179,0.244285345484906,0.2204137881109127,0.2750673605402396,0.37116289476782893,0.26564257289430043
Kcnip3,0.02347420592015772,0.18065732275793592,0.2525625426666764,0.2169556703007596,0.12456262297905413,0.3399782815478394
Zeb2,0.1930574893467633,0.2540606378520454,0.2872461521793596,0.2372526721909583,0.22302939490273066,0.2469678680054644
Crtam,0.18844542943705,0.20969321232636745,0.20264928525114756,0.16543093761855604,0.3695762776452704,0.1953615435671903
Runx3,0.2140138247651397,0.22339439455193635,0.26326526528375954,0.263095920842582,0.2355958798075445,0.23313617409427784
Btg1,0.2579080412302622,0.2318937858008929,0.2282790808194617,0.22656069413980945,0.456113506310303,0.22171728773144792
Fasl,0.2744137533456733,0.32861038857646857,0.33843739640099785,0.2671498155909737,0.36045140195644615,0.3143022414820135
Atad2,0.42428964406036784,0.5463930275236815,0.3291637033140554,0.3357346030805401,0.5116496965143618,0.33923118646475403
Klra6,0.2377175110050136,0.30417552885139304,7.728537270299623e-06,0.4400333631508716,0.23968297987476425,0.3306694530964655
Fosb,0.23196949419605745,0.2853875852601008,0.313219208493849,0.3194524331491226,0.30791234155394465,0.3219991714997189
Sema7a,0.2660526517872042,0.2849803465795673,0.2466205021853479,0.2845358139157583,0.2670334421093398,0.2630109059971106
Hells,0.4225969429608829,0.31539687419251405,0.4810123944723934,0.2613026557138285,0.4774493930812047,0.15625201475227546
Ccr7,0.10277017095222847,0.0005777182892647032,0.2200376679834722,0.2081002323719664,0.8577684136800017,0.3377946024488096
Klrg1,0.3980561719566879,0.3068161448231865,0.3329389903510929,0.34670282940304803,0.40772326704353207,0.4066197939813277
Aff3,0.3015640370024734,0.15044090369077845,0.14835457179120054,0.150067584993347,0.7896884009132298,0.17022318062375133
Itgal,0.3273766672597504,0.22514309067366306,0.21975652131269185,0.2644617434165933,0.2744120467605033,0.2534013927468007
Klrd1,0.4218086608247392,0.25866825877418104,0.3152410128261049,0.3021368157155186,0.37305962531432574,0.3097845762584239
Kdm7a,0.2292850268879135,0.24414581394901616,0.28454419776396017,0.19766301544621692,0.4128074685222752,0.1481784842949088
Cd226,0.31156489598202985,0.2902681600780307,0.3553687678939865,0.3031288447111371,0.4927332549864264,0.2458317589172672
Irf4,0.3394608476703589,0.2967935498635106,0.2519380227668685,0.26030929676626435,0.2388168887801607,0.30622679550078696
Klra3,0.2206500210953845,0.27332713860943003,0.4142025072608029,0.29252395875657355,0.368971644248831,0.4111992160084729
Tnf,0.18668511533886548,0.1967290535182197,0.17755132972470197,0.24098498481066494,0.22993262311322754,0.3492566766938915
