gene_name,P2-P1_likelihood,P2-P7_likelihood,P2-P4_likelihood,P5-P2_likelihood,P6-P2_likelihood
Nap1l1,1.9498176010178712,1.451154661722004,1.1605047250313685,0.7322246894433985,1.0735892611726596
Hmgb2,1.0148806373630692,0.8433830449945079,0.5709025626790976,,
Mcm6,1.0512469883396398,0.9345203217132281,0.4375186214662479,,0.4929780214637644
Mcm7,0.9246048299843491,0.5632920396359521,0.4210815882187244,,0.4544375193603215
Smarcc1,0.7216268090437181,0.5584535274682688,0.5023201457126619,,0.5263920966339629
Rbbp7,0.8178823791223774,0.5322362802729058,0.5727267414933994,,0.4529985493845402
Hells,0.7196801643936106,0.6125666645857794,0.4768060875781046,0.4225969429608829,0.5227660976128509
Nsd2,0.7822476763293661,0.5487473161529229,0.548293635589904,0.35438765876405104,0.5630671868416419
Mcm4,0.9811960462990764,0.6675510685238085,0.466241197876701,0.3423882393183636,0.5432854437072093
Snrpd1,0.8548196283937224,0.7153468114281949,0.5929409820346163,0.3114963385805655,0.4164852347354738
Dek,0.9972558672882756,0.7210710391013964,,,
Mcm5,0.8735176021511336,0.2930849641396637,,,0.45391858034085497
Cbx5,0.7711353203556618,0.6928657966766856,,0.1954630510715095,0.4721172237232266
Ezh2,0.8797941868557376,0.7089646262255975,,0.3271180214809257,0.4460976381773241
Hnrnpd,0.9110351277899068,0.5815095119571267,,,0.3895541661985992
Polr2f,0.8784796183876216,0.7182834866267126,,,0.5439292072886993
Ssrp1,0.7330938408200669,0.7541511929272358,,,0.4236788845516937
Phf1,,0.2690424940811545,0.4877552229520824,0.4500279912679113,0.776100055771925
Gtf2e2,0.6114357827535488,,,,
Rora,0.6293724623778395,,,,
Actl6a,0.6338709169879796,,,,
Atf6,0.673662510270589,,,,
Cbx1,0.7012304394492195,,,,
Mcm3,0.8911418749791791,,,,
Mcm2,1.01677749932918,,,,
Fasl,0.2730869731505796,,,0.2744137533456733,0.4117568493939728
Sla2,,,0.2659133680709663,,0.2343231477117433
Maf,,,0.2414626444260383,,0.20975092605569004
Sp110,,,0.3553968276965904,,0.2510784199080023
Klra4,,,0.31686539024341,,0.2271161693141402
Entpd1,,,0.2607691306571309,0.1536687671597868,0.2665584327917637
Slc3a2,,,0.2264347855465727,0.2247420420490095,0.21361899823637948
Il17ra,,,0.2552712050124469,0.1494719658967415,0.1946519302095573
Nfkb2,,,0.2390636236067364,0.17519593167264927,0.18020486636222485
Fbxo17,,,,0.2850489206171961,0.2338739250842785
Tet1,,,,0.2357931864959953,0.20190521481861176
Ighm,,,,0.2477806631633907,0.2198941801970787
Ar,,,,0.23518556729742734,0.21581868790382155
Ms4a1,,,,0.1147711165499819,0.23949011796040326
Cxcr6,,,,,0.32989247367579866
Ccr2,,,,,0.2952466908393734
Tshz2,,,,,0.16825870332168666
Trgv2,,,,,0.17533765883564728
Asxl1,,,,,0.2084619130875908
Arid1a,,,,,0.2215212078495688
Crebl2,,,,,0.223945740922794
Il10ra,,,,,0.26927661003454545
Cx3cr1,,,,,0.2360917876555741
Myc,,,,,0.2369207075453585
Itgb2,,,,,0.2425202195025341
Prdm5,,,,,0.2449496912663737
Tbl1x,,,,,0.2445629195933097
Klrc2,,,,,0.2517074459065209
Taf1,,,,,0.24872159456472576
Stat4,,0.17199718429781713,,,0.19547503705661465
Bclaf1,,0.2289169156895134,,,0.3752232076482512
Mtf2,,0.2609100742862224,,,0.2897488979522377
Sp140,,0.2570830393029368,,,0.2700539962377957
Nono,,0.44471940619351424,,,
Il1rl1,,0.33301070050907683,,,
Suv39h1,,0.3687310541330312,,,
Tox,,0.3527823261144721,,,
Trem1,2.8497899658682067e-05,0.1260980965803693,0.07330301295271181,0.0007948629808518621,0.00924028244871696
Il23r,,0.23883409496896366,,0.0932335153165438,
Thrap3,,0.26418538224091626,,,
Id3,,0.2731339218082754,,,
Sf1,,0.2705265638254831,,,
Tnfrsf25,,0.27174281382784704,,,
Sin3a,,0.2713093205248029,,,
Pwp1,,0.2849348537154736,,,
Tox2,,0.2973659531228357,,,
Znfx1,,0.3012260743447418,,,
Kcnip3,0.009701724897218142,0.18233615894784225,,0.02347420592015772,
Cd68,,0.1884408920585489,,,
Hdac8,,0.17448211924078513,,,
Kdm4c,,0.16438930100524365,,,
Trim25,,0.16113416716534135,,,
Kdm4a,,0.2124137589657664,,,
Cd9,,0.21660810787000667,,,
Nsd1,,0.2139296569676431,,,
Ppard,,0.21500980377444628,,,
Prkcd,,0.21468260810646225,,,
Stat3,,0.20182890992871444,,,
Cnbp,,0.20455295457242895,,,
Elk3,,0.20700926176443604,,,
Ncor1,,0.23064579303058716,,,
Cbx7,,0.2350836442129757,,,
Ly75,,0.24750693411446864,,,
Mafk,,0.2469928588726348,,,
Foxn2,,0.24292260850258154,,,
Vax2,,0.2397084392629669,,,
Polr2a,,0.2407970415716721,,,
Rnps1,,0.3879130102085032,0.3260204312975671,,
Hdac9,0.02906673321980456,0.23000828390519765,0.3170365195124075,0.02211860787754273,0.0199498457074185
Ilf3,,0.22559768801356456,0.2536808896952293,,
Setdb1,,0.2529558215269521,0.2737160608808769,,
Sp3,,0.24949928563189006,0.2524643817355177,,
Med21,,0.2437673554836245,0.2614895568145689,,
Cramp1l,,0.2787302753705308,0.2270224287068995,,
Polr2h,,0.27802260266413104,0.25733347673630114,,
L3mbtl3,,0.28764780014461216,0.2688076635756961,,
Men1,,0.2948485396308161,0.25361642534724177,,
Prdm4,,0.2980070388558968,0.2623313428733943,,
Cd84,,0.25845903768233525,0.18369090098752364,,
Stat6,,0.2166017629260097,0.18752236437789704,,
Kdm4b,,0.2061074339163976,0.20825637758329535,,
Klra1,0.11425409677580743,,0.06456705270649521,0.3204262388687569,
Zfp113,0.2228769521772123,,,0.2891612839048564,
Lair1,0.2393047985011951,,,0.21729322841060086,
Cd300c2,0.15399377685029186,0.046630306982388806,0.09476277433765457,0.21971784290456756,0.14546764168696022
Mef2c,0.16374732605454198,0.01972782961165908,0.1058719485663924,0.12959624924534827,3.0594445758361694e-07
Adam8,0.2081037409277669,,0.2319860812254401,0.2004114783431732,
Fosb,,,,0.23196949419605745,
Phf20l1,,,,0.19820276822170232,
Tnf,,,,0.18668511533886548,
Zfp36l2,,,,0.1923298191736296,
Sertad2,,,,0.16831510871677013,
Notch3,,,,0.1560814831356589,
Cd86,5.251323994845902e-09,,,0.05231595527757449,0.055157289239992566
Klra8,,,,,0.05211561868120038
C5ar1,2.1063597681677565e-05,9.921867181448442e-06,0.0007907504902791645,1.3638753347058447e-15,2.8373971913303606e-23
Ebf1,,0.0009052272589302039,,,
Cd180,0.0169097795042506,0.07766136651853994,0.02145581618401129,0.05960745963704625,0.006301955910579563
Clec12a,0.08275571058753133,0.014939927486601915,0.03514548427328293,0.049653818512361385,0.0003392489598559053
Cd74,0.051673370073930164,0.1415204428619665,0.14304267568526258,0.1193606793608898,0.015760310909571012
Aatf,,,0.22278541690651013,0.15831905510262986,
Pbx1,0.0019013108645962497,0.0342255664950193,0.13668038603293864,0.014006452568059477,0.1315864389839923
Igf2r,,,0.2899291209598332,,
Patz1,,,0.2622667809111739,,
Gtf2f2,,,0.26627900065916743,,
Ciita,,,0.11293678472044055,,
Lamp2,,,0.17120142097461608,,
Zkscan14,,,0.1563731176071032,,
Klra9,,,0.15877897791461404,,
Eomes,,,0.2138571295964881,,
Polr3b,,,0.1845524099724057,,
Kmt2d,,,0.20243266031768573,,
Tnfrsf1a,,,0.19717467715361991,,
Notch2,,,0.1929014301184876,,
Cd44,0.3070917839771492,0.23102552145802985,0.14838597179185592,,0.217811004809453
Cd6,0.227472467066666,0.21438067309631254,,,0.20476626615733795
Ube2b,0.26415428973723265,0.27166310434494195,,,0.2654838102944587
Orc1,0.5883583913901345,0.3333050431897406,,,0.3586430171840977
Mbd4,0.3913801352933166,0.3175452223212676,,,0.3075303008475814
Cnot6,0.4278025993952284,0.2992179867678311,,,0.30628837493261163
Zfpm1,0.4040691172271589,0.264970403080904,,0.2414206183947909,0.2834935789112337
Aurkb,0.26458921667966223,0.2441985217982011,,0.2659302347315694,0.2892291869909576
Taf15,0.3023097180803364,0.25634303432511285,,0.22616254351064125,0.2408140517926007
Slamf6,0.15886616647175245,0.2640341822887348,,0.2742503657256179,
Il18r1,0.24166878837616196,0.26724540584180656,,0.20346429134451804,0.11948038026290547
Brd7,0.3181807521412284,0.2961278022597716,,0.2419598495241025,
Ddx5,0.4877331727500382,0.21024103169603747,0.10415842306989688,,
Il6st,0.4679913404325691,0.22806260088028035,,,
Zfp36l1,0.3681213106795038,0.442044718718649,,,
Hnrnpul1,0.3022681633152114,0.3405065463035573,,,
Per1,0.30357834319183385,0.30428021088497065,,,
Pecam1,0.38282505470316014,0.35876488033275683,,,
Atf7ip,0.3671563525498249,0.3081076328657744,,,
Zeb1,0.35840837869639514,0.2092453589849555,,,
Lag3,0.17079646980267102,0.19709718320137445,,,
Setbp1,0.19239728487762264,0.289471538122837,,,
Atp1b3,0.2283366257104854,0.20166684662446274,,,
Prmt5,0.2220161631558846,0.2169293237089675,,,
Tlr1,0.2569570308631213,0.2194457684824616,,,
Ewsr1,0.2263093289208031,0.2416025595712613,,,
Fosl1,0.2415345759054392,0.23560060684684675,,,
Gtf3c5,0.2932812657665909,0.2534729236535114,,,
Mybl1,0.26879228323891396,0.28314446384269143,,,
Itga6,0.2449963836882073,0.2744487239410225,,,
Cxcr5,0.2429158687811333,0.2939181730723023,,,
Tshz3,0.21979389872705649,0.157619149176233,0.3302451258038002,0.1761153627705606,
Zfp207,0.26753245612088883,0.2712091366359652,0.2913512012300595,0.2048877564638864,
Csf3r,0.24533115781965606,0.22897508377739784,0.17391120839933985,0.21438858415882767,0.054046661505173454
Atad2b,0.21900128389580148,0.2823056557952477,0.2013206891972844,0.1829747346624261,
Rfc1,0.4696733681303567,0.41075579123146505,0.3483730797123438,,
Klrk1,0.2772767186785252,0.35980063879923463,0.3191369393974936,,
Gtf2h2,0.335997797151026,0.3671602783573285,0.3079712771359333,,
Pcmt1,0.3640973979069954,0.3248400150924823,0.3123962593373544,,
Gatad1,0.4440248687109247,0.3501872857404944,0.2838499166462791,,
Kdm6b,0.4655267069118537,0.3055482158820485,0.2579032897869131,,
Itga4,0.44970784952852416,0.2612127143054603,0.2662238325547206,,
Zhx2,0.3892813840338841,0.3508467231030233,0.20187151419856106,,
Jmy,0.3837271496318552,0.2785443500253267,0.17428180503899554,,
Zbtb16,0.3479546804643558,0.18665930418559035,0.2451043576550402,0.07908243875731583,0.04625920036085219
Chd3,0.3634341663997136,0.2763361476038363,0.2287468716433051,0.01567965694692715,0.12472605822279663
Aff4,0.3406229266148887,0.19205717001293385,0.1838445842831669,,
Aff1,0.3374841353735437,0.2002964432495379,0.18090515622143136,,
Dpp4,0.24992444361089244,0.28785736011460794,0.18620410804225687,,
Klf9,0.25533954741505804,0.3051621531971353,0.18920191978393466,,
Cd55,0.2852257847738693,0.2744431796350999,0.19998740235546367,,
Baz2b,0.28552816261054065,0.24362164046660345,0.21328504115958227,,
Gtf2e1,0.2871558858887994,0.2583894667068216,0.2308460386936013,,
Cd5,0.21855645845699304,0.17563907776483986,0.25454636585638724,,
Zmym2,0.2502293379695601,0.17986425715620352,0.18106310519629834,,
Hdac7,0.2436546953280829,0.21183098664151095,0.18752761641001214,,
Itga2,0.1423971349358619,0.22341135621250252,0.22613520341583884,,
Ncam1,0.1651404516388993,0.14258466209049245,0.14071737014717134,,
Gtf2i,0.30859644379219714,,,,
Trps1,0.3046359806979801,,,,
Igf1r,0.3051120046699318,,,,
Taf4b,0.3050281487283995,,,,
Suv39h2,0.3145162204838752,,,,
Klf7,0.3177487579243509,,,,
Toe1,0.3188004085794057,,,,
Fos,0.3227668039603656,,,,
Hbp1,0.3274159565534984,,,,
Zfp280b,0.3284077886890784,,,,
Hist1h2bp,0.229422279589588,,,,
Calcoco1,0.22727095148576615,,,,
Kat2b,0.22586059087059046,,,,
Smad1,0.2503510483178832,,,,
Il1r2,0.248720500289216,,,,
Tob1,0.24675539829292986,,,,
Eya2,0.2442538521066117,,,,
Rbl1,0.2354752685413369,,,,
Hmga1,0.24023676412207776,,,,
Gtf2a2,0.2415386282641644,,,,
Adgre5,0.2417843972237778,,,,
Kdm3a,0.24088596420390804,,,,
Igsf8,0.2411999902750084,,,,
Hopx,0.2942174587581392,,,,
Khdrbs1,0.2836155066906707,,,,
Zbtb1,0.2895316120159259,,,,
Nr4a3,0.28692456415470463,,,,
Zdhhc2,0.28817528844260365,,,,
Bbx,0.2739529896104132,,,,
Zfp1,0.27139702803653953,,,,
Tcf7l2,0.2695232968624724,,0.0010804157096941892,,
Mxi1,0.2593057003574271,,,,
Stat2,0.2601118459797921,,,,
Slamf7,0.2646987704996841,,,,
Foxm1,0.2637591462368324,,,,
Pdlim1,0.2630196962990887,,,,
Maff,0.2630841130679935,,,,
Tcf4,0.12509876090432492,,,,
Arid4b,0.17528548249274264,,,,
Cd160,0.1948755913634306,,,,
Jdp2,0.1925616398544402,,,,
Itgae,0.1936044818537936,,,,
Chaf1b,0.19982082054662845,,,,
Trbc1,0.2023068789622316,,,,
Rela,0.2116556678807304,,,,
Myb,0.2077481573126153,,,,
Eng,0.20554228313884693,,,,
Pdcd1,0.3765185228699367,,,,
Arid5b,0.3656798969959368,,,,
Gtf2b,0.3700316935890077,,,,
Maml3,0.355594567599257,,0.010805533248230952,,
Cbfb,0.35746707518630383,,,,
Nr1d2,0.36000442455893833,,,,
Cd69,0.3537761375781074,,,,
Gtf3c1,0.3487982193210418,,,,
Polr2b,0.3504567144503678,,,,
Psip1,0.3511103369924246,,,,
Hdac1,0.39447881354166897,,,,
Polr2i,0.3970899710797936,,,,
Stat1,0.3899360160405085,,,,
Smyd3,0.3856551941218079,,,,
Mycbp,0.3828888130949604,,,,
Smad4,0.4135181779843611,,,,
Ptprj,0.42491857795102944,,,,
Fhl2,0.4504366120632946,,,,
Baz1a,0.4574099110307675,,,,
Batf,0.4614315556516978,,,,
Tbx21,0.4862125935836793,,,,
Tnfrsf9,0.473172390906228,,,,
Bsg,0.4733837369971188,,,,
Hdac2,0.5139295030947643,,,,
Kmt5a,0.5427186287459383,,,,
Smad7,0.5321090340826853,,,,
Cd48,0.5359101466472493,,,,
Nsd3,0.43314479870568856,,0.15936928758446312,,
Ctla4,0.3982842235648549,,0.2769162086596421,,
Alcam,0.41524652873248025,,0.2783805691531383,,
Ifi204,0.3321073987827974,0.010687917229706963,0.22336246844457064,0.08073032956806499,0.0074035494977880345
Il21r,0.3140005816679766,,0.2434131034318191,,
Cd47,0.3109607457576629,,0.2275879677638433,,
Ikbkb,0.326616138053178,,0.2669038980479737,,
Plxnc1,0.29971677893106563,,0.2633956466677729,,
Zranb2,0.3797279452427978,,0.22989248175563198,,
Fosl2,0.3605542319690681,,0.18330276817221125,,
Izumo1r,0.21156522879357686,,0.28747954757892097,,
Ikzf1,0.1823397716263961,,0.18438472476980752,,
Mybbp1a,0.2116932946746296,,0.22499304447681406,,
Crebbp,0.2006271359064664,,0.2033972906670508,,
Sirpa,0.22125408315252865,0.08378122108560389,0.2452419543158459,0.08210194815816052,0.0259467901943655
Bcl11a,0.17982458043538602,0.07716152381469955,0.191625439753795,0.07402893170071959,0.11765951076581235
Ppargc1b,0.2637008531920542,,,,0.17893154466952094
Klf13,0.4319821437968193,,,,0.25215180761395223
Gtf2ird1,0.2675332440995976,,,,0.3051524926453085
Ssbp3,0.3059848654571494,,,,0.3038361975053895
Vsir,0.3391335811617626,,,,0.3277686207343448
Sfmbt1,0.340055623316976,,,,0.2921995693887239
Ski,0.2592801546194241,,0.17180676005056258,,0.2323376350796892
Icos,0.27165719298635915,,0.2266377921072285,,0.2179684331845773
Ifngr1,0.4246883648062605,,0.35902561954145595,,0.3166465317088885
Actb,0.4351335788551042,,0.22797490599824485,,0.2156190031886304
H2-Ab1,0.2804414183135788,0.2712190477630649,0.7749050287840071,0.23966615311605494,0.1972822950962984
Fmr1,0.5671740855603661,0.434125319070376,,,
Cops5,0.579776240870135,0.39572525861094177,,,
Lgals3,0.5154614976627662,0.4766775869955529,,,
Tcf12,0.4574553918123912,0.5052544931230047,,,
Cd53,0.5918612410584178,0.5801460161262174,,0.1979723472158651,0.2412300086123705
Satb1,0.6802145688557271,0.3511811571658257,,0.18277620640591244,0.3050039403445429
Ifngr2,0.3116912347172968,0.5371098080739704,0.1885705326021216,0.2777151071448642,0.0039009946622851157
E2f2,0.5282400949971308,0.4140760577254024,0.3733124497678251,0.2707127769609523,
Ccr7,0.6256493287048188,0.3436071794000212,0.3556450779729744,0.10277017095222847,
Hif1a,0.58939945316343,0.3372227035042645,0.2322211683883873,,
Il4ra,0.4943155007711206,,0.2948829005979971,0.2365424173126931,0.2380518952434884
Id2,0.29028938837715196,,0.3278344316261333,0.3454631633016989,0.3564358154465573
Pirb,0.3489030975787298,0.1172997253914374,0.2640815303653796,0.22462845147816005,0.2532094451210484
Mxd1,0.31567115704152005,,0.29109004187901794,0.2149807625618572,0.29117100152599434
Irf7,0.273988819099257,,0.17956819898312631,0.19331836321313656,0.1644437087578109
Klra3,0.2230042442222984,,0.2470203771204695,0.2206500210953845,0.25355257829144245
Ccr6,0.18724113372029627,,0.20843194945938776,0.1839277459527307,0.26668887521532275
Il6ra,0.4392879415217855,0.2460376248172446,0.2975071918235627,0.17787792189636656,0.06758135956642469
Tnfsf8,0.4133440848827998,0.2593102101696101,0.2577406879873533,0.19606130204812086,0.19553146928363396
Ly86,0.3815098122443427,0.3569640951208681,0.20348804705554246,0.19588531643734525,0.1934713401662398
Crtam,0.24269399347186354,0.4170025573710299,0.2108116331297808,0.18844542943705,0.21069228671375875
