,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.48759764,-0.3365001678466797,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,2.1946626,-0.013572454452514648,False,,,,,,,,,,,,,,,
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.48061192,-1.5968174934387207,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.39309925,-0.3588157892227173,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,0.5118038,0.13951832056045532,True,0.20053467325647503,0.1390954518192269,0.18831649409247664,15.402214088050812,2.05098264614741,0.31028881669044495,0.15633080899715424,0.16809703681862304,0.0,0.0,0.31119589185842456,1.0743123301122566,0.6594260071629081,1.8745752320040159,3.7126959924504606
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,9.259295,-3.8521456718444824,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.3680599,0.34322434663772583,True,0.7303017049966961,0.666878990347099,0.21384834395824007,10.377114199113638,0.23088065877556802,0.2753010392189026,0.5634068250656128,0.39151637343043344,0.0,0.0,0.3616052018730036,0.8333524399285259,1.9876001726450592,0.36539750780252256,2.9226575075523944
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.84724736,-0.6906787157058716,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.00439996,-2.7413580417633057,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,7.442308,-4.1222357749938965,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.08559432,-1.097301959991455,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.095149726,0.5301463603973389,True,1.3640748099001172,2.096423654281271,0.16838507956471302,14.320701161224891,0.05307456515729428,0.185780867934227,1.8376967906951904,0.554270582910911,0.0,0.0,0.43993616944226044,0.43556891569747946,5.004881908346353,0.1822009814098485,4.493704479425016
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.48515087,-0.8495292663574219,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,146.02193,-1.5989818572998047,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.13934359,-0.0143355131149292,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.40127534,-0.8282855749130249,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.101700716,-5.072503089904785,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.326768,-0.42698585987091064,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,4.3791018,0.39633339643478394,True,0.13399542312355828,0.06176827328596327,0.18521734149080563,10.26611217873029,6.834282755851746,0.781775951385498,0.1468009352684021,0.3442327745625148,0.0,0.0,0.16038811261264208,1.9609533409646058,0.378034709744027,0.43698720660601537,2.8880497898356907
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.6325696,-0.2769920825958252,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.9651247,-3.6120400428771973,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.3644012,-1.2983551025390625,False,,,,,,,,,,,,,,,
