,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.40526882,-0.02985823154449463,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.97857493,0.4218546748161316,True,0.025737455599217144,0.09211073292640792,0.07071934535865018,28.070876536847344,2.0387558698654176,0.09349402785301208,0.06190880388021469,0.25809784805020586,0.0,0.0,0.3256697109956166,0.21963220595821983,0.1723145283678354,0.8134754587012157,7.188831529819583
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.81777275,-0.8032070398330688,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.40287495,-0.280942440032959,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5591433,-0.1415501832962036,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,9.18089,-6.1721367835998535,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.4783669,-1.5887424945831299,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.2998554,-1.0349113941192627,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0039048765,-3.394195079803467,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,13.108327,-2.410147190093994,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.09996721,-2.9062769412994385,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.113187306,0.27099913358688354,True,1.3197320562199082,3.0079427830667083,0.3040963112385596,18.788222988187112,0.05010779399424791,0.09896191209554672,0.9331782460212708,0.36833129366909795,0.0,0.0,0.43972895583784705,0.28199596738195515,2.589704426712003,0.39256809863200814,2.985641506204036
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.74339193,-0.5032463073730469,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,56.48903,-0.8624410629272461,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.19256292,-0.17064142227172852,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.4184313,-0.05168437957763672,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.063034564,-1.4939074516296387,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.619232,-0.8947678804397583,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,4.59989,-1.8758957386016846,False,,,,,,,,,,,,,,,
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.08286089,-0.14100265502929688,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.6824415,-0.40903007984161377,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.0475379,-3.673104763031006,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.8847553,-1.6161808967590332,False,,,,,,,,,,,,,,,
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.0806528,-1.385880470275879,False,,,,,,,,,,,,,,,
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.6487563,-2.2777352333068848,False,,,,,,,,,,,,,,,
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.28931808,-1.8761942386627197,False,,,,,,,,,,,,,,,
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.2105033,-5.524667739868164,False,,,,,,,,,,,,,,,
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.041199233,-10.509740829467773,False,,,,,,,,,,,,,,,
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,1.8141261,0.011380553245544434,True,0.03173634846702382,0.11033391267275776,0.14681350762710133,19.285627494275236,2.9729888445138934,0.0901661366224289,0.04128459841012955,0.22045107075690284,0.0,0.0,0.2313709719862238,0.26219839476294504,0.14949601409346636,1.1042243171409,4.218473592907458
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,2.8638597,-0.7369183301925659,False,,,,,,,,,,,,,,,
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.2311231,-1.488365888595581,False,,,,,,,,,,,,,,,
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.060108796,-2.4598922729492188,False,,,,,,,,,,,,,,,
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,5.984727,0.7098657786846161,True,0.03310926980793028,0.027083290884664504,0.1200092422314237,20.921688661637496,6.056240844726562,0.2875484824180603,0.04273172840476036,0.3109977644291093,0.0,0.0,0.43773849704683154,1.2345693933331567,0.23255722775477272,0.44398781337379983,5.761389494727083
