gene_name,Q4minusQ1,Q3minusOther,InputMinusAvg
Actl6b,-2.550545964,-1.317052147,0.441392396
Aff1,-1.607621753,0.643420721,1.297429636
Aff4,0.916714833,1.754036406,-0.632801532
Arid1a,0.540319918,-0.902958909,2.0229195
Arid1b,2.102831496,0.747158554,-0.801796688
Arid2,0.484473046,-1.806662469,-0.742790713
Ash1l,0.191219413,0.981012268,-2.813969185
Ash2l,-0.703615391,1.464067726,-3.003344757
Asxl1,-0.185354595,-2.017784548,-0.863470801
Asxl2,0.470812229,0.482300115,-1.201534044
Asxl3,-1.050819019,0.457260978,-2.353555957
Atad2,-0.342128023,1.65969959,-2.860401411
Atad2b,0.676310068,1.127100204,-3.589754874
Atm,-1.298655525,-0.305666409,-3.456926856
Atr,-0.781789555,-0.546137558,-0.802841631
Atrx,-0.56261757,-1.398753244,-2.736048388
Aurkb,-0.700612726,1.11167179,1.014244249
Baz1a,-1.244554788,-0.755026316,-1.648865329
Baz1b,-1.188006946,-1.672333069,-3.452571484
Baz2a,0.769700541,1.237974391,-1.473355568
Baz2b,-1.473159141,-2.243354307,-3.865291
Bcl6,1.323476416,2.933884692,-4.341820787
Bmi1,-1.037166635,-0.338487522,-0.653260041
Bop1,-0.278052114,1.654493641,-3.084741587
Bptf,-1.23690781,-1.497020609,-2.036045658
Brd1,0.350660408,-0.734202774,-2.239292157
Brd2,-4.184852373,1.058967504,-0.736427996
Brd3,1.019563626,1.085544571,-1.643346036
Brd4,3.014196347,-0.450438171,1.22220968
Brd7,-0.837082818,-0.447943095,1.552489655
Brd8,-0.860610731,-0.627817795,-0.775764207
Brd9,-0.604584662,1.350812671,-1.087744841
Brdt,-2.122928795,0.203595005,-2.790402292
Brpf1,-1.737092299,1.132671906,-1.322686265
Brpf3,-0.988276674,0.688890581,0.403736299
Brwd1,0.930838706,-1.186370278,-1.423435519
Brwd3,-1.509798538,-2.016353319,-1.705695818
Carm1,-2.390043567,-1.137684936,-1.327551397
Cbx1,-0.891787012,-0.882523002,-2.479713985
Cbx2,-0.231466274,-1.258881843,-0.51507156
Cbx3,-1.679372969,-0.427783866,-1.002859481
Cbx4,-2.224923686,-0.905344527,-2.195357371
Cbx5,0.799460951,-1.75374803,-1.091767741
Cbx6,2.004791404,-2.641468451,1.118476244
Cbx7,-1.056525885,-2.047935807,-3.671406118
Cbx8,-1.470877342,-0.848600348,-1.1444508
Cd14,-1.157491888,1.176690024,0.304521368
Cd4,-0.180957908,-1.356742779,0.838703127
Cecr2,0.083988774,2.756232287,-2.231762801
Chaf1a,-0.861198977,-2.168977222,0.278651259
Chaf1b,1.414739122,-1.159131918,0.547572569
Chd1,-0.476373907,0.936525971,-1.137985553
Chd1l,2.041126445,-1.999285709,-0.218805544
Chd2,-0.729168554,-1.142119764,-1.69693654
Chd3,0.539933733,0.316051831,-0.967787552
Chd4,2.019341494,-1.400557367,-1.00331646
Chd5,1.325220773,2.428477866,-1.586771961
Chd6,0.726403072,2.117882439,-1.259109239
Chd7,2.464218442,1.584791646,-0.992938796
Chd8,0.256742358,0.597138713,-1.809840677
Chd9,1.832090837,-0.298935374,-1.533561582
Clock,-0.378241086,-1.059288677,-1.727871583
Crebbp,0.820281727,0.144421574,-1.006466478
Ctsl,0.893602467,0.839252741,-0.433069979
Cxxc1,-1.356840336,-0.137877848,-1.236423027
Dmap1,0.639239476,1.143061281,-1.997245652
Dnmt1,-1.853693871,0.776852052,0.990223576
Dnmt3a,0.464152746,0.819346551,-4.538927973
Dnmt3b,0.915347782,-1.604347988,-0.545347371
Dnmt3l,1.118900743,-0.303212383,-0.418920097
Dot1l,2.274800216,0.288646477,-1.726203537
Dpy30,-0.585087143,-0.32763957,0.671922398
Dub2a,0.347162123,0.716110775,-1.373559478
Eaf1,1.263784872,1.42864484,1.324319358
Eed,-1.142043376,-0.933077232,0.494859935
Ehmt1,-0.192197969,-0.659290252,0.544267743
Ehmt2,-1.041132154,-0.621334099,-4.01756981
Elp3,-0.191250134,1.212332774,-0.55398543
Elp4,0.556744495,0.862430054,-2.999270684
Ep300,1.086973797,0.426707794,0.257530816
Ep400,-2.325656058,1.882987605,-1.259276232
Epc1,2.59590833,-1.631019314,-0.375331785
Epc2,1.145747579,4.009523119,-4.262049715
Ercc5,1.185345894,1.512319347,-2.941040946
Ezh1,0.80924361,-0.95061987,-3.457749181
Ezh2,0.816023737,0.560037257,-0.5407558
Fbxl19,0.557984235,1.81254594,0.888263715
Fbxo17,0.349331595,-1.519129048,2.935384881
Fbxo44,1.800378572,1.233017309,-0.137690217
Fbxw9,-0.680287751,1.604921774,-1.969025386
Fkbp1a,1.222612277,1.409983847,-1.304985521
Fkbp2,-1.375201696,-1.042125849,0.873550327
Fkbp5,-1.480788921,0.353978467,-0.139278375
Fosb,3.75369788,-1.420628834,0.836622494
Gadd45a,-0.601515604,1.185628365,1.306132708
Gadd45b,1.818298675,0.864069041,-1.315715643
Gtf2b,-0.576813368,0.556959709,-1.324602799
Gtf2f1,-1.264636836,2.339010265,-0.588216802
Gtf2h1,-1.931577501,1.147030973,1.346391856
Gtf3c4,0.802886684,0.245094679,-1.285922607
H2afz,1.750103307,0.956138991,-0.967993772
Hat1,1.792101804,3.564928079,0.444714029
Hcfc1,1.991251888,0.316930859,2.882278933
Hdac1,-2.169893721,1.235553423,-0.303893706
Hdac10,-0.981770137,2.433556661,0.751123067
Hdac11,-1.711520638,0.696261828,-0.800340952
Hdac2,-0.696125264,2.112091241,-1.562908058
Hdac3,-1.754902372,0.268586356,0.7085906
Hdac4,-0.743425337,0.729952182,-0.390243887
Hdac5,-0.890519358,1.278909432,0.666395015
Hdac6,-0.284125647,0.807988932,-1.181390254
Hdac7,-0.402909857,-0.994389112,-1.289381807
Hdac8,-1.653595967,1.394334118,-2.988994847
Hdac9,1.310301376,0.352135429,1.038979286
Hells,1.084998169,-1.082420519,-0.798704311
Hes1,1.295085785,1.27600003,2.82488535
Hes6,-2.432796978,-1.148547426,0.755175322
Hira,-0.82398358,-2.169699142,-4.288201878
Hltf,-1.066004658,1.450547934,-2.297969422
Id2,1.060893601,4.727154251,0.67932956
Id3,0.461840064,1.094181788,1.069630684
Ing2,-1.080629664,-0.513794478,-1.160591947
Ing3,-2.779513703,1.329829403,-2.620847706
Ing4,-1.400556936,-0.72654757,-2.33579578
Ing5,0.637666196,1.58350102,-1.3597152
Ino80,1.767368448,-0.576960712,-2.922029297
Iws1,-2.145968141,-1.820594682,-0.481888115
Jarid2,1.002734249,0.342300362,-1.858393576
Jhdm1d,0.416514844,-0.434155632,-0.832690575
Jmjd1c,-2.069950394,-2.254412033,-1.527341818
Jmjd4,0.849959395,0.746351277,-2.057987953
Jmjd5,-0.391955996,-1.422584555,0.76880093
Jmjd6,-0.762221687,-1.455685536,0.634530059
Jmjd8,-0.205098861,-0.586485507,-2.025486373
Kat2a,-1.129662494,-1.346859598,0.058721227
Kat2b,-0.809480846,0.543382797,-0.457483966
Kat5,1.251702968,0.95822335,-0.827498867
Kdm1a,0.247774066,-1.469713245,-0.321585208
Kdm1b,-0.423495172,0.753143706,-0.61350607
Kdm2a,0.563972345,1.037549454,0.971798281
Kdm2b,2.415122434,0.674880529,3.804995932
Kdm3a,-1.193675129,-1.80035796,1.412566245
Kdm3b,1.056827419,0.820439309,0.468308949
Kdm4a,1.440008558,-0.58372206,0.475724646
Kdm4b,0.865375332,1.296936519,0.274989335
Kdm4c,0.395369886,-2.103088221,-0.550199854
Kdm4d,-0.404430533,-0.672956315,-0.789809933
Kdm5a,0.569635553,-0.416911239,-1.221797462
Kdm5b,-0.406491296,1.392068595,0.456075272
Kdm5c,0.211262292,0.929874545,0.252772554
Kdm5d,-1.250026474,-1.168010839,-0.582058626
Kdm6a,-1.06495567,0.749993822,-0.895995456
Kdm6b,1.229077069,0.419275541,3.03587066
Klf12,0.890181821,1.032975654,2.037655481
Klf2,1.469645989,3.737856203,3.027088554
L3mbtl1,0.466980344,1.132429115,-0.227384286
L3mbtl2,-1.283447583,-1.161739103,0.75590449
L3mbtl3,-1.433690662,0.925126901,0.175664234
L3mbtl4,0.596491647,-0.648441326,-0.301295149
Mbd1,0.385185042,-0.5106921,1.795595315
Mbd2,-2.476433725,1.177641236,1.559706538
Mbd3,-0.665090707,-1.030775285,1.069537509
Mbd4,-0.216378727,-0.476820745,-1.647514473
Mecom,0.471411324,1.566529835,0.666158153
Mecp2,-1.828213884,-1.519274174,1.097359312
Men1,0.39583983,-0.430980938,1.527606488
Mll1,-2.160206795,-2.17114122,1.713081377
Mll2,-0.829523912,-1.893480422,1.067911909
Mll3,-1.249891782,1.066292125,-0.767020919
Mll5,-0.754029145,0.370613945,0.377617038
Morf4l1,-0.694952671,-1.384383048,-1.967076404
