gene_names,moderate,none,sev,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score
A1BG,0.19455616,0.03683391,0.20674905,-0.09678323566913605,0.9989414490854748,-0.41380175948143005,-0.09678323566913605,0.899088317458703,-0.500297486782074,-0.09678323566913605,0.6774648337119049,-0.73078852891922
A2M,0.025992895,0.006697074,0.031279758,-0.27094388008117676,0.9989414490854748,-0.09806862473487854,-0.27094388008117676,0.8744574564467756,-0.5427262783050537,-0.27094388008117676,0.624211423232994,-0.8115850687026978
A4GALT,0.0033388592,0.0,0.0,21.6733341217041,0.9989414490854748,0.2406764030456543,21.6733341217041,0.12273524944684486,2.2403931617736816,21.6733341217041,0.07563531058785412,2.2403931617736816
AAAS,0.0613848,0.010045611,0.03661089,0.7636250853538513,0.9989414490854748,1.0373499393463135,0.7636250853538513,0.12166580462966467,2.2541122436523438,0.7636250853538513,0.00974027332395349,3.0951058864593506
AACS,0.028550511,0.0,0.038818367,-0.45067113637924194,0.9989414490854748,-0.28595787286758423,-0.45067113637924194,0.6034023665009216,-1.000985026359558,-0.45067113637924194,0.26569048146421825,-1.522904634475708
AAGAB,0.14858903,0.022049991,0.1164551,0.37524527311325073,0.9989414490854748,1.1702251434326172,0.37524527311325073,0.27968355997081007,1.7083054780960083,0.37524527311325073,0.04997001479604798,2.4344475269317627
AAK1,0.7671923,0.25620127,0.56725174,0.5957440733909607,0.00017592052872045076,4.824333190917969,0.5957440733909607,6.668331057684874e-05,4.922155857086182,0.5957440733909607,2.440687908128187e-11,7.318963050842285
AAMDC,0.034283306,0.0,0.019867277,0.797558069229126,0.9989414490854748,0.6082894206047058,0.797558069229126,0.260755927012972,1.7721697092056274,0.797558069229126,0.05486378498722797,2.3905789852142334
AAMP,0.19713336,0.042710215,0.13136634,0.6343151926994324,0.25353236647162625,2.3723700046539307,0.6343151926994324,0.01007049759740778,3.398498296737671,0.6343151926994324,3.0355930439030086e-05,4.757879734039307
AAR2,0.03895771,0.0,0.03219594,0.2799365222454071,0.9989414490854748,0.3575504422187805,0.2799365222454071,0.7962935377473283,0.6804390549659729,0.2799365222454071,0.5242943581135083,0.9742616415023804
AARD,0.003061709,0.0,0.0066224253,-1.1155928373336792,0.9989414490854748,-0.04198227822780609,-1.1155928373336792,0.6831587114634313,-0.8641926646232605,-1.1155928373336792,0.32970590916853604,-1.3609471321105957
AARS1,0.113647744,0.026788296,0.08904921,0.3699379563331604,0.9989414490854748,1.0757856369018555,0.3699379563331604,0.3704123514235287,1.4971046447753906,0.3699379563331604,0.08992381178393835,2.15224289894104
AARS2,0.02443041,0.0,0.015452325,0.6673517823219299,0.9989414490854748,0.4416799545288086,0.6673517823219299,0.4706539412441567,1.2744847536087036,0.6673517823219299,0.187591505323644,1.7510493993759155
AARSD1,0.052590296,0.010045611,0.079638675,-0.6183987855911255,0.9989414490854748,-0.746030867099762,-0.6183987855911255,0.23937680650594445,-1.8301528692245483,-0.6183987855911255,0.018517199210308588,-2.857512950897217
AASDH,0.117049865,0.025398528,0.09383927,0.33589664101600647,0.9989414490854748,0.8995260000228882,0.33589664101600647,0.4158300468346477,1.3790812492370605,0.33589664101600647,0.12682065769990356,1.968881607055664
