,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.4161314,-0.02616560459136963,False,,,,,,,,,,,,,,,,0.13647425174713135
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.9833907,-0.17338025569915771,False,,,,,,,,,,,,,,,,-0.16794955730438232
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.75526303,-1.011756420135498,False,,,,,,,,,,,,,,,,-0.5377292633056641
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.3606712,-1.1730616092681885,False,,,,,,,,,,,,,,,,-0.027779221534729004
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5671735,-0.5451233386993408,False,,,,,,,,,,,,,,,,-0.5445605516433716
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,7.5475883,-9.505565643310547,False,,,,,,,,,,,,,,,,-5.434985160827637
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.26576805,-1.3038623332977295,False,,,,,,,,,,,,,,,,-1.2052388191223145
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.0728024,-0.8717007637023926,False,,,,,,,,,,,,,,,,-0.6349217891693115
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.002985868,-2.0177791118621826,False,,,,,,,,,,,,,,,,0.07692503929138184
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,10.355504,-4.352761745452881,False,,,,,,,,,,,,,,,,-4.249901294708252
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.08047776,-1.3986318111419678,False,,,,,,,,,,,,,,,,-0.043211936950683594
