Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood
Hmgb2,0.5709025626790976,Tnfaip3,0.8483183697426977
Btg1,0.5466648330124627,Itga4,0.6202371088511438
Sp100,0.4613480602885593,Selplg,0.5860688859876769
Cd226,0.4024508922362645,Ctla4,0.5813475728820022
Klrg1,0.3859503321052928,Cd69,0.507442095704097
E2f2,0.3733124497678251,Cd28,0.431542535068388
Klrc1,0.3727857468721953,Ifngr1,0.4235159446772701
Klf3,0.3669064393016566,Id2,0.3975592161315624
Ifngr1,0.35902561954145595,Slamf1,0.3769894456107342
Itgal,0.34102461937207323,Cbx1,0.3542052299659409
Cd96,0.3360042147441053,Ggt1,0.3498838769139614
Lef1,0.33446540307549844,Smad7,0.34311565275192796
Itgax,0.3344321836345591,Fhl2,0.3126084935788795
Foxp1,0.33380124860014776,Cd52,0.2833592426855266
Id2,0.3278344316261333,Icos,0.25827895177763444
Btg2,0.3212999959052514,Spn,0.2510385751717468
Klrk1,0.3191369393974936,,
Fli1,0.2936673603199003,,
Klrd1,0.2929768334801932,,
Mxd1,0.29109004187901794,,
Igf2r,0.2899291209598332,,
Ctla4,0.2769162086596421,,
Itga4,0.2662238325547206,,
Runx3,0.2653471682256615,,
Entpd1,0.2607691306571309,,
Kdm6b,0.2579032897869131,,
Smad3,0.2575416343924005,,
Il17ra,0.2552712050124469,,
Irf2,0.2502090994227648,,
