Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood
Atad2,0.42428964406036784,Tnfaip3,0.428689359910825
Klrd1,0.4218086608247392,Hmgb2,0.3616335933707391
Klrg1,0.3980561719566879,Selplg,0.3493419601908936
Klrc1,0.3938541647593761,Fosb,0.3026499374227234
Fli1,0.3917057912233321,Cxcr6,0.29455145740178146
Id2,0.3454631633016989,E2f8,0.2882647311330045
Uhrf1,0.3311721026146742,Itgax,0.2881737268835087
Itgal,0.3273766672597504,Cenpk,0.28047832114310856
Sp100,0.32370973426530825,Ifngr1,0.27750832498769284
Cd96,0.3203245659819851,Nsd2,0.2648519241350522
Dnmt1,0.29380477841200225,Icos,0.2640255701146769
Padi2,0.2861276151886604,,
Btg2,0.2756710285375408,,
Fasl,0.2744137533456733,,
E2f2,0.2707127769609523,,
Timeless,0.26983091099729545,,
Aurkb,0.2659302347315694,,
Cenpk,0.2639767000166089,,
Itgax,0.2609280487659017,,
Bard1,0.2579567659165593,,
Btg1,0.2579080412302622,,
Irf2,0.25349865803708715,,
