Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood
Sp100,0.38666985272550797,Ifngr1,0.5080307629938694
Cd226,0.3553687678939865,Il18rap,0.4601223600827321
Fasl,0.33843739640099785,Klra3,0.4431194150021538
Klrg1,0.3329389903510929,Id2,0.36669852456044016
Klrd1,0.3152410128261049,Aff3,0.3615619664875631
Cd96,0.31158798428544704,Lag3,0.3425020813137932
Klrc1,0.2938845639287381,Entpd1,0.326965579975097
Klrk1,0.2890620479217149,Klrd1,0.3159353081314783
Id2,0.28887696624695264,Tnfsf11,0.3073026346512464
Klf3,0.2865490001331674,Zfp36l1,0.3072143098381451
Kdm7a,0.28454419776396017,Tsc22d3,0.3024625241603523
Mxd1,0.2669822054377777,Il10ra,0.29843023352184866
Ifngr1,0.2666574876036694,Runx3,0.29561367849638226
Ccr2,0.2649983522896569,Maf,0.2890170113978948
Itga2,0.2602383213758712,Foxn3,0.2877174211930178
Ar,0.2599285271557973,Klrk1,0.2764468010728938
Cd53,0.2516659400349978,Btg1,0.2667862935621668
