Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood
Nap1l1,1.0735892611726596,Chaf1a,0.6833867522233101
Nsd2,0.5630671868416419,Atad2,0.635277188118693
Polr2f,0.5439292072886993,Aurkb,0.6292029438940746
Mcm4,0.5432854437072093,Hells,0.6127796539904837
Smarcc1,0.5263920966339629,Dnmt1,0.5499025519209099
Hells,0.5227660976128509,Smyd2,0.5314410929675709
Mcm6,0.4929780214637644,Mcm7,0.5144865095301026
Cbx5,0.4721172237232266,Rfc1,0.5110625837734445
Parp1,0.4550938119809696,Mcm3,0.5028263266812922
Mcm7,0.4544375193603215,Mcm5,0.4856170042187834
Mcm5,0.45391858034085497,Mcm8,0.4792489262208741
Rbbp7,0.4529985493845402,Nsd2,0.4740179604767688
Ezh2,0.4460976381773241,Uhrf1,0.4621444226904708
Pa2g4,0.4421849672800677,Hnrnpab,0.4601024841164537
Rbbp4,0.4374013301943968,Hnrnpd,0.4525152351004725
Tfdp1,0.43737227879923335,Tfdp1,0.4480993677833067
E2f8,0.4326740904395541,Suv39h1,0.4260921566217204
Brca1,0.4247632188113255,Hat1,0.42130962774698977
Ssrp1,0.4236788845516937,E2f8,0.41832608836325225
Snrpd1,0.4164852347354738,E2f1,0.4176617716979304
Uhrf1,0.41306340301902017,Ttf2,0.4161543055250158
Mcm8,0.4108685815821375,Brca2,0.4132223112852025
Batf3,0.4005613209535332,Rbbp7,0.4096781825286948
Supt16,0.3968706578985355,Smarcc1,0.4059572687436617
Suz12,0.3939692085639404,Cbx5,0.3976055528674993
Hnrnpd,0.3895541661985992,Parp1,0.39128720861974187
E2f3,0.3847490801810472,Tardbp,0.3869808143099107
Brip1,0.3829741537947339,Apex1,0.3824826679123906
Bclaf1,0.3752232076482512,Kntc1,0.3816920016607089
Dnmt1,0.3649821046841991,Suz12,0.37558838550631896
Bard1,0.3627695411799819,Ezh2,0.3752092374522205
E2f1,0.3599334857352837,Bclaf1,0.3707993581341347
Orc1,0.3586430171840977,Mybl2,0.3667730857523082
Wdhd1,0.3585051731768969,Tcerg1,0.3654559479182592
Ruvbl2,0.3573685335533772,Pa2g4,0.3614053746306514
Fkbp5,0.3460846375269774,Sell,0.35573187579494936
Dnajc2,0.341317730310249,Brca1,0.3519901188555721
Brca2,0.34048085889819857,Ash2l,0.34487891614674154
Atad2,0.33929215040204475,Cenpk,0.3236492295374348
Trip13,0.3361359754469036,Rad51,0.3234840586509001
Cenpk,0.3310407480552265,Hmga1,0.3039922974503057
Tcf7,0.3306690933024685,Jade1,0.2891332097428703
Tcerg1,0.3299505538269259,Ssrp1,0.28908682914065914
Apex1,0.3283122291670157,Wbp11,0.2873914832576015
Smyd2,0.3278306045412541,Bard1,0.27597660172591515
Rad51,0.32601122327317883,Mtf2,0.27381789933007705
Cbx3,0.3191194218953175,Ruvbl2,0.2551857034173842
Chaf1a,0.31757320812919226,Tcf7,0.2547919494450868
Sell,0.31755605316172303,,
Kntc1,0.31740499069309625,,
Pdcd11,0.3119733560905251,,
Baz1b,0.3070136175574302,,
Cnot6,0.30628837493261163,,
Gtf2ird1,0.3051524926453085,,
Ssbp3,0.3038361975053895,,
Safb,0.30379045309475977,,
Phf19,0.2955217315687353,,
Sfmbt1,0.2921995693887239,,
Ddx20,0.29213471709549843,,
Mtf2,0.2897488979522377,,
Aurkb,0.2892291869909576,,
Tardbp,0.28921010101851763,,
Zfpm1,0.2834935789112337,,
Irf4,0.2831420940465669,,
Mybl2,0.2819220897405201,,
Aff3,0.2774486510866365,,
Wbp11,0.2773169488111145,,
Gtf3a,0.2696763374630969,,
Prdm1,0.26883387816207177,,
Il2ra,0.2658947035965229,,
Srrm1,0.2568440970216297,,
Zbtb10,0.2567403335677406,,
Tnfrsf4,0.2548517175350214,,
