paga1,paga2,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_paga1,X_paga2,velocity_paga1,velocity_paga2
14001.2001174884,15810.884212807938,-11.327994,4.7120004,0.29914227,0.32045624,-0.2918324,2.12682,-1.0124537,-0.60639334,0.48415616,-0.4702666,1.3487127,0.3059234,1.0005295,-0.40876538,-0.21920224,-0.795408,0.42435768,0.4562493,0.5280336,-0.8037874,0.13904655,0.289748,0.7114643,-0.80292267,1.122177,-0.8864435,-0.33090907,-0.01913696,1.6992676,-0.06416214,14001.2001174884,15810.884212807938,33.819160792891026,1337.5950290039143
5587.493268875575,18146.462966737,-9.847514,3.062752,-0.29995054,0.68086034,1.9433414,-0.09448808,-1.2043096,0.2246523,0.4894823,0.84777445,-0.09098507,0.14876674,0.62561166,0.7040523,0.28165215,0.1954382,0.62609625,-0.661417,0.11805472,0.018846028,0.5684796,0.11745871,0.13493972,0.33007443,0.020339418,-0.65143377,-0.21468751,-0.1126136,1.2889909,-0.33864683,5587.493268875575,18146.462966737,-348.15111785242806,1299.5217854007396
-4337.071301325317,64382.84037893638,-3.0452983,-3.970474,1.7360504,-1.6346031,2.6449122,-0.19685024,1.6947902,0.9915719,-1.4901938,-1.1729671,0.567323,-1.7688395,-1.5393084,-0.26564822,0.32689357,-0.7366446,-1.3097492,0.60977274,-1.137272,-0.5809682,-1.1722308,-0.2644441,0.7014331,0.39169264,-0.268676,0.59970963,0.68159467,-0.18107721,-1.2086921,0.48758566,-4337.071301325317,64382.84037893638,-899.9882032593928,49.215934419016165
-16921.071828024065,45172.57409737528,8.133482,-4.846096,-1.8570534,-1.7586164,-3.8101943,-0.4157045,-1.7889423,-1.4813162,1.0235854,2.345411,0.6544455,-0.06517687,1.5800368,-0.35333213,-0.3012161,-0.28669718,-1.2819148,-1.1244015,-0.84384143,-1.0117359,0.028112127,0.39206764,0.6544409,-1.013307,-1.3687267,-0.30137372,0.6199384,0.7198976,4.187351,0.73751336,-16921.071828024065,45172.57409737528,-690.163451328731,-1205.36439449916
-312.82693570336164,65763.57156005308,-4.335006,-1.871477,0.12949146,-0.803727,2.657987,-1.5328774,0.84534967,0.15411562,1.155412,0.49860844,-0.49521774,1.213692,0.18580115,-0.22904907,-0.35918087,0.89174616,-0.08071116,-0.78312653,1.324519,0.33808577,-0.16077657,0.8193917,0.76381314,0.61653006,-0.05178212,-1.2210677,-0.37643713,-2.3804922,-0.44662398,-0.049943715,-312.82693570336164,65763.57156005308,-503.9465626826431,96.20692470487162
2857.9906663611955,69502.7678220823,2.3341746,1.7450513,3.2983437,2.4770718,-1.8212645,0.087119214,-1.9065778,-3.2571533,0.777636,-3.767324,-0.92357314,7.9062467,1.8770769,-5.135256,4.4440904,3.55747,0.120489046,3.6216257,-2.5051024,-1.7998224,3.4291208,0.5928439,2.6959584,0.2709335,1.26626,-4.0969553,7.2872496,-2.0104516,0.6999563,6.598659,2857.9906663611955,69502.7678220823,-177.362119023788,14.124203309033783
-9995.875437600032,56767.895230004906,2.2499132,-3.419963,-2.5177135,1.1360652,1.1513451,-5.195421,2.0527666,0.5222602,-1.4101818,-0.4006079,-1.7731776,1.721806,-1.9354175,0.7353878,0.7541423,0.87550116,-0.81315285,1.9072926,-2.4176002,-0.25007623,-1.9408865,0.5366882,-1.2396392,0.51940006,-0.49120137,-0.80434716,-1.4356637,-0.7408118,1.141743,0.2111862,-9995.875437600032,56767.895230004906,-1222.2827214426393,-943.7757604727517
-13729.21624227134,50822.58106116708,6.265601,-4.7346196,-0.993629,-1.5840341,1.8199571,-1.567585,-0.19122663,-0.8273483,2.529525,1.2988297,-0.20388159,-0.5330706,1.1373104,-0.10393874,0.20826714,-1.3868817,-0.11082924,-0.28834087,1.3215376,0.68221337,1.5837325,-0.46648663,0.120889984,2.3104544,0.10078348,0.036039054,0.85894704,0.21025798,0.57141167,0.45444655,-13729.21624227134,50822.58106116708,-1134.098528331242,-1362.1784703824158
-17241.36306735808,44315.80825813658,4.2317233,-4.3559656,-2.078313,-2.635362,0.18021972,-0.9504801,-1.1465259,-0.49833336,0.02335929,1.5171497,0.045048784,0.107481346,0.44476128,-0.79639846,-0.5141874,-1.5949264,0.2571019,-0.12596884,-1.1866186,-2.0498161,-0.4303638,-1.0429696,-0.36026925,-0.36406276,0.03847353,0.89550716,0.57328266,1.5949557,-0.16654436,0.3035997,-17241.36306735808,44315.80825813658,-445.8671522307972,-728.3510183582741
-5006.462750282457,65012.90207467593,-0.30722672,-3.953882,3.905294,-1.8019223,2.7998457,-0.28175917,1.4912126,1.0946904,-0.2407698,-1.770787,-1.1673208,-0.712992,-1.1607682,0.12400384,0.05833129,0.80705386,-0.33268404,2.0969727,1.3729869,-0.25120404,-0.7835795,0.76603085,-0.7782591,-1.342221,0.5835639,-0.16859166,-0.18860917,0.23875184,-0.23353806,0.6115711,-5006.462750282457,65012.90207467593,-1106.1540184700475,-225.46156214224473
-1233.3287794296807,57162.257796186896,-1.6729851,-0.9432337,4.1400666,-2.9828157,0.48198843,0.84158164,-1.5352974,-1.3069476,0.48740914,-0.5490457,2.0759592,0.6952856,0.81254417,-0.13513222,0.14523374,-0.7128775,-0.44487542,2.3957517,0.8018233,0.25507614,-0.071877554,1.9536175,1.0780025,-0.7665856,0.03503225,-1.3765215,0.124783054,0.0045210687,0.671455,0.7836443,-1233.3287794296807,57162.257796186896,-939.703911968268,356.880512048382
7521.427578691515,-12176.194791551987,-13.783977,5.847592,0.03752029,1.1834499,0.3025524,0.29793614,-0.7418112,0.3938348,-0.74019414,0.39667854,1.0693008,-0.6611356,0.105491914,-0.053379945,-0.17848031,-0.120379716,0.041919738,-0.18660203,-0.014083093,-0.43943244,-0.16436847,0.18294348,0.6781898,-0.44358864,0.0035268029,-0.46992117,-0.61888486,-0.51535267,0.43756652,-0.67691493,7521.427578691515,-12176.194791551987,-294.30173890376045,282.73221671662776
