louvain,C8P,NP14B,A8T,C5P,A5T,A5P,A8P
0,0.5242463958060288,0.11013215859030837,42.88,1.12,9.44,1.12,44.69964664310954
1,17.03800786369594,0.0,4.72,26.64,18.16,14.0,3.1802120141342756
2,0.0,0.11013215859030837,34.16,0.16,0.24,0.08,46.113074204947
3,0.1310615989515072,97.90748898678414,0.72,0.0,0.16,0.0,0.08833922261484099
4,4.849279161205767,0.0,2.4,19.84,15.44,23.52,1.325088339222615
5,5.6356487549148095,0.0,2.64,20.72,17.44,19.2,1.1484098939929328
6,3.0144167758846656,1.6519823788546255,2.08,2.88,9.84,27.04,1.4134275618374559
7,14.154652686762779,0.0,2.16,23.28,2.16,2.56,1.7667844522968197
8,53.86631716906946,0.0,0.72,1.76,0.0,0.08,0.0
9,0.0,0.22026431718061673,6.56,0.0,19.92,0.08,0.0
10,0.7863695937090432,0.0,0.96,3.6,7.2,12.32,0.26501766784452296
