ChIP,type,CD4_CD8
2021_GoldrathLab_Brd4___BRD4_TE-CD8,TF,CD8
2021_GoldrathLab_Brd4___BRD4_NAV-CD8,TF,CD8
2021_GoldrathLab_Brd4___BRD4_MP-CD8,TF,CD8
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,Histone,CD8
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,Histone,CD8
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,Histone,CD8
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,TF,CD8
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,Histone,CD8
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,TF,CD8
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,TF,CD8
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,TF,
2017_PNAS_Li___STAT5B_noIL2-CD8,TF,CD8
2017_PNAS_Li___STAT5B_IL2-WT-CD4,TF,CD4
2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,TF,CD4
2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,TF,CD4
2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,TF,CD4
2017_PNAS_Li___STAT5B_IL2-CD8,TF,CD8
2017_PNAS_Li___STAT5B_IL2-CD4,TF,CD4
2017_PNAS_Li___STAT3_noIL21-CD4,TF,CD4
2017_PNAS_Li___STAT3_IL21-CD4,TF,CD4
2017_PNAS_Li___H3K4me3-noIL2-CD4,Histone,CD4
2017_PNAS_Li___H3K4me3_IL2-CD4,Histone,CD4
2017_PNAS_Li___H3K27Ac-noIL2-CD4,Histone,CD4
2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,Histone,CD4
2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,Histone,CD4
2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,Histone,CD4
2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,Histone,CD4
2017_PNAS_Li___H3K27Ac_IL2-CD4,Histone,CD4
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,Histone,CD8
2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,Histone,CD8
2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,Histone,CD8
2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,Histone,CD8
2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,Histone,CD8
2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,Histone,CD8
2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,Histone,CD8
2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,Histone,CD8
2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,Histone,CD8
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,TF,CD8
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,TF,CD8
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,TF,CD8
2016_SCIENCE_Mackay___Hobit_invitro-CD8,TF,CD8
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,TF,CD8
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,TF,CD8
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,TF,CD8
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,TF,CD8
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,TF,CD8
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,TF,CD8
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,TF,CD8
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,TF,CD8
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,TF,CD8
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,TF,CD8
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,TF,CD8
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,TF,CD8
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,TF,CD8
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,TF,CD8
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,TF,CD8
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,TF,CD8
2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,TF,CD8
2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,Histone,CD8
2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,Histone,CD8
2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,Histone,CD8
