ChIP,ChIP gene #,type,CD4_CD8,use
2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT,1271,TF,CD8,no
2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2178,TF,CD8,
2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,3264,Histone,CD8,
2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,15785,Histone,CD8,
2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2698,TF,CD8,
2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2104,TF,CD8,
2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,3239,TF,CD8,
2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,3096,TF,CD8,
2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,14089,Histone,CD8,
2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,7713,Histone,CD8,
2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,9817,Histone,CD8,
2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,13915,Histone,CD8,
2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,13195,Histone,CD8,
2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,84,TF,CD8,no
2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,4879,TF,CD8,
2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,174,TF,CD8,
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,436,TF,CD8,
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,262,TF,CD8,no
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,3544,TF,CD8,
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,694,TF,CD8,no
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,4327,TF,CD8,
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,6617,TF,CD8,
2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,19610,TF,CD8,
