paga1,paga2,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_paga1,X_paga2,velocity_paga1,velocity_paga2
480.64076932660754,1993.3792394270722,9.671768,-4.2994647,2.4811087,-0.22110811,-1.7929909,-0.64554554,-1.6086642,1.3825793,-1.4981877,-2.3960674,0.32771912,-1.6637105,0.27743587,-1.6521508,0.45759213,-0.8831165,1.1318007,0.60593826,-0.18947844,0.060650673,480.64076932660754,1993.3792394270722,-3.3679940238653217,-8.269936697567609
2950.3206978716803,-1187.5044073954891,-8.18765,-0.5393797,-0.75713366,-0.2262577,1.7826525,-1.1304346,0.15167882,1.8184527,2.1663108,0.0041688136,-0.06784573,0.10275206,0.3518865,-0.09877047,1.7472107,-0.12206033,-0.15704155,1.0581077,-0.24516572,0.49113545,2950.3206978716803,-1187.5044073954891,-17.197627914837703,13.376973489131538
1353.17456672606,-2931.666224560576,-9.481306,-1.1826644,-0.25973308,-2.0454764,-0.121159635,-0.5349773,0.1693101,-0.5965844,0.039555915,1.1848333,-0.56119573,-0.3208455,0.12361346,1.3740783,0.10996204,-1.0099889,1.4077584,-1.3570169,-1.3944932,-0.428904,1353.17456672606,-2931.666224560576,-31.813072067483223,-7.6751652065332445
408.0257599995575,2225.4161510258346,11.3551,-3.833329,2.5809715,-0.68143344,-1.7028189,-0.1878578,-0.12039702,-0.6261775,-1.4836807,0.97938305,0.3651592,-0.21488282,-1.3676265,0.03390912,0.15982068,-0.18785171,1.906257,-0.6939314,0.2172016,-0.2726661,408.0257599995575,2225.4161510258346,-4.469986158738739,2.0176046302198003
1186.0341050546022,-2588.844909703989,-7.8890524,1.7404213,0.525074,-2.4920945,-2.3913496,0.34682748,-1.4821833,1.5715352,2.0496287,-0.97582245,0.39327255,-1.2911046,-1.3782526,-0.22801036,-1.155078,-0.50352764,0.8126095,-0.13906878,0.16556321,0.58982,1186.0341050546022,-2588.844909703989,-21.1006011219009,9.092464314736217
-3797.801700353728,3031.6508089101667,9.453505,1.8720412,-2.0295088,-0.19063991,-0.46058467,0.6992468,2.977898,0.020974528,-0.64768,0.82095534,1.1821916,-1.3349619,-0.5187689,0.2803106,0.47078815,1.0506941,0.2779963,1.1283884,1.3044599,0.91900736,-3797.801700353728,3031.6508089101667,-36.157477516198846,-55.008879927524966
-4377.120089714395,3017.608992352131,7.8249564,4.7349052,-1.2830538,-0.3681542,-1.1782409,-0.5750636,1.678891,-0.59809303,1.4352262,-0.11823279,0.22599204,-0.8171622,0.18425524,0.71114224,1.1296904,-0.054200932,-0.07297445,0.8481745,-0.6061174,-0.9617683,-4377.120089714395,3017.608992352131,-23.75776639727234,-54.78225303937837
2629.8466516888225,-981.0469467678863,-5.0221524,0.08706221,-0.41422504,1.0954365,0.7853279,-1.8251501,-0.9726295,-0.42700154,0.9914194,1.2323719,1.8754058,-0.18229824,1.0158134,0.150557,-0.423028,-2.149113,1.3529438,-0.49891388,-0.6529408,-0.8838216,2629.8466516888225,-981.0469467678863,-29.027126931415314,17.23305670413311
2963.575592514387,-699.3221487108742,-6.3278413,-0.56712437,0.39106226,3.2661095,1.1171213,-1.0151417,0.409043,0.5747848,-0.61538064,1.2237579,0.123853706,0.20163345,0.26282865,0.9682939,-3.547947,-1.8535328,-1.5434787,-0.09199161,-0.4346056,0.69329,2963.575592514387,-699.3221487108742,-14.713399237017095,16.19374288167089
2132.5138884496146,-42.54612504607685,-5.4042087,-0.28977102,2.2202232,3.201079,2.7390943,-1.4429817,0.41891164,0.83098143,0.9455572,-0.9736585,-0.39585087,-0.7814581,3.558843,-1.7805182,-1.6972597,0.669892,-0.5974402,1.6950529,0.91792333,0.0016491475,2132.5138884496146,-42.54612504607685,-8.043586824144182,1.1673436969551574
-5003.426017577841,1405.9769999778327,-0.28511983,6.4147058,6.4880276,-4.4590335,5.003276,1.4964468,-1.519678,-2.413357,-1.2111356,-3.7000332,-2.8374012,1.108363,-1.5615958,7.2341533,0.58447963,-2.105161,2.9235349,0.8183616,-0.55559045,1.8077595,-5003.426017577841,1405.9769999778327,17.510659770110806,-9.140798044979825
