Cluster,Exp334_P0,Exp334_P1,Exp334_P2,Exp334_P3,Exp334_P4,Exp334_P5,Exp334_P6,Exp334_P7
Exp391_P0,0.00983897159743585,0.0025964764673950223,0.0010876452773799865,7.44509664738473e-06,2.534504151807111e-05,3.236668759587447e-05,3.370043840835494e-06,0.0
Exp391_P1,0.001158825037914445,0.01802191796353935,0.0009112858984837227,0.00047946798516754647,9.781026835693613e-06,2.6837773348778503e-05,2.1982598185323392e-05,0.0
Exp391_P2,0.0006482179091011043,0.0005360439046657341,0.005462565115332913,0.0010535263170186177,0.0025388913782846546,0.00023256603402060287,0.0003306537719157527,2.4470594483075297e-05
Exp391_P3,2.5017360268724163e-05,5.274229853693241e-06,1.2454500089612944e-06,6.720011212261549e-06,1.2783765691969325e-05,0.0073586947635898275,3.02397275114416e-05,0.0005108386600788975
Exp391_P4,7.849692835938599e-05,0.00014540691361331084,0.0009644301858673448,0.0027012559601397998,0.0006447022910567348,0.003310245015055379,0.0008019483513467948,0.00013647837088673665
Exp391_P5,0.0001162863211156584,4.60724936653696e-05,1.2494090146384082e-05,1.4972787814362662e-05,0.005237027981495617,0.0024301047855144844,7.153468679788112e-05,0.00010126800289147431
Exp391_P6,1.2355560069133812e-05,1.0557481390574398e-05,2.4036489076724347e-06,0.00012127895759931081,0.0033504718245432395,4.810751103672493e-05,0.0007423469673032744,0.010875076697807271
Exp391_P7,0.00017103681503843605,0.0003107915651785346,0.0008908525555681883,0.02035093781084733,0.0008243775134923418,0.00013709353603197014,0.00045383204623139007,4.467647266868764e-05
Exp391_P8,1.4623395681046893e-05,4.240485303166258e-06,3.0048554589757466e-06,0.00020016862934924847,0.002487224827531531,6.201755240941673e-05,0.0036812649082787643,0.0006101015003860481
Exp391_P9,0.00011253089023491752,0.0001720341123350243,2.9486866751936646e-06,0.002276293948683444,0.000458977487895484,1.5815666053830426e-05,0.007248370351579583,0.00022614027297079237
Exp391_P10,5.122313370764341e-07,4.46450566103744e-09,5.587134787921938e-08,3.373933797971522e-05,0.000642681712986873,3.130428006416615e-06,0.007926726969470738,0.0007140485492575333
