wilcoxon,t-test,t-test_overestim_var
Rps14,Rps27,Rps27
Rps27,Rps24,Rps24
Rps24,Rps14,Rps14
Rps29,Rps7,Rps7
Rps28,Rps15a,Rps29
Rps15a,Rpl18a,Rpl21
Rps7,Rpl9,Rpl9
Rpl17,Rpl12,Rpl12
Rps23,Rpl21,Rpl35a
Rps16,Sell,Rps15a
Rpl37a,Rpl17,Rps15
Rpl9,Rps15,Rps23
Rpl21,Rps29,Rps28
Rpl35a,Rps16,Rplp1
Rpl12,Rpl23a,Rpl17
Rpl13,Tcf7,Rps9
Rps27a,Rpl35a,Rpl27a
Rps9,Rpl37a,Rps16
Rplp1,Rplp1,Rpl37a
Rpl18a,Rps9,Rpl18a
Rps15,Rps23,Rpl23a
Rps3,Rps28,Rps27a
Rpl37,Rpl27a,Rpl36
Rpl27a,Tpt1,Rpl37
Rpl19,Rpl23,Rpl23
Rpl30,Ccr7,Tpt1
Rplp2,Rpl19,Rpl19
Tpt1,Rpl30,Rps27rt
Rps3a1,Rps21,Rps21
Rps19,Rpl13,Rpl13
Rpl36,Rps27a,Tcf7
Rpl34,Rplp2,Rplp2
Rpl23,Rpl36,Rpl30
Rpl26,Rps27rt,Rps18
Rpl23a,Rgs10,Rpl26
Rps27rt,Rpl37,Rps4x
Rps21,Rps18,Sell
Rps18,Rpl5,Rpl36a
Rpl36a,Rps6,Rpl34
Fau,Rps3a1,Ltb
Rpl31,Rps4x,Rps6
Rps4x,Rps3,Rps19
Rps25,Rps19,Rpl31
Malat1,Rpl26,Rps3a1
Rpl8,Rpl34,Rps3
Rpl5,Ltb,Rpl5
Rpl11,Rpl36a,Rps13
Rps6,Rps13,Rps20
Rpl39,Rpl31,Malat1
Rpl38,Rps20,Rps25
Rps26,Igfbp4,Btg1
Rps20,Rps25,Rpl38
Rps8,Ramp1,Rgs10
Rpl18,Fau,Ccr7
Ltb,Rpl39,Fau
Rps13,Rpl38,Rpl39
Btg1,Rps5,Rpl8
Rps10,Rpl11,Rps26
Tcf7,Rpl18,Rps8
Rpl15,Rps8,Rps5
Rpl7,Dapl1,Eef1a1
Rpl35,Btg1,Rpl11
Eef1a1,Malat1,Rpl35
Rpl6,Rps26,Rpl15
Rps17,Eef1a1,Rpl18
Rps5,Rpl15,Rpl32
Rpl32,Rpl7,Rpl7
Sell,Lef1,Rps11
Rps11,Rpl35,Rps10
Rpl4,Rps10,Igfbp4
Rpl14,Rpl8,Lef1
Rgs10,Ccr9,Rpl6
Rpl3,Pik3ip1,Ramp1
Eef1b2,Rpl6,Rps17
